Date,IWF,IWM,MTUM,SPY,SVMK,VLUE,VXX
2019-05-28,-0.0,-0.8478481870552356,-0.7058624195188072,-2.5947136563876656,1.0,-1.6288715689596749,0.0
2019-05-29,-0.0,-0.8693000880818483,-0.7148180771054949,-2.6026831086116946,1.0,-1.5887932786774173,0.0
2019-05-30,-0.0,-0.8622300453591496,-0.7143050572066888,-2.599282377631846,1.0,-1.5942048608760409,0.0
2019-05-31,-0.0,-0.8726447065202657,-0.6999457774162938,-2.5975328724413718,1.0,-1.6077673851159007,0.0
2019-06-03,-0.0,-0.8840804752903052,-0.7593167701863354,-2.5916824196597354,1.0,-1.5162030785849312,0.0
2019-06-04,-0.0,-0.8732528806163496,-0.8107997545510329,-2.675189200245449,1.0,-1.458785027613009,0.0
2019-06-05,-0.0,-0.8493289269575772,-0.8708437310312268,-2.71201187023673,1.0,-1.3122681594388614,0.0
2019-06-06,-0.0,-0.8628032345013475,-0.8434636118598383,-2.6992587601078166,1.0,-1.3330188679245283,0.0
2019-06-07,-0.0,-0.8674747474747474,-0.8414141414141415,-2.6951515151515153,1.0,-1.32996632996633,0.0
2019-06-10,-0.0,-0.8731022437189306,-0.8270858524788391,-2.6799677549375254,1.0,-1.3375654977831521,0.0
2019-06-11,-0.0,-0.8707684040838258,-0.8402068780225684,-2.6820929607737773,1.0,-1.3237506716818914,0.0
2019-06-12,-0.0,-0.8734296271414174,-0.8436681222707423,-2.6809539805172995,1.0,-1.3201209271078267,0.0
2019-06-13,-0.0,-0.871975806451613,-0.8424731182795699,-2.6813844086021508,1.0,-1.3245967741935485,0.0
2019-06-14,-0.0,-0.8432840855427376,-0.871685893543817,-2.7170613236187005,1.0,-1.3142413816366458,0.0
2019-06-17,-0.0,-0.8244285134586772,-0.8781955904233735,-2.7442851345867716,1.0,-1.316245096713107,0.0
2019-06-18,-0.0,-0.8203584714237402,-0.8802840716942846,-2.743320933378424,1.0,-1.3196482921880284,0.0
