Date,BXG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.1477290836653387,-2.3313147410358566,-0.09705179282868526,-1.8325099601593624,-1.5594422310756972,0.0
2018-09-25,1.0,-1.1476820137008126,-2.3298550262864426,-0.09813605225426157,-1.831448144017843,-1.5584674207423925,0.0
2018-09-26,1.0,-1.1530538922155689,-2.3383632734530937,-0.10419161676646707,-1.8344111776447105,-1.5540119760479043,0.0
2018-09-27,1.0,-1.157383058411029,-2.3193879990437485,-0.10877360745876166,-1.8320184875288867,-1.5511992987489045,0.0
2018-09-28,1.0,-1.1562972994503307,-2.3184099418465705,-0.11017286704373457,-1.8307974189436786,-1.55054568629013,0.0
2018-10-01,1.0,-1.1599808597176808,-2.318207193556105,-0.1103756280405136,-1.83411755323391,-1.552436398436877,0.0
2018-10-02,1.0,-1.164569138276553,-2.3506212424849697,-0.1066132264529058,-1.8381563126252507,-1.5561523046092185,0.0
2018-10-03,1.0,-1.1620259241478637,-2.3363738198111696,-0.10593694991198592,-1.837894063050088,-1.5590494479116659,0.0
2018-10-04,1.0,-1.1708683473389356,-2.323329331732693,-0.10812324929971988,-1.84921968787515,-1.5517406962785114,0.0
2018-10-05,1.0,-1.1814814814814816,-2.3425925925925926,-0.10805152979066023,-1.8599838969404185,-1.5593397745571658,0.0
2018-10-08,1.0,-1.1790143340312451,-2.3395071670156224,-0.09550652278949912,-1.8759059429859881,-1.5628925752939282,0.0
2018-10-09,1.0,-1.1779503356790424,-2.352665210709375,-0.0787834667960851,-1.8945239828520586,-1.5847286257380895,0.0
2018-10-10,1.0,-1.1777831675964106,-2.351604818497858,-0.0783410138248848,-1.894251758428329,-1.5827471905570378,0.0
2018-10-11,1.0,-0.9841825095057034,-2.272395437262357,-0.0,-1.793384030418251,-1.5546007604562737,0.0
2018-10-12,1.0,-0.9858308605341247,-2.2327151335311575,-0.0,-1.7255934718100892,-1.4743323442136498,0.0
2018-10-15,1.0,-0.9180938198064036,-2.31861504095309,-0.0,-1.7233060312732689,-1.4860759493670885,0.0
2018-10-16,1.0,-0.9120952735392631,-2.326832899144027,-0.0,-1.7207294380349833,-1.4836620766654263,0.0
2018-10-17,1.0,-0.846148359486448,-2.1845934379457916,-0.0,-1.6559914407988587,-1.4458630527817404,0.0
2018-10-18,1.0,-0.8508734249713631,-2.1968785796105386,-0.0,-1.6592210767468498,-1.4522479954180985,0.0
2018-10-19,1.0,-0.8059922453295735,-2.1574198096580894,-0.0,-1.6508283397955585,-1.4354599929502996,0.0
2018-10-22,1.0,-0.8100756023457925,-2.1670317247226736,-0.0,-1.651522645375539,-1.43708047763725,0.0
2018-10-23,1.0,-0.8269326329239725,-2.178675374458721,-0.0,-1.65180663022645,-1.4413288847873926,0.0
2018-10-24,1.0,-0.8213881019830028,-2.171388101983003,-0.0,-1.649645892351275,-1.4397308781869689,0.0
2018-10-25,1.0,-0.7201559093611679,-1.9959040761049085,-0.0,-1.5853868005549316,-1.3048820770297944,0.0
2018-10-26,1.0,-0.6769061630990105,-1.9467115048826231,-0.0,-1.5745974261139495,-1.2688999547306474,0.0
2018-10-29,1.0,-0.6301598510624639,-1.9637927713937215,-0.0,-1.551518264107338,-1.2743146947422483,0.0
