Date,IWF,IWM,MTUM,SPY,USPH,VLUE,VXX
2018-09-24,-0.36765842349304484,-0.9782972694487377,-0.056221020092735705,-0.44967156105100464,1.0,-0.36810922205048946,0.0
2018-09-25,-0.37142396907216496,-0.9764497422680413,-0.061340206185567014,-0.44793814432989687,1.0,-0.3645296391752577,0.0
2018-09-26,-0.3710628969341371,-0.976466036945098,-0.05947967374834778,-0.44904735807085977,1.0,-0.3677745897675618,0.0
2018-09-27,-0.37177835051546393,-0.9734213917525772,-0.060309278350515465,-0.4487113402061855,1.0,-0.3673969072164948,0.0
2018-09-28,-0.37219268567746094,-0.9729015627517318,-0.06060898985016916,-0.44884807475430966,1.0,-0.36761720637989365,0.0
2018-10-01,-0.37203531838102605,-0.9729633926269656,-0.06087264758958495,-0.4487947924722867,1.0,-0.36778164475380254,0.0
2018-10-02,-0.3786660515389178,-1.0410597772358794,-0.04524484281289132,-0.4570948395175641,1.0,-0.3732617148882884,0.0
2018-10-03,-0.3788348617800356,-1.0297222405489213,-0.043148380286336344,-0.46371313584482415,1.0,-0.38338721382859403,0.0
2018-10-04,-0.38197467352592007,-1.0239084553488984,-0.043826671943015434,-0.46784724970320535,1.0,-0.3801609286373829,0.0
2018-10-05,-0.3720617202889035,-1.0213722915298753,-0.03282994090610637,-0.4719960604070913,1.0,-0.38473407747866056,0.0
2018-10-08,-0.37195942618914746,-1.0218297606933,-0.032367133900141155,-0.47194957817680466,1.0,-0.38456488198798544,0.0
2018-10-09,-0.36933052465275495,-1.025771838588638,-0.022118359554999672,-0.47979066552564026,1.0,-0.3943782502797709,0.0
2018-10-10,-0.37031553318198274,-1.0248083440265852,-0.023229033001019975,-0.48014345408482223,1.0,-0.39170203665317677,0.0
2018-10-11,-0.3133184286170553,-1.0255190035132546,-0.0,-0.4580006387735548,1.0,-0.3969977642925583,0.0
2018-10-12,-0.31312174324964476,-1.0237170377388285,-0.0,-0.4423811779567346,1.0,-0.3788409916311385,0.0
2018-10-15,-0.2641999038923595,-1.0974211116450425,-0.0,-0.44683645683165146,1.0,-0.3951305462117572,0.0
2018-10-16,-0.2556920504244919,-1.1173462824800617,-0.0,-0.4473565731926936,1.0,-0.39545279135580136,0.0
2018-10-17,-0.23734227254040038,-1.084121311786471,-0.0,-0.440972771259606,1.0,-0.4000189747319819,0.0
2018-10-18,-0.23658328326112396,-1.0827930805477375,-0.0,-0.4427753707978875,1.0,-0.4003035957117106,0.0
2018-10-19,-0.22322604931300583,-1.077451533973273,-0.0,-0.44061735366083193,1.0,-0.3956647217516782,0.0
2018-10-22,-0.2247996228194248,-1.0833883388338834,-0.0,-0.4397611189690398,1.0,-0.3951909476661952,0.0
2018-10-23,-0.22685563446672113,-1.0833385708000753,-0.0,-0.43803029350763617,1.0,-0.39422412167682735,0.0
2018-10-24,-0.2250470809792844,-1.0826114249843064,-0.0,-0.4372567482736974,1.0,-0.39381669805398617,0.0
2018-10-25,-0.1933815925542916,-1.044497840501247,-0.0,-0.44108522416205365,1.0,-0.3626132976458422,0.0
2018-10-26,-0.1802469135802469,-1.032128876844324,-0.0,-0.4438121047877145,1.0,-0.3549834387232761,0.0
2018-10-29,-0.166561797752809,-1.0390112359550563,-0.0,-0.43568539325842703,1.0,-0.35499625468164797,0.0
2018-10-30,-0.15284065357517612,-1.040323789536801,-0.0,-0.4374456603207915,1.0,-0.3674711437565582,0.0
2018-10-31,-0.15698124441798156,-1.0221494492408454,-0.0,-0.43524858588865734,1.0,-0.3626674605537363,0.0
2018-11-01,-0.13960613993336507,-1.0362327463112802,-0.0,-0.4352689195621133,1.0,-0.36366611137553545,0.0
2018-11-02,-0.1385752853110811,-1.090501902073874,-0.0,-0.4481531476254754,1.0,-0.3906307522395386,0.0
2018-11-05,-0.14550787280024696,-1.0801481938870021,-0.0,-0.4528558196974375,1.0,-0.40882988576721213,0.0
2018-11-06,-0.14427829955511615,-1.0788741967375186,-0.0,-0.4548319327731092,1.0,-0.4115175481957489,0.0
2018-11-07,-0.1435363858099972,-1.079193553366884,-0.0,-0.45351816974898884,1.0,-0.4112198585939671,0.0
