Date,IWF,IWM,MTUM,PPC,SPY,VLUE,VXX
2018-09-24,-0.43256777758590914,-1.1126748402693836,-0.0,1.0,-0.8735537903643584,-0.8982472802624762,0.0
2018-09-25,-0.44136976824628155,-1.1128934624697335,-0.0,1.0,-0.8740055344171566,-0.8954946385333794,0.0
2018-09-26,-0.4417132378623821,-1.1215071603213411,-0.0,1.0,-0.8857404820118756,-0.9171323786238211,0.0
2018-09-27,-0.44312134694233624,-1.1169414638401816,-0.0,1.0,-0.8852394661083486,-0.9165140015702696,0.0
2018-09-28,-0.4447353493040101,-1.1164201247981849,-0.0,1.0,-0.8856307544617532,-0.9167866649212375,0.0
2018-10-01,-0.4446822450316663,-1.119065298100022,-0.0,1.0,-0.8860886656475213,-0.9179296789692074,0.0
2018-10-02,-0.4452477517192735,-1.1604655263621935,-0.0,1.0,-0.8860871098571681,-0.9165931934403103,0.0
2018-10-03,-0.4502916165798495,-1.1463870709229331,-0.0,1.0,-0.9090423400560972,-0.9464404968612261,0.0
2018-10-04,-0.4520419966189163,-1.1423169321113977,-0.0,1.0,-0.910490257140315,-0.9439451908532788,0.0
2018-10-05,-0.4316059653936363,-1.1320086737177502,-0.0,1.0,-0.9125105102447227,-0.9491967960348718,0.0
2018-10-08,-0.42724334853247153,-1.1286024171056708,-0.0,1.0,-0.9208906990127939,-0.95015272920448,0.0
2018-10-09,-0.42058562555456963,-1.1307897071872228,-0.0,1.0,-0.926530612244898,-0.9586512866015972,0.0
2018-10-10,-0.4199089773335713,-1.1410851329644833,-0.0,1.0,-0.9311083348206318,-0.9697929680528288,0.0
2018-10-11,-0.30559398236209584,-1.1284800276673006,-0.0,1.0,-0.8979768286356562,-0.9909216669548677,0.0
2018-10-12,-0.30747309769894937,-1.1153077282973927,-0.0,1.0,-0.8695504232061588,-0.9609969801369571,0.0
2018-10-15,-0.2810512929207291,-1.1350148367952522,-0.0,1.0,-0.8628656210258585,-0.9601526070368801,0.0
2018-10-16,-0.2696103673189152,-1.1823292138688637,-0.0,1.0,-0.8714812907655338,-0.9676879505664263,0.0
2018-10-17,-0.24173978756454928,-1.1296863848188419,-0.0,1.0,-0.8577186279860616,-0.9692262479533146,0.0
