Date,IWF,IWM,MTUM,SPY,TCBK,VLUE,VXX
2018-09-24,-0.09513069192792523,-0.6838332957421748,-0.00032579004084905895,-0.3351878304889357,1.0,-0.39162468987294186,0.0
2018-09-25,-0.09211455077140265,-0.690228899868912,-0.0,-0.3402742764949077,1.0,-0.39830593929615815,0.0
2018-09-26,-0.09104210287328775,-0.6897908730859464,-0.0,-0.3408087586085114,1.0,-0.40099896571731286,0.0
2018-09-27,-0.09543872041979919,-0.683081891114587,-0.0,-0.342348251677683,1.0,-0.401962763005197,0.0
2018-09-28,-0.09401105418570022,-0.6848799939429119,-0.0,-0.3426040431062767,1.0,-0.402266360447215,0.0
2018-10-01,-0.09370102623729841,-0.687553713159092,-0.0,-0.3430059147666953,1.0,-0.40339214397654316,0.0
2018-10-02,-0.0922455449594764,-0.7233911998568252,-0.0,-0.3409863728172219,1.0,-0.4000715874517424,0.0
2018-10-03,-0.09171779141104296,-0.716359918200409,-0.0,-0.3435582822085889,1.0,-0.404601226993865,0.0
2018-10-04,-0.09131158029430583,-0.7187204094689699,-0.0,-0.3427767114523353,1.0,-0.40634676903390915,0.0
2018-10-05,-0.07690543536426878,-0.7139107611548557,-0.0,-0.3454628851005275,1.0,-0.41194607955558954,0.0
2018-10-08,-0.07638021961223918,-0.7140964561412447,-0.0,-0.3453415199612749,1.0,-0.41186211816259455,0.0
2018-10-09,-0.0724755907920565,-0.7143039233181228,-0.0,-0.3472353226094272,1.0,-0.4152497004614169,0.0
2018-10-10,-0.07240614725896476,-0.7142493055024595,-0.0,-0.3472487702933456,1.0,-0.4147360909345771,0.0
2018-10-11,-0.02401887729756582,-0.7111276701440635,-0.0,-0.32911077993045207,1.0,-0.41959761549925484,0.0
2018-10-12,-0.017360509175561555,-0.7145545952103817,-0.0,-0.3263825255702221,1.0,-0.4182372025062533,0.0
2018-10-15,-0.0,-0.7581160723204475,-0.0,-0.31797522725002497,1.0,-0.4211617221056837,0.0
2018-10-16,-0.0,-0.7694117647058822,-0.0,-0.3150187734668335,1.0,-0.4187234042553192,0.0
2018-10-17,-0.0,-0.7476004353849198,-0.0,-0.30707005739164855,1.0,-0.41910746091430834,0.0
2018-10-18,-0.0,-0.7473533194815476,-0.0,-0.30713861680023746,1.0,-0.41904125853368956,0.0
2018-10-19,-0.0,-0.7429337531672038,-0.0,-0.30154239748099676,1.0,-0.4154879338761654,0.0
2018-10-22,-0.0,-0.7478995737551433,-0.0,-0.30110626555300957,1.0,-0.4148372631630817,0.0
2018-10-23,-0.0,-0.7506317823695556,-0.0,-0.3075417471879491,1.0,-0.41937961448887573,0.0
2018-10-24,-0.0,-0.7469727047146402,-0.0,-0.3098511166253101,1.0,-0.4245657568238213,0.0
2018-10-25,-0.0,-0.7324477714173884,-0.0,-0.30255883360242675,1.0,-0.4112970301873869,0.0
2018-10-26,-0.0,-0.7328679892236101,-0.0,-0.3038207200587803,1.0,-0.41249081557678174,0.0
