Date,IWF,IWM,MERC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.35582939111857165,-1.00873645658477,1.0,-0.0,-0.6874713871509232,-0.7630093087135663,0.0
2018-09-25,-0.35304054054054057,-1.0184275184275184,1.0,-0.0,-0.6951013513513514,-0.7724969287469288,0.0
2018-09-26,-0.3520510062989707,-1.0180519280995546,1.0,-0.0,-0.6956521739130436,-0.7751190659087418,0.0
2018-09-27,-0.386366321427165,-1.021383845941795,1.0,-0.0,-0.7282715709053676,-0.8020714370101997,0.0
2018-09-28,-0.3831225296442688,-1.0315415019762846,1.0,-0.0,-0.732094861660079,-0.8058102766798418,0.0
2018-10-01,-0.38493177773383425,-1.0304132885109747,1.0,-0.0,-0.7334783468459561,-0.8061301166699624,0.0
2018-10-02,-0.3857713449598608,-1.0285917665203466,1.0,-0.0,-0.7338553406888916,-0.8064222723138371,0.0
2018-10-03,-0.39283008334330266,-1.0539139450492485,1.0,-0.0,-0.7368903776368785,-0.8040834230569845,0.0
2018-10-04,-0.3929867953883592,-1.0549327801492001,1.0,-0.0,-0.7365061634818686,-0.8049228068775681,0.0
2018-10-05,-0.475741641035817,-1.3085127492806825,1.0,-0.0,-1.0593312828653636,-1.1172239309455303,0.0
2018-10-08,-0.47412767644726406,-1.3070479777954005,1.0,-0.0,-1.0588818398096749,-1.1163263283108644,0.0
2018-10-09,-0.47065529889957375,-1.307028849013582,1.0,-0.0,-1.0602260335084763,-1.1189154357093287,0.0
2018-10-10,-0.4698100069630956,-1.3140356112603204,1.0,-0.0,-1.063165224311151,-1.1266288670048743,0.0
2018-10-11,-0.3870023980815348,-1.2778896882494006,1.0,-0.0,-1.0183693045563549,-1.1129016786570745,0.0
2018-10-12,-0.39552062124153603,-1.2700411951323454,1.0,-0.0,-0.989109332828259,-1.0804015341635496,0.0
2018-10-15,-0.3479354532510679,-1.3252491694352158,1.0,-0.0,-0.9850023730422401,-1.0878974845752254,0.0
2018-10-16,-0.33722767536509457,-1.366339478094326,1.0,-0.0,-0.9911898491740483,-1.093320564998803,0.0
2018-10-17,-0.301518844927808,-1.3042377648603038,1.0,-0.0,-0.9798424901556347,-1.1022407650478154,0.0
2018-10-18,-0.30632541478129716,-1.317354826546003,1.0,-0.0,-0.9816647812971343,-1.1080788084464555,0.0
2018-10-19,-0.2797764081983661,-1.3263580335387701,1.0,-0.0,-1.0255601739047346,-1.145860207347953,0.0
2018-10-22,-0.2802389486260454,-1.3137395459976104,1.0,-0.0,-1.0326881720430108,-1.152258064516129,0.0
2018-10-23,-0.28540700731322594,-1.3145165145069546,1.0,-0.0,-1.0293485015056643,-1.1505664165192868,0.0
2018-10-24,-0.28122762636628323,-1.3095317645935753,1.0,-0.0,-1.0294973986921865,-1.152832800343659,0.0
2018-10-25,-0.2224152910512598,-1.2301431249714208,1.0,-0.0,-1.0218574237505145,-1.098266953221455,0.0
2018-10-26,-0.19382822030452265,-1.209370623051552,1.0,-0.0,-1.0308588984773868,-1.0840825916052952,0.0
2018-10-29,-0.221681723419041,-1.2323835997220294,1.0,-0.0,-1.0740792216817234,-1.1047023395876767,0.0
2018-10-30,-0.25959686134473525,-1.2517032373255652,1.0,-0.0,-1.0913874923647982,-1.09585114880421,0.0
2018-10-31,-0.2689738919247116,-1.217925365466349,1.0,-0.0,-1.092709355004437,-1.0908878613796646,0.0
2018-11-01,-0.26244111748519194,-1.2210717783685463,1.0,-0.0,-1.0908539713632759,-1.0895947017396577,0.0
2018-11-02,-0.27959097912872954,-1.1709389737124714,1.0,-0.0,-1.1262081524022973,-1.0924499229583975,0.0
2018-11-05,-0.2838021247718444,-1.1653952356437498,1.0,-0.0,-1.1287967426405203,-1.1021200917302383,0.0
2018-11-06,-0.28603508771929825,-1.1662222222222223,1.0,-0.0,-1.126690058479532,-1.0994619883040935,0.0
2018-11-07,-0.2862312030075188,-1.1760808270676693,1.0,-0.0,-1.131062030075188,-1.105921052631579,0.0
2018-11-08,-0.27081487009655303,-1.1699239703344373,1.0,-0.0,-1.1209478054013713,-1.1027100144596298,0.0
2018-11-09,-0.2800849457291175,-1.18716375648891,1.0,-0.0,-1.1334591788579518,-1.118499292118924,0.0
2018-11-12,-0.2787958731803835,-1.1825505252744148,1.0,-0.0,-1.1330852216516702,-1.1165967871107554,0.0
2018-11-13,-0.25261389096340553,-1.1743838685586256,1.0,-0.0,-1.1303678117998506,-1.1103435399551904,0.0
2018-11-14,-0.25373412994772215,-1.173543689320388,1.0,-0.0,-1.1305078416728902,-1.1098300970873787,0.0
2018-11-15,-0.2521909379078874,-1.1755547268319972,1.0,-0.0,-1.1356516874883462,-1.0981260488532538,0.0
2018-11-16,-0.24515106303618053,-1.1622062663185377,1.0,-0.0,-1.1398731816486385,-1.1152088772845954,0.0
2018-11-19,-0.25163398692810457,-1.1624183006535946,1.0,-0.0,-1.1387488328664799,-1.11577964519141,0.0
2018-11-20,-0.20914185152595746,-1.1500949381744083,1.0,-0.0,-1.1395359607280136,-1.1323113972120593,0.0
2018-11-21,-0.20900174168118066,-1.1381886515720963,1.0,-0.0,-1.1313135942799522,-1.1048675405628379,0.0
2018-11-23,-0.2100036609921289,-1.127722862895845,1.0,-0.0,-1.1337634999084751,-1.1047501372872048,0.0
2018-11-26,-0.21016250858319982,-1.127214465552758,1.0,-0.0,-1.1347219043259327,-1.105607690547036,0.0
2018-11-27,-0.19415705756346566,-1.1348616744906797,1.0,-0.0,-1.12925573127934,-1.0994029442596054,0.0
2018-11-28,-0.1962983223924143,-1.1291028446389497,1.0,-0.0,-1.1321115973741795,-1.101249088256747,0.0
2018-11-29,-0.15835131247752604,-1.1088637180870191,1.0,-0.0,-1.1236515641855447,-1.1039194534340167,0.0
2018-11-30,-0.15890792965411776,-1.1108712274546846,1.0,-0.0,-1.127378221562542,-1.1006611793280259,0.0
2018-12-03,-0.15547862056562206,-1.112494941774201,1.0,-0.0,-1.1277820241895598,-1.1004451238703297,0.0
2018-12-04,-0.14720379996415128,-1.113461193762323,1.0,-0.0,-1.122961104140527,-1.0974188922746013,0.0
2018-12-06,-0.13058389407423485,-1.0250922509225093,1.0,-0.0,-1.1246364228348167,-1.0609073149555024,0.0
2018-12-07,-0.14288825015242576,-1.0278285863600731,1.0,-0.0,-1.1290392822924833,-1.0552652207995818,0.0
2018-12-10,-0.11309959130995914,-1.0265433426543342,1.0,-0.0,-1.1257474725747474,-1.0365670036567003,0.0
2018-12-11,-0.10406342913776016,-1.0321885637954067,1.0,-0.0,-1.1249192054121602,-1.0479165768949024,0.0
2018-12-12,-0.10009087368557706,-1.0391189579817388,1.0,-0.0,-1.12968973127353,-1.0584620710545676,0.0
2018-12-13,-0.1021019716841831,-1.0465994962216625,1.0,-0.0,-1.130417788586815,-1.06375401719795,0.0
2018-12-14,-0.09911913483342055,-1.0664573521716378,1.0,-0.0,-1.1270277341705914,-1.068070818070818,0.0
2018-12-17,-0.06758169934640522,-1.0728540305010892,1.0,-0.0,-1.1122440087145968,-1.1046623093681918,0.0
2018-12-18,-0.05289313339959379,-1.058597294844648,1.0,-0.0,-1.1055269867335034,-1.1043170130936433,0.0
2018-12-19,-0.047322432736395886,-1.0615970239640107,1.0,-0.0,-1.1098710961155809,-1.1068431525218445,0.0
2018-12-20,-0.04672656149249881,-1.045608906847784,1.0,-0.0,-1.1086704208399603,-1.0976658212612302,0.0
