Date,IWF,IWM,MTUM,PBFX,SPY,VLUE,VXX
2018-09-24,-0.23365673053536196,-0.5992216847282653,-0.0,1.0,-0.44180201605275243,-0.4277761262600329,0.0
2018-09-25,-0.23840038935756003,-0.5985290936621241,-0.0,1.0,-0.44138005624053644,-0.4255624053644819,0.0
2018-09-26,-0.23662629663824472,-0.5996306957041221,-0.0,1.0,-0.4447129745288655,-0.4344756422093087,0.0
2018-09-27,-0.2398100407055631,-0.5937313432835821,-0.0,1.0,-0.44540027137042065,-0.4347896879240163,0.0
2018-09-28,-0.23700035373187123,-0.59990204348181,-0.0,1.0,-0.4473075562569726,-0.4367772305515496,0.0
2018-10-01,-0.23823913753675272,-0.5990144832843298,-0.0,1.0,-0.448219536099314,-0.4369487095720353,0.0
2018-10-02,-0.24531395158205363,-0.5802502869009235,-0.0,1.0,-0.459123449368818,-0.44770206022187,0.0
2018-10-03,-0.24803754734588573,-0.5922215512982378,-0.0,1.0,-0.45926881484327825,-0.44516111324586927,0.0
2018-10-04,-0.2471798822428878,-0.5973422109723215,-0.0,1.0,-0.458179717162824,-0.4486325868046003,0.0
2018-10-05,-0.2390911084310931,-0.5934930380440742,-0.0,1.0,-0.45852976647297444,-0.44984102620326716,0.0
2018-10-08,-0.23667797352007877,-0.5904913010176168,-0.0,1.0,-0.4597056570740781,-0.44868147499726446,0.0
2018-10-09,-0.23392612859097128,-0.5903967168262654,-0.0,1.0,-0.4608481532147743,-0.45080711354309166,0.0
2018-10-10,-0.2378082191780822,-0.5901917808219178,-0.0,1.0,-0.46408219178082194,-0.4476438356164384,0.0
2018-10-11,-0.17478471833426643,-0.5840998160441494,-0.0,1.0,-0.44605294729264977,-0.46106267829054365,0.0
2018-10-12,-0.19248739049641628,-0.5881072471462703,-0.0,1.0,-0.43151048579771706,-0.4425006636580834,0.0
2018-10-15,-0.1714391671743795,-0.6073746390824084,-0.0,1.0,-0.42724696034542126,-0.44290217477682703,0.0
