Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XLNX
2018-09-24,-0.3771893954883119,-0.6171880324405371,-0.2427928848906154,-0.5483541198118994,-0.6220609282355346,0.0,1.0
2018-09-25,-0.3797955706984668,-0.6152640545144804,-0.24671209540034073,-0.5465417376490631,-0.6188415672913118,0.0,1.0
2018-09-26,-0.37971520503868006,-0.6179229136715274,-0.24002190730471692,-0.5528513726295611,-0.6325049633737249,0.0,1.0
2018-09-27,-0.3857010722482957,-0.6077558151485047,-0.2433969374122161,-0.5550340858483779,-0.6338254941591586,0.0,1.0
2018-09-28,-0.39099526066350715,-0.6072532454152071,-0.24297685280582457,-0.5574902122398516,-0.6356205783364242,0.0,1.0
2018-10-01,-0.39100868908197967,-0.6072741010406293,-0.2431225744410482,-0.5574406703987362,-0.6355737198200364,0.0,1.0
2018-10-02,-0.391062411980902,-0.6086284477724727,-0.2429842338474221,-0.5571050733349363,-0.6351114622333666,0.0,1.0
2018-10-03,-0.3907011881052126,-0.601023281368038,-0.2418789918274844,-0.5600576883455807,-0.6401346061396883,0.0,1.0
2018-10-04,-0.38908790300358226,-0.6097754202259575,-0.24162992559933866,-0.5582116285478093,-0.6457701846238633,0.0,1.0
2018-10-05,-0.37582462891698737,-0.6020478284771852,-0.22910940076965364,-0.5688221550302364,-0.6601498075865859,0.0,1.0
2018-10-08,-0.3866209981825807,-0.6249475744442892,-0.23399273032294143,-0.5762617083741088,-0.6731790856983084,0.0,1.0
2018-10-09,-0.38687917234630037,-0.6250043689490057,-0.23463003739820348,-0.575932333717801,-0.6727132920904548,0.0,1.0
2018-10-10,-0.38807743378293386,-0.6236284855685232,-0.23611014047103224,-0.5765252638199735,-0.6699979034174296,0.0,1.0
2018-10-11,-0.3558660365728375,-0.6184507910417095,-0.19673310047257037,-0.5684199712348469,-0.6849530854051092,0.0,1.0
2018-10-12,-0.36670397124156406,-0.6123715535659782,-0.19571336521178823,-0.5502085664869264,-0.6663275341675992,0.0,1.0
2018-10-15,-0.3660902000678196,-0.6128179043743641,-0.19416751441166497,-0.5505934214988131,-0.6673109528653781,0.0,1.0
2018-10-16,-0.3657941136579411,-0.6138274786382747,-0.1934083819340838,-0.5505560830055608,-0.6671978841719788,0.0,1.0
2018-10-17,-0.35970109061532246,-0.59956913962569,-0.18897266729500473,-0.5483034872761545,-0.6695502894843139,0.0,1.0
2018-10-18,-0.3619230639560366,-0.6041266309295034,-0.18687839250193858,-0.5475540271737298,-0.6709483833990763,0.0,1.0
2018-10-19,-0.3551201181049523,-0.59736948060663,-0.18074755066434034,-0.5490202657361427,-0.672996913166018,0.0,1.0
2018-10-22,-0.35363186757729703,-0.6077112000807456,-0.18928102816001077,-0.5445614507283921,-0.6691787504626047,0.0,1.0
2018-10-23,-0.3568832043083137,-0.6076405250757321,-0.19579266240323126,-0.539246045102659,-0.6662739818243016,0.0,1.0
2018-10-24,-0.35785401950891355,-0.6046081399260006,-0.19031281533804237,-0.5411032626976119,-0.6697275479313824,0.0,1.0
2018-10-25,-0.3536405653426217,-0.5993703530042199,-0.18855918011923103,-0.540491660526492,-0.667124388773528,0.0,1.0
2018-10-26,-0.4182757984124054,-0.71098393944988,-0.20875023075503046,-0.6036551596824812,-0.7504892006645746,0.0,1.0
2018-10-29,-0.4030471423839841,-0.7237331174327457,-0.19482574614507045,-0.5972104662716667,-0.7613071799212453,0.0,1.0
2018-10-30,-0.3977481786739274,-0.7244830377511221,-0.1911472514533814,-0.5984987857826183,-0.7675693575686215,0.0,1.0
2018-10-31,-0.3976741618518382,-0.7249843594744783,-0.19092481507378647,-0.5986825157325285,-0.7678578000220807,0.0,1.0
2018-11-01,-0.4054383116883117,-0.7182334710743802,-0.1979043683589138,-0.5995425029515938,-0.7683367768595041,0.0,1.0
2018-11-02,-0.4116869284166452,-0.6957064678444191,-0.19344768061115805,-0.6070812061556543,-0.7649024865023689,0.0,1.0
2018-11-05,-0.41457674487019197,-0.690189012282121,-0.19309406486725011,-0.607928219460175,-0.771530484665735,0.0,1.0
2018-11-06,-0.42413425091083057,-0.698266661759835,-0.18820152357119196,-0.6048651234681485,-0.764656092444706,0.0,1.0
2018-11-07,-0.42464290973347074,-0.6986452657929613,-0.18734354292445884,-0.605580915918127,-0.7651303195405684,0.0,1.0
2018-11-08,-0.3986680403267348,-0.7217970417249245,-0.149679888144823,-0.6137684892192214,-0.7955699462800794,0.0,1.0
2018-11-09,-0.39627649769585255,-0.7241290322580646,-0.15082027649769586,-0.6186543778801843,-0.7967557603686637,0.0,1.0
2018-11-12,-0.39634773662551437,-0.7081128747795414,-0.14972810111699,-0.6254041740152851,-0.7946796002351557,0.0,1.0
2018-11-13,-0.38871610991182176,-0.7068164355493761,-0.14002414840291244,-0.62650470162087,-0.7967875306428598,0.0,1.0
2018-11-14,-0.3914285714285714,-0.7065934065934065,-0.13948717948717948,-0.6284249084249084,-0.797032967032967,0.0,1.0
