Date,CF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5010468674504751,-0.8750603961990658,-0.19097278144628765,-0.7528587534224513,-0.7064342084071509,0.0
2018-09-25,1.0,-0.5024349015977785,-0.8732643779933191,-0.19358473860023342,-0.7512778202599911,-0.7040286553708698,0.0
2018-09-26,1.0,-0.5089401294498382,-0.8837783171521035,-0.2011326860841424,-0.7544498381877023,-0.6970064724919094,0.0
2018-09-27,1.0,-0.5149344341913551,-0.8729561275700178,-0.20479197021207707,-0.7563946899789542,-0.6982353893475798,0.0
2018-09-28,1.0,-0.510796632914481,-0.8856492212598106,-0.20588833313000693,-0.7610507909397748,-0.7031027611727868,0.0
2018-10-01,1.0,-0.5102547407829413,-0.88776755920892,-0.20643769838040205,-0.7610482623911451,-0.7038740131846668,0.0
2018-10-02,1.0,-0.5115966796875,-0.8760986328125,-0.21077473958333331,-0.763671875,-0.7069091796875,0.0
2018-10-03,1.0,-0.5128100522193212,-0.8615372062663186,-0.2077349869451697,-0.7746817885117493,-0.722911227154047,0.0
2018-10-04,1.0,-0.5196634949156695,-0.8533915955404908,-0.20868215787969127,-0.7839670028994977,-0.7181361538775677,0.0
2018-10-05,1.0,-0.5018796992481203,-0.8469679633867278,-0.18809251389342924,-0.8061049362536777,-0.7432167374959137,0.0
2018-10-08,1.0,-0.501020658120356,-0.8457173185269863,-0.18678043602514902,-0.8064423940556872,-0.7426308483710297,0.0
2018-10-09,1.0,-0.4991219113743108,-0.8467633244843781,-0.18137635286910353,-0.8097610782111496,-0.7470696344700837,0.0
2018-10-10,1.0,-0.4988152626848599,-0.8476999754881934,-0.18044774899910124,-0.8101560585015115,-0.7481820410164229,0.0
2018-10-11,1.0,-0.48337306557840726,-0.8425794981615419,-0.15996605923471657,-0.8059315527900117,-0.7487171198836317,0.0
2018-10-12,1.0,-0.5095182517004064,-0.8467823077232665,-0.1563569042540347,-0.7882239304543808,-0.7237090996901034,0.0
2018-10-15,1.0,-0.5018279699489775,-0.857579044634607,-0.14479129002450686,-0.7883974127194568,-0.7249608292153791,0.0
2018-10-16,1.0,-0.5088391992250565,-0.8473926380368098,-0.15652244107200516,-0.793186955117856,-0.7302631578947368,0.0
2018-10-17,1.0,-0.4924329692154916,-0.8085004965243298,-0.14216484607745783,-0.7900695134061569,-0.7389870903674282,0.0
2018-10-18,1.0,-0.4947087842138766,-0.813216104392107,-0.140077975811585,-0.7897835773392744,-0.7405712921705921,0.0
2018-10-19,1.0,-0.48301335229517267,-0.800979695030418,-0.1277553922730505,-0.7960022122145849,-0.742593031524058,0.0
2018-10-22,1.0,-0.48442127709986965,-0.7965091023970303,-0.12407692611459936,-0.7988390001184693,-0.7450933933578169,0.0
2018-10-23,1.0,-0.4834194831013916,-0.8069582504970179,-0.1114910536779324,-0.8161033797216699,-0.7581709741550695,0.0
2018-10-24,1.0,-0.48391485275288093,-0.8207426376440461,-0.1142365556978233,-0.8215428937259923,-0.7608834827144686,0.0
2018-10-25,1.0,-0.4592517457964343,-0.7804002652830335,-0.11130183747512971,-0.8174618655639215,-0.7328053680802091,0.0
2018-10-26,1.0,-0.44562149623042724,-0.7703846897351634,-0.0906243959017978,-0.831857722791417,-0.7277401894451963,0.0
2018-10-29,1.0,-0.43028762850872126,-0.7815640522120827,-0.07585383697200723,-0.8264987871086982,-0.7362442724577413,0.0
2018-10-30,1.0,-0.41556738409318833,-0.7868548947003008,-0.06406695980868626,-0.8331790480598628,-0.7574635501041426,0.0
