Date,ETR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2612936210377284,-0.5166356414357253,-0.0,-0.4947694082483416,-0.3491518313625757,0.0
2018-09-25,1.0,-0.2598781000420345,-0.5190205968894495,-0.0,-0.496558427910887,-0.35172341319882305,0.0
2018-09-26,1.0,-0.2584902666102412,-0.5219001269572576,-0.0,-0.501560516292848,-0.3629919593736775,0.0
2018-09-27,1.0,-0.2577010762950003,-0.5266422777159218,-0.0,-0.5025449339907746,-0.36408461905519324,0.0
2018-09-28,1.0,-0.2604838923857329,-0.5263856797599129,-0.0,-0.5037314423817492,-0.36517674554484375,0.0
2018-10-01,1.0,-0.26052863201130877,-0.5327127730509695,-0.0,-0.5056677246419332,-0.3682820793214734,0.0
2018-10-02,1.0,-0.2603485548053057,-0.5359096853398809,-0.0,-0.5048973818356507,-0.3677173129787291,0.0
2018-10-03,1.0,-0.26063886804587844,-0.5249222853467681,-0.0,-0.5136670597062922,-0.3805874155858077,0.0
2018-10-04,1.0,-0.2711150700461576,-0.5205549707128782,-0.0,-0.5289767052662834,-0.37865414203579234,0.0
2018-10-05,1.0,-0.25258023660028567,-0.5117356975396805,-0.0,-0.5397881915438303,-0.39068689536231105,0.0
2018-10-08,1.0,-0.25086134396787935,-0.5138221969018747,-0.0,-0.5527251024117631,-0.3955128726838664,0.0
2018-10-09,1.0,-0.24583389968737254,-0.5150197091205655,-0.0,-0.5564768247927144,-0.4011417697431018,0.0
2018-10-10,1.0,-0.24601211989456237,-0.5145248512187832,-0.0,-0.556672735672165,-0.40025544172395994,0.0
2018-10-11,1.0,-0.18780820480537191,-0.4971146784177945,-0.0,-0.5363812821319903,-0.40168922463540024,0.0
2018-10-12,1.0,-0.18551754545218765,-0.48961278107736594,-0.0,-0.5284643514796276,-0.38996809917784053,0.0
2018-10-15,1.0,-0.16849807379062492,-0.5030121260697572,-0.0,-0.524937301238462,-0.389068438606924,0.0
