Date,IWF,IWM,MTUM,RWT,SPY,VLUE,VXX
2018-09-24,-0.15324384787472037,-0.5563567994668952,-0.0,1.0,-0.3479223190061402,-0.32240944357180257,0.0
2018-09-25,-0.15165458706847226,-0.5583396910165936,-0.0,1.0,-0.3494421132939157,-0.32469483120350945,0.0
2018-09-26,-0.15155922181956896,-0.5583158497043678,-0.0,1.0,-0.3494421132939157,-0.32479019645241275,0.0
2018-09-27,-0.15117971228857027,-0.5598205978481284,-0.0,1.0,-0.34964334279647874,-0.3250232602524036,0.0
2018-09-28,-0.1520452484368288,-0.5594005059424371,-0.0,1.0,-0.34984010309770414,-0.3252350723115842,0.0
2018-10-01,-0.15178294203348539,-0.560868422938212,-0.0,1.0,-0.34992476533951133,-0.3258019059447324,0.0
2018-10-02,-0.15137099280437952,-0.5655614257368937,-0.0,1.0,-0.34888001721211537,-0.32473524419688743,0.0
2018-10-03,-0.15087568188343384,-0.556703990812518,-0.0,1.0,-0.35319169298497466,-0.3317781605895301,0.0
2018-10-04,-0.15121787816432983,-0.5563956548786907,-0.0,1.0,-0.35335215581183904,-0.33174618366272673,0.0
2018-10-05,-0.14574039172650716,-0.5553355440513396,-0.0,1.0,-0.3530309898132023,-0.33153613092540024,0.0
2018-10-08,-0.14492753623188406,-0.5546338672768879,-0.0,1.0,-0.35304633867276886,-0.3310688405797102,0.0
2018-10-09,-0.14207715416527583,-0.5546230508797864,-0.0,1.0,-0.35425110867388293,-0.3332935959181727,0.0
2018-10-10,-0.14386190782728941,-0.5538945712037765,-0.0,1.0,-0.35548244045490307,-0.3309491452685787,0.0
2018-10-11,-0.09507458877572326,-0.5486161056074983,-0.0,1.0,-0.33918752755028647,-0.3371459063174257,0.0
2018-10-12,-0.09220462289345244,-0.5469656506123952,-0.0,1.0,-0.33292660465972923,-0.3301408969518372,0.0
2018-10-15,-0.07488743912524119,-0.5626895157585224,-0.0,1.0,-0.32934393090140585,-0.3302168519709639,0.0
2018-10-16,-0.07018673535093367,-0.571543556250575,-0.0,1.0,-0.32858062735718885,-0.3293625241468126,0.0
2018-10-17,-0.06162312117697887,-0.5557223093889988,-0.0,1.0,-0.3253746276462696,-0.33121859153648503,0.0
2018-10-18,-0.061094563561537946,-0.5548304949864714,-0.0,1.0,-0.3264136786339556,-0.3313476273845524,0.0
2018-10-19,-0.05172608430606669,-0.5498408254498656,-0.0,1.0,-0.32622880494908674,-0.3299993226614888,0.0
2018-10-22,-0.051730756203852146,-0.5435229299794523,-0.0,1.0,-0.3296452683631766,-0.3331000067739969,0.0
2018-10-23,-0.05215388783527499,-0.5434841506366839,-0.0,1.0,-0.3292468165808724,-0.3328592070802854,0.0
2018-10-24,-0.05086658241559849,-0.5440512727929229,-0.0,1.0,-0.32914334717458027,-0.3326638382379491,0.0
2018-10-25,-0.028015820698747525,-0.517358822236871,-0.0,1.0,-0.33746429356185453,-0.3144803339925291,0.0
