Date,CWH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4037244289514723,-2.527841482432805,-0.2197046142555729,-2.067149802770388,-1.955141730116503,0.0
2018-09-25,1.0,-1.4098102730217492,-2.5594632114761686,-0.209717723276261,-2.0930124942156407,-1.9830633965756594,0.0
2018-09-26,1.0,-1.4139177168272794,-2.5651408450704225,-0.2157153446997776,-2.0940511489992586,-1.9772979985174202,0.0
2018-09-27,1.0,-1.445713216023961,-2.5608386372145264,-0.22968925496068887,-2.1222388618494943,-2.0014039685511045,0.0
2018-09-28,1.0,-1.4414051522248243,-2.567868852459016,-0.23166276346604214,-2.1234660421545666,-2.00327868852459,0.0
2018-10-01,1.0,-1.4416861826697893,-2.5670257611241216,-0.23269320843091337,-2.1231850117096016,-2.0029976580796256,0.0
2018-10-02,1.0,-1.4489853704577629,-2.625861255309108,-0.2233128834355828,-2.1310995752713544,-2.009155261915998,0.0
2018-10-03,1.0,-1.447157537475252,-2.6149712454039786,-0.22211746959555012,-2.131516922786839,-2.0119732252286227,0.0
2018-10-04,1.0,-1.4472964046428236,-2.6192318580730394,-0.2235538359913183,-2.1313579314900446,-2.015192979145041,0.0
2018-10-05,1.0,-1.4183663789014325,-2.623280523669481,-0.17654871454321222,-2.1890712456123707,-2.079309363438004,0.0
2018-10-08,1.0,-1.4147150848582537,-2.6176163838058217,-0.16355361714231537,-2.203754622167441,-2.0817294017256094,0.0
2018-10-09,1.0,-1.4262010418676443,-2.671618753617596,-0.13042639398032027,-2.267123287671233,-2.1515531545437008,0.0
2018-10-10,1.0,-1.4327378078223079,-2.6708836310960886,-0.13577981651376145,-2.2726219217769192,-2.145147271849348,0.0
2018-10-11,1.0,-1.242404594294183,-2.6367173027047057,-0.0,-2.2103556872915897,-2.1732123008521675,0.0
2018-10-12,1.0,-1.2522095671981777,-2.61002277904328,-0.0,-2.1483371298405465,-2.1009567198177677,0.0
2018-10-15,1.0,-1.1952855847688124,-2.6477787851314596,-0.0,-2.129646418857661,-2.093472348141433,0.0
2018-10-16,1.0,-1.1855043541364296,-2.6666364296081277,-0.0,-2.1274492017416544,-2.0914368650217705,0.0
2018-10-17,1.0,-1.1087950747581354,-2.527968337730871,-0.0,-2.0804749340369395,-2.0779243623570802,0.0
2018-10-18,1.0,-1.107456911712979,-2.5255891663735492,-0.0,-2.0824832922968697,-2.0779985930355256,0.0
2018-10-19,1.0,-1.060950234090515,-2.484827466620427,-0.0,-2.06615224553494,-2.058089127796081,0.0
2018-10-22,1.0,-1.0651057533292714,-2.464966489685786,-0.0,-2.0918269649229697,-2.082165549656193,0.0
2018-10-23,1.0,-1.0696075872270077,-2.464456625772209,-0.0,-2.0875315409379622,-2.079439658922823,0.0
