Date,CROX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.556171207808052,-1.6651586010573403,-0.08646807645384302,-0.9027043513623423,-0.8728649857665718,0.0
2018-09-25,1.0,-0.556910569105691,-1.663617886178862,-0.08810975609756098,-0.9014735772357724,-0.8711382113821139,0.0
2018-09-26,1.0,-0.5566397316664126,-1.663617421354881,-0.08700513289627483,-0.902017583981298,-0.8728464704985517,0.0
2018-09-27,1.0,-0.5598598700243704,-1.653736799350122,-0.0897136474411048,-0.9017059301380992,-0.8721567831031681,0.0
2018-09-28,1.0,-0.5565155519414515,-1.6585688147997562,-0.0909229518194755,-0.9027749542589958,-0.87355153486481,0.0
2018-10-01,1.0,-0.5563970924617496,-1.658770904285061,-0.09154679001677428,-0.9026584659177553,-0.8737864077669903,0.0
2018-10-02,1.0,-0.5568037411680984,-1.6571443094596658,-0.09276673613582066,-0.9025568037411681,-0.873837238855284,0.0
2018-10-03,1.0,-0.5773388773388773,-1.7193866943866944,-0.10098752598752599,-0.9196465696465697,-0.8801455301455301,0.0
2018-10-04,1.0,-0.577576797130828,-1.7185404646811164,-0.10192837465564737,-0.9194344820416861,-0.8802432558864806,0.0
2018-10-05,1.0,-0.5697915586435757,-1.7236337239448303,-0.0899097791143835,-0.9207196930415846,-0.881053614020533,0.0
2018-10-08,1.0,-0.5665218290916616,-1.7190151044899649,-0.08457479826194911,-0.9234947237740534,-0.8791640802813988,0.0
2018-10-09,1.0,-0.563975155279503,-1.72111801242236,-0.07701863354037267,-0.9282608695652174,-0.88555900621118,0.0
2018-10-10,1.0,-0.566547600559093,-1.7197805042190817,-0.07961898845576434,-0.9299580680229849,-0.8808821245535021,0.0
2018-10-11,1.0,-0.48414999999999997,-1.72295,-0.0,-0.9009,-0.8919499999999999,0.0
2018-10-12,1.0,-0.5216430651802751,-1.750326403535201,-0.0,-0.8840012051822838,-0.8656221753540223,0.0
2018-10-15,1.0,-0.5130391173520562,-1.7577231695085258,-0.0,-0.8809428284854565,-0.8633400200601805,0.0
2018-10-16,1.0,-0.51633626097867,-1.754479297365119,-0.0,-0.8828607277289837,-0.8651442910915934,0.0
2018-10-17,1.0,-0.48155798170551783,-1.6941083898888563,-0.0,-0.8702665486377497,-0.871938624963116,0.0
2018-10-18,1.0,-0.4813849407367333,-1.6946835194019574,-0.0,-0.8701126247971277,-0.8719323267594551,0.0
2018-10-19,1.0,-0.45632581478053297,-1.68241827836508,-0.0,-0.8670044331855604,-0.8659326740390704,0.0
2018-10-22,1.0,-0.4698102927336669,-1.7307939967308932,-0.0,-0.87656644707514,-0.8760711278418941,0.0
2018-10-23,1.0,-0.5136553551411394,-1.7764699887903803,-0.0,-0.8992153266075614,-0.9059410985427495,0.0
2018-10-24,1.0,-0.5104855950320676,-1.776443041840578,-0.0,-0.8979436017509926,-0.9052224371373307,0.0
2018-10-25,1.0,-0.4465775057987465,-1.7099146227113458,-0.0,-0.9216799091940976,-0.8569313527118393,0.0
2018-10-26,1.0,-0.41664229306814865,-1.6865555230574243,-0.0,-0.9297065418738423,-0.8418640928146631,0.0
2018-10-29,1.0,-0.3798679226959308,-1.7093813732154997,-0.0,-0.914052636690298,-0.852432747402156,0.0
2018-10-30,1.0,-0.3537173182725547,-1.7148838794488535,-0.0,-0.9203953454403818,-0.879740980573543,0.0
2018-10-31,1.0,-0.35470437266960436,-1.7002566461672557,-0.0,-0.9143867125078688,-0.872984359110939,0.0
2018-11-01,1.0,-0.31014973418524117,-1.7528166609764424,-0.0,-0.9268399746378579,-0.8875286543432669,0.0
2018-11-02,1.0,-0.3199049835175489,-1.704576304052744,-0.0,-0.9429901105293775,-0.8803083187899943,0.0
2018-11-05,1.0,-0.31400310318076025,-1.7227017067494181,-0.0,-0.9449185415050426,-0.8670965865011636,0.0
