Date,DCOM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24658192180845956,-0.9694854471518684,-0.015401364029329834,-0.5063238448976978,-0.46415420575710037,0.0
2018-09-25,1.0,-0.246025641025641,-0.9711858974358974,-0.013782051282051282,-0.5079166666666667,-0.46624999999999994,0.0
2018-09-26,1.0,-0.24573608617594256,-0.9711143883046937,-0.012727622467299308,-0.5084316491408054,-0.4679084380610413,0.0
2018-09-27,1.0,-0.245460378569137,-0.9730830927173566,-0.012415784408084699,-0.5088546679499519,-0.4683991017003529,0.0
2018-09-28,1.0,-0.24590900340114227,-0.9725983443496118,-0.012770326638002953,-0.5088558044022332,-0.46849130462683697,0.0
2018-10-01,1.0,-0.2473268096688484,-0.9874603071738708,-0.01360896895858985,-0.5151318773896701,-0.47667033892813165,0.0
2018-10-02,1.0,-0.24758069753848153,-1.000292264726895,-0.010391634734039099,-0.513963759173865,-0.47518997207248165,0.0
2018-10-03,1.0,-0.24751510426817383,-0.9902228285584356,-0.008770220229974663,-0.5187747677515753,-0.48297927629441945,0.0
2018-10-04,1.0,-0.24726953582108957,-0.9916785853595111,-0.009134052788974124,-0.51817058900013,-0.4842998309712651,0.0
2018-10-05,1.0,-0.22448578540547626,-0.9914515917725665,-0.0,-0.544707192453819,-0.5146076247871086,0.0
2018-10-08,1.0,-0.22088077476770054,-0.9880905640622955,-0.0,-0.5488810365135453,-0.5139706844653841,0.0
2018-10-09,1.0,-0.21180120124084217,-0.9955118474028116,-0.0,-0.5617120982113392,-0.5310540558378984,0.0
2018-10-10,1.0,-0.21020583758025016,-1.0000330928585612,-0.0,-0.5627771526904494,-0.5362697729829903,0.0
2018-10-11,1.0,-0.1350196053223629,-0.996657453236485,-0.0,-0.5379571896895288,-0.5443208844892974,0.0
2018-10-12,1.0,-0.12906413362233837,-0.9966211908708402,-0.0,-0.5283054953461686,-0.5335968379446641,0.0
2018-10-15,1.0,-0.0781766344845461,-1.075357999092853,-0.0,-0.5342448001036739,-0.5520313613684962,0.0
2018-10-16,1.0,-0.07165341554437774,-1.0887554762291094,-0.0,-0.5335388609443453,-0.5512250527340582,0.0
2018-10-17,1.0,-0.05221832109798914,-1.0549952122566228,-0.0,-0.5277369932971592,-0.5568783913182253,0.0
2018-10-18,1.0,-0.05163555130046274,-1.054252433381203,-0.0,-0.5285463539173447,-0.5569171852561033,0.0
2018-10-19,1.0,-0.03811758736601763,-1.0516902391069956,-0.0,-0.5269867444662903,-0.5543540305701782,0.0
2018-10-22,1.0,-0.038739538422520925,-1.0480281511539438,-0.0,-0.5280877504438245,-0.5553512553892975,0.0
2018-10-23,1.0,-0.034648425071587656,-1.0513203945275214,-0.0,-0.5352529430480432,-0.5604517976455615,0.0
2018-10-24,1.0,-0.034183657139199186,-1.0496431200588934,-0.0,-0.5440898761322537,-0.5727683000992222,0.0
2018-10-25,1.0,-0.0,-1.0100195427614231,-0.0,-0.548872413686137,-0.5431336662840835,0.0
2018-10-26,1.0,-0.0,-0.9989836146359492,-0.0,-0.5456757422693113,-0.535296291733399,0.0
2018-10-29,1.0,-0.0,-1.0034016760985867,-0.0,-0.5527723660203482,-0.536258774778118,0.0
