Date,IWF,IWM,KL,MTUM,SPY,VLUE,VXX
2018-09-24,-0.8960115835198106,-1.9834145057259447,1.0,-0.0,-1.4524812425957616,-1.249572199552455,0.0
2018-09-25,-0.899921094160968,-1.9800105207785377,1.0,-0.0,-1.450026301946344,-1.245528669121515,0.0
2018-09-26,-0.9281561184254494,-2.0234578627280624,1.0,-0.0,-1.4777785203501972,-1.2537592728730869,0.0
2018-09-27,-0.9287383957790689,-2.0201028517999067,1.0,-0.0,-1.4767915581379818,-1.2529887130167634,0.0
2018-09-28,-0.9258937520882057,-2.024523889074507,1.0,-0.0,-1.4775141997995322,-1.2543267624457066,0.0
2018-10-01,-0.9260125651650849,-2.0251971661542574,1.0,-0.0,-1.4775431092099987,-1.2548456088758186,0.0
2018-10-02,-0.92812291249165,-2.015497661990648,1.0,-0.0,-1.4792919171676688,-1.257114228456914,0.0
2018-10-03,-0.9677911981118977,-2.043731778425656,1.0,-0.0,-1.570734416215466,-1.3592947383034846,0.0
2018-10-04,-0.9954392365983721,-2.0458882963794554,1.0,-0.0,-1.6100196463654224,-1.3652119000841987,0.0
2018-10-05,-0.9550898203592814,-2.021863250243699,1.0,-0.0,-1.613981339646289,-1.3718841386993457,0.0
2018-10-08,-0.9467944710703619,-2.0119469333889004,1.0,-0.0,-1.6190178509411683,-1.3681322497742587,0.0
2018-10-09,-0.9587197545498919,-2.0219649954675405,1.0,-0.0,-1.6236664109894707,-1.3686632731329753,0.0
2018-10-10,-0.9617314930991218,-2.0199358706259583,1.0,-0.0,-1.6255402202704585,-1.36337655095497,0.0
2018-10-11,-0.7710296210940148,-2.01999593303057,1.0,-0.0,-1.5832711990781536,-1.40405341286518,0.0
2018-10-12,-0.9958841345033781,-2.36475887240817,1.0,-0.0,-1.807719189252155,-1.5974217597266445,0.0
2018-10-15,-0.932167994431124,-2.4175110217340863,1.0,-0.0,-1.7916312166447523,-1.5932400030938203,0.0
2018-10-16,-0.9280414283505951,-2.4214716339465143,1.0,-0.0,-1.788916370381821,-1.5907404544751893,0.0
2018-10-17,-0.85,-2.2683506686478454,1.0,-0.0,-1.736478454680535,-1.574665676077266,0.0
2018-10-18,-0.849004753416518,-2.2667855020796197,1.0,-0.0,-1.737225193107546,-1.5742721330956624,0.0
2018-10-19,-0.8042591081101135,-2.2542850782815167,1.0,-0.0,-1.7678266676560064,-1.593752318765304,0.0
2018-10-22,-0.8038082536860043,-2.238497443876417,1.0,-0.0,-1.7703934207601688,-1.5963547454989997,0.0
2018-10-23,-0.8056419369169258,-2.237079816377906,1.0,-0.0,-1.7672886124685325,-1.594106323115652,0.0
2018-10-24,-0.7994387830453403,-2.229434352385172,1.0,-0.0,-1.764215034706838,-1.59134544380446,0.0
2018-10-25,-0.681679389312977,-2.0541984732824425,1.0,-0.0,-1.7401110340041634,-1.4635669673837612,0.0
2018-10-26,-0.6407006550840216,-2.1049558530333234,1.0,-0.0,-1.8584448874964397,-1.5163771005411564,0.0
2018-10-29,-0.5791505791505791,-2.162090662090662,1.0,-0.0,-1.8533533533533533,-1.5554125554125553,0.0
2018-10-30,-0.5841980963286337,-2.1636012309453947,1.0,-0.0,-1.8547198167895227,-1.5541401273885351,0.0
2018-10-31,-0.5960203937119387,-2.1002690836991924,1.0,-0.0,-1.8474012179577963,-1.5373884718878343,0.0
2018-11-01,-0.5557832261711297,-2.1295131774182154,1.0,-0.0,-1.843708047763725,-1.5366353423302481,0.0
2018-11-02,-0.5630737134909596,-2.0422114047287896,1.0,-0.0,-1.8420027816411682,-1.5067454798331015,0.0
2018-11-05,-0.5544106384460071,-2.0725475179280095,1.0,-0.0,-1.8469679036413005,-1.4884077142658219,0.0
