Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XP
2020-08-10,-0.8158704453441296,-0.37222672064777323,-0.7875303643724696,-0.9308502024291498,-0.14210526315789473,0.0,1.0
2020-08-11,-0.8164703024413944,-0.3722417911656342,-0.7883315113972226,-0.9302400906919308,-0.14142272966516864,0.0,1.0
2020-08-12,-0.8129703050408609,-0.3723197669714378,-0.7813334412169269,-0.9323974431588317,-0.14665426005340237,0.0,1.0
2020-08-13,-0.8058240647118301,-0.38353892821031343,-0.7596359959555106,-0.9352881698685541,-0.16012133468149647,0.0,1.0
2020-08-14,-0.8021533230794139,-0.3817696106209018,-0.7564963976362018,-0.9386788634339837,-0.1685015785639116,0.0,1.0
2020-08-17,-0.8048839752156481,-0.3833880046976876,-0.7575021261086137,-0.9396995099825861,-0.16429757421131494,0.0,1.0
2020-08-18,-0.8040573372206025,-0.38184321347586647,-0.7480563654033041,-0.9443229672821509,-0.17095885973436994,0.0,1.0
2020-08-19,-0.8045758250658028,-0.38129175946547883,-0.7483701154079774,-0.9441182425592225,-0.17100627657420528,0.0,1.0
2020-08-20,-0.803627824115313,-0.3820552271438983,-0.7477123653737144,-0.9433962264150944,-0.17211919993521743,0.0,1.0
2020-08-21,-0.8019593555177719,-0.38264108169379,-0.7463363290421828,-0.9429196016516881,-0.17443931665452192,0.0,1.0
2020-08-24,-0.8010700389105059,-0.39149643320363164,-0.7459873540856031,-0.9417963683527887,-0.17282749675745784,0.0,1.0
2020-08-25,-0.8008283591180413,-0.39034393145734353,-0.7352499289397816,-0.949405124456897,-0.18475656799447762,0.0,1.0
2020-08-26,-0.8016082524468993,-0.3904073427283434,-0.7357754944564026,-0.9492750680258295,-0.18417739511838524,0.0,1.0
2020-08-27,-0.7935064935064935,-0.395900974025974,-0.7318181818181818,-0.9469561688311688,-0.19025974025974024,0.0,1.0
2020-08-28,-0.7913636917577285,-0.3969614494048828,-0.731039525531137,-0.9505219969939472,-0.19230612991022464,0.0,1.0
2020-08-31,-0.7922573831092335,-0.39683958240240486,-0.7320957062192793,-0.9504001299914693,-0.1906406142096925,0.0,1.0
2020-09-01,-0.791688670431003,-0.39842385343461834,-0.7275460047934355,-0.9529593370435064,-0.1916561725636755,0.0,1.0
2020-09-02,-0.7913315460232351,-0.3983264278170444,-0.7275164513770412,-0.9525144203428385,-0.19237955967178486,0.0,1.0
2020-09-03,-0.7980636237897648,-0.41034089984541533,-0.7386298917907412,-0.9486209421527947,-0.17240257098690098,0.0,1.0
2020-09-04,-0.7616892301475046,-0.41313396645787026,-0.7065669832289351,-0.9587391392200445,-0.20109112952111538,0.0,1.0
2020-09-08,-0.7592211045125844,-0.4130004443905789,-0.70561144103745,-0.9564497232658667,-0.2056316406092191,0.0,1.0
2020-09-09,-0.7411982456846257,-0.4212368728121354,-0.6804409930390698,-0.956142115639963,-0.2246408884239327,0.0,1.0
2020-09-10,-0.7348758737045071,-0.42154736080983374,-0.6717682975817466,-0.9561340081947458,-0.232706676307544,0.0,1.0
2020-09-11,-0.7332985386221295,-0.42227396820298696,-0.6711498313794766,-0.9558776296772121,-0.23221454954231574,0.0,1.0
2020-09-14,-0.7358020724556189,-0.42593782633143223,-0.6724636516989316,-0.9543738452887782,-0.22780946260743834,0.0,1.0
2020-09-15,-0.7409936142013736,-0.4108598738905177,-0.6625567291859111,-0.967227599501988,-0.23458773444716655,0.0,1.0
2020-09-16,-0.7392683612416175,-0.4112355941051279,-0.6567080271453238,-0.9685580050596314,-0.2398104646026583,0.0,1.0
2020-09-17,-0.73512645523886,-0.41376957045363305,-0.6540345242874348,-0.9672019269369732,-0.24427940586109997,0.0,1.0
2020-09-18,-0.73252267437194,-0.41351633357412315,-0.653664017978971,-0.9660486395376835,-0.24737137812023435,0.0,1.0
2020-09-21,-0.7301612773810479,-0.4160715718526839,-0.6559817058493139,-0.9628500361068763,-0.24685067800690041,0.0,1.0
2020-09-22,-0.7314265083440308,-0.41379172015404364,-0.6571726572528883,-0.9635750962772786,-0.24554717586649552,0.0,1.0
2020-09-23,-0.7313863928112966,-0.41383183568677795,-0.6572127727856226,-0.9632541720154043,-0.24582798459563543,0.0,1.0
2020-09-24,-0.7267085718861352,-0.4073347479681307,-0.6524002081915363,-0.9655282860231413,-0.2517115746486768,0.0,1.0
2020-09-25,-0.7273819536224919,-0.4065841643638111,-0.6521286395129962,-0.9660779366414354,-0.2527534142336497,0.0,1.0
2020-09-28,-0.7234357497199552,-0.40342454792766846,-0.64498319731157,-0.9663946231397024,-0.26236197791646665,0.0,1.0
2020-09-29,-0.727531467970817,-0.3921670808947326,-0.6553355247334242,-0.9748256233464284,-0.25875891926561373,0.0,1.0
2020-09-30,-0.7274731441398108,-0.39245630912297574,-0.6560044893378226,-0.9737854737854738,-0.25861792528459193,0.0,1.0
2020-10-01,-0.7275168323180506,-0.393635780698942,-0.6550176338570055,-0.9729079833279898,-0.25857646681628726,0.0,1.0
2020-10-02,-0.7255279080017631,-0.3881876828144408,-0.6532836478743439,-0.9760788556316866,-0.2637736907480867,0.0,1.0
2020-10-05,-0.7219463356027233,-0.3907488986784141,-0.6493792551061273,-0.9764517420905087,-0.26631958350020024,0.0,1.0
2020-10-06,-0.7225667080049606,-0.38404608553026365,-0.6458775053006361,-0.978517422090651,-0.26943233187982557,0.0,1.0
2020-10-07,-0.7159659159099092,-0.3949673960875305,-0.6431571788614634,-0.9727567308076969,-0.27363283594031285,0.0,1.0
2020-10-08,-0.7188576463991028,-0.38973003284466873,-0.6453176319794921,-0.9794120003204357,-0.27213009693182727,0.0,1.0
2020-10-09,-0.7181716208637129,-0.3896723018988863,-0.6449403092700905,-0.9797692492588735,-0.27353577437705306,0.0,1.0
2020-10-12,-0.7113443358436148,-0.3877583720557603,-0.6436468514661111,-0.9770870052876142,-0.285891684024996,0.0,1.0
2020-10-13,-0.7016532564749209,-0.3940194547856371,-0.6431287778711821,-0.9734598294703976,-0.29078099355510184,0.0,1.0
2020-10-14,-0.7011135143795563,-0.3938956981494833,-0.6409917487783385,-0.9770087318753505,-0.2924377152927982,0.0,1.0
2020-10-15,-0.698310797255547,-0.3872326766440637,-0.643140873891586,-0.9804196926533724,-0.30325402238895793,0.0,1.0
