Date,ESPO,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-06-17,1.0,-0.3005062680810029,-0.23389585342333655,-0.30650916104146575,-0.41639344262295086,-0.1534956605593057,0.0
2019-06-18,1.0,-0.29320547812854764,-0.22151638849303157,-0.31337407309002197,-0.42274341199487936,-0.16456124248206563,0.0
2019-06-19,1.0,-0.2930113375395847,-0.2212391519810477,-0.3122537288176566,-0.4232842604008026,-0.16757318635627436,0.0
2019-06-20,1.0,-0.293804839138527,-0.22078267385366562,-0.31016895893258556,-0.42445191075874406,-0.16794372869884702,0.0
2019-06-21,1.0,-0.2939625562382081,-0.21934110589715058,-0.3108944898650283,-0.42673310434908807,-0.1679164046248367,0.0
2019-06-24,1.0,-0.2972574247847538,-0.214569023894747,-0.30727000096739865,-0.4293073425558673,-0.17006868530521427,0.0
2019-06-25,1.0,-0.29335592399854776,-0.20193634273266367,-0.3127193513251846,-0.4380975432651579,-0.17429505022388964,0.0
2019-06-26,1.0,-0.29433834386270663,-0.20148621499285937,-0.31258925761866724,-0.43947425749763996,-0.172633311548423,0.0
2019-06-27,1.0,-0.30254035972269355,-0.19222378436030443,-0.3011829155960634,-0.4346487613322344,-0.193387307897416,0.0
2019-06-28,1.0,-0.30171891289063446,-0.1948505345843334,-0.3010158314544088,-0.4333406065895702,-0.19346861589933811,0.0
2019-07-01,1.0,-0.3137003221040905,-0.1882250369329878,-0.2989513453294907,-0.43452568356300403,-0.18643287883558163,0.0
2019-07-02,1.0,-0.31133651262436757,-0.19029751385896534,-0.29877266455251883,-0.4338037715752015,-0.1865453048972379,0.0
2019-07-03,1.0,-0.31102181122757755,-0.191096371250817,-0.2983853397564695,-0.43339223897939916,-0.18688421409378103,0.0
2019-07-05,1.0,-0.31158368413412685,-0.1910775632651086,-0.29421299656457156,-0.43252528185029276,-0.18991629167271495,0.0
2019-07-08,1.0,-0.31169774763865343,-0.18626786146766774,-0.2986679583434246,-0.4353596512472754,-0.1899007023492371,0.0
2019-07-09,1.0,-0.3115826188054062,-0.18674611248365064,-0.2983820181175217,-0.4363222399844984,-0.1890955771932374,0.0
2019-07-10,1.0,-0.3128497032820637,-0.18694441080295507,-0.2985103548504299,-0.4356545961002785,-0.1882281700375439,0.0
