Date,IWF,IWM,MTUM,SPY,UCTT,VLUE,VXX
2018-09-24,-0.9958416199602242,-1.3702163562948233,-0.41656120050623757,-1.1282468510817814,1.0,-1.1158319773398422,0.0
2018-09-25,-0.9994577006507592,-1.3671366594360088,-0.4223909375753193,-1.1255121716076164,1.0,-1.1110508556278622,0.0
2018-09-26,-1.013434399457694,-1.4035866149010907,-0.4039563690146053,-1.167806741850003,1.0,-1.173784433351821,0.0
2018-09-27,-1.0199026434161071,-1.3896111898453387,-0.40852794380430096,-1.1693265142645881,1.0,-1.1744408158235258,0.0
2018-09-28,-1.0158446362515412,-1.394512946979038,-0.40967940813810105,-1.1698520345252774,1.0,-1.175339087546239,0.0
2018-10-01,-1.0153542578775359,-1.395510883640624,-0.41031016834186346,-1.169636800887957,1.0,-1.1755565147684528,0.0
2018-10-02,-1.0152318697582634,-1.3963369511593489,-0.410828811050814,-1.1691539220522942,1.0,-1.1751356684755798,0.0
2018-10-03,-1.0147385298470646,-1.380858411445486,-0.40860878145041934,-1.1760606808090774,1.0,-1.1864824864331525,0.0
2018-10-04,-1.0138888888888888,-1.3853703703703704,-0.4089506172839506,-1.1751234567901234,1.0,-1.1895061728395062,0.0
2018-10-05,-0.9987085665088247,-1.3753151712686797,-0.3897054301703462,-1.1840600209089231,1.0,-1.2018941024537235,0.0
2018-10-08,-0.9958880569534798,-1.37019761875537,-0.38480422241315826,-1.1862035104946607,1.0,-1.200135019025408,0.0
2018-10-09,-0.9958880569534798,-1.3704431078924757,-0.38412912728611764,-1.1864489996317662,1.0,-1.2003191358782375,0.0
2018-10-10,-0.9961202118487499,-1.38046557457815,-0.3792338957999754,-1.190910210617071,1.0,-1.211663998029314,0.0
2018-10-11,-0.913888888888889,-1.4056763285024154,-0.24082125603864735,-1.1961352657004831,1.0,-1.2820652173913043,0.0
2018-10-12,-0.9384008133484839,-1.3989593923808383,-0.23365827402667305,-1.1642246277136536,1.0,-1.2452604509299683,0.0
2018-10-15,-0.9067943729422329,-1.4648308889554025,-0.18252020353187667,-1.1707273271475604,1.0,-1.2613588745884465,0.0
2018-10-16,-0.9054887173041241,-1.4691446698988448,-0.17920632070389658,-1.1705871790267552,1.0,-1.2610283114862035,0.0
2018-10-17,-0.8781752814286556,-1.4063770849295694,-0.14575352154181648,-1.1747509872104676,1.0,-1.288795897919491,0.0
2018-10-18,-0.8836191389854898,-1.4248710876603907,-0.15097733541191988,-1.2186113442858855,1.0,-1.317963784626454,0.0
2018-10-19,-0.8651404042210695,-1.4085136827043463,-0.12621474989566567,-1.2335300781017111,1.0,-1.3285637631908425,0.0
2018-10-22,-0.8641421392677674,-1.424802584350323,-0.13992581957406078,-1.2287030390045464,1.0,-1.3247188322565207,0.0
2018-10-23,-0.8639459883055036,-1.4417385014166013,-0.12279221170655252,-1.2546265597685213,1.0,-1.3449876424136475,0.0
2018-10-24,-0.865024393181955,-1.4381738240077093,-0.11353369872914532,-1.2571824369089923,1.0,-1.3490333072336325,0.0
2018-10-25,-0.8070472740022205,-1.359259042832934,-0.09098346286448898,-1.284053059077894,1.0,-1.302109507392041,0.0
2018-10-26,-0.7852473242695979,-1.3431298814000578,-0.0581428984668788,-1.3049464853919583,1.0,-1.2938385883714203,0.0
2018-10-29,-0.7573465735234686,-1.373073148201605,-0.026961491830725708,-1.2985970786906067,1.0,-1.3173604295364008,0.0
2018-10-30,-0.7614233724221593,-1.373519727340997,-0.029229969383628904,-1.2986540350066431,1.0,-1.3137889203396682,0.0
2018-10-31,-0.7615684923642209,-1.3527959582041567,-0.030313468825353084,-1.291480078080147,1.0,-1.3050292800551155,0.0
2018-11-01,-0.7578313253012049,-1.3565691336775674,-0.025760183591508893,-1.2917383820998278,1.0,-1.3053356282271944,0.0
2018-11-02,-0.7569608577852078,-1.374589266155531,-0.02651755346745835,-1.2940566092119674,1.0,-1.3125612497838242,0.0
2018-11-05,-0.7490189289012004,-1.40356648199446,-0.02510387811634349,-1.2987072945521698,1.0,-1.2946098799630656,0.0
2018-11-06,-0.759221843791491,-1.411764705882353,-0.020666166368411936,-1.2944640073890203,1.0,-1.2865554465161924,0.0
2018-11-07,-0.7563437139561706,-1.4103806228373703,-0.024567474048442905,-1.291118800461361,1.0,-1.2845444059976932,0.0
2018-11-08,-0.6894768856447689,-1.5617396593673964,-0.0,-1.3916058394160586,1.0,-1.439902676399027,0.0
2018-11-09,-0.6918392204628502,-1.563824604141291,-0.0,-1.3923873325213154,1.0,-1.442082825822168,0.0
2018-11-12,-0.688944144581236,-1.5464248893201527,-0.0,-1.3931105585541876,1.0,-1.4361695675905148,0.0
2018-11-13,-0.6620116776018781,-1.5387347258171313,-0.0,-1.3889122975982664,1.0,-1.4297237103473184,0.0
2018-11-14,-0.6640577965081276,-1.537688139674895,-0.0,-1.3895845875978325,1.0,-1.4291992775436484,0.0
2018-11-15,-0.6628585172268655,-1.539835247429499,-0.0,-1.395105525825266,1.0,-1.4150682460465394,0.0
2018-11-16,-0.6604271658267339,-1.5320374370050396,-0.0,-1.3917086633069355,1.0,-1.4154067674586033,0.0
2018-11-19,-0.6553237539830458,-1.5379065712739735,-0.0,-1.3987254253592256,1.0,-1.4201887813383034,0.0
2018-11-20,-0.5856673633920574,-1.5232009555091073,-0.0,-1.4062108091967753,1.0,-1.4568527918781726,0.0
2018-11-21,-0.6042087742242301,-1.521162763048389,-0.0,-1.413743906788729,1.0,-1.4054809178456782,0.0
2018-11-23,-0.6087085836654571,-1.4935458925703409,-0.0,-1.432633394801023,1.0,-1.4135982392481112,0.0
