Date,IWF,IWM,LLY,MTUM,SPY,VLUE,VXX
2018-09-24,-0.28154129633644054,-0.41215044439627146,1.0,-0.0,-0.5282083243008888,-0.48783329720355517,0.0
2018-09-25,-0.28084252758274825,-0.4127788771720567,1.0,-0.0,-0.5286128656238988,-0.4885738295968988,0.0
2018-09-26,-0.2812144212523719,-0.4130929791271347,1.0,-0.0,-0.528598536188669,-0.4878557874762808,0.0
2018-09-27,-0.28490908598216946,-0.406877489634989,1.0,-0.0,-0.5296046391892257,-0.48841557596943336,0.0
2018-09-28,-0.2846110072351841,-0.40731105872151313,1.0,-0.0,-0.529469148849687,-0.4883884779015256,0.0
2018-10-01,-0.28442480754635147,-0.4081643716794969,1.0,-0.0,-0.5293830640789331,-0.48861541797679714,0.0
2018-10-02,-0.28543163030220897,-0.4048245019650359,1.0,-0.0,-0.5303970727740887,-0.4897411573383927,0.0
2018-10-03,-0.28488214575995663,-0.39940395556759684,1.0,-0.0,-0.5320509347060417,-0.4929829314548903,0.0
2018-10-04,-0.2855788504252668,-0.3983422720624086,1.0,-0.0,-0.5325857305379489,-0.492198927352511,0.0
2018-10-05,-0.2613931392586864,-0.4000165718389217,1.0,-0.0,-0.568303596089046,-0.5322874661658289,0.0
2018-10-08,-0.25875443262411346,-0.3990746897163121,1.0,-0.0,-0.5777648492907802,-0.5347683953900709,0.0
2018-10-09,-0.25693944262840046,-0.39880325779821596,1.0,-0.0,-0.5784530998947309,-0.5360130755166491,0.0
2018-10-10,-0.25746330656327887,-0.3980614788147328,1.0,-0.0,-0.5788701190805872,-0.5349210744945999,0.0
2018-10-11,-0.21340507218947707,-0.38319904828854157,1.0,-0.0,-0.5664846158005732,-0.5406640350402855,0.0
2018-10-12,-0.206263321856042,-0.39118434716073675,1.0,-0.0,-0.5808602503142591,-0.554380499535443,0.0
2018-10-15,-0.20849969917409616,-0.3880380681507411,1.0,-0.0,-0.5829732538423672,-0.5552699228791774,0.0
2018-10-16,-0.2058196138489307,-0.39241371766121536,1.0,-0.0,-0.5821254717497129,-0.554422140786523,0.0
2018-10-17,-0.1888498920086393,-0.3624730021598272,1.0,-0.0,-0.5823434125269978,-0.5661447084233261,0.0
2018-10-18,-0.18810053743010693,-0.36238532110091737,1.0,-0.0,-0.5927202649150426,-0.5710873459638456,0.0
2018-10-19,-0.1752574540356931,-0.3507305763735375,1.0,-0.0,-0.5969429018170054,-0.5729228446649054,0.0
2018-10-22,-0.17673601729262362,-0.35863280194542013,1.0,-0.0,-0.5951364496082141,-0.5714671710348554,0.0
