Date,ECOM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8160660214926082,-1.7801460547408419,-0.13548655227691028,-1.2411684379267351,-0.9643768924775871,0.0
2018-09-25,1.0,-0.8184029425723778,-1.7764000949216896,-0.1401281442809682,-1.2379568106312293,-0.9597769340294259,0.0
2018-09-26,1.0,-0.8377190341422291,-1.8102005178539171,-0.15312819895224905,-1.2574817847895465,-0.9630878545191787,0.0
2018-09-27,1.0,-0.8502024291497975,-1.7984168227687474,-0.15916369569158256,-1.2654541059882771,-0.9694845610006647,0.0
2018-09-28,1.0,-0.8543066400338962,-1.7989225833787303,-0.1597966224804794,-1.2679619877731372,-0.9719750620422493,0.0
2018-10-01,1.0,-0.8591050607411024,-1.819424943532141,-0.16213906354923385,-1.2788596544777486,-0.9850436481289299,0.0
2018-10-02,1.0,-0.8638865109453344,-1.7958909135379726,-0.17200684847743672,-1.2880029350617586,-0.9949859361624068,0.0
2018-10-03,1.0,-0.8637837176585725,-1.7803535384427183,-0.16973515199706404,-1.29549207902624,-1.007217566823659,0.0
2018-10-04,1.0,-0.8652659866853967,-1.772430220484945,-0.17089110120320042,-1.2965858425456547,-1.0025041226409335,0.0
2018-10-05,1.0,-0.8408455837686793,-1.7608431539302638,-0.1432997205685822,-1.3118697606609162,-1.0177985663953348,0.0
2018-10-08,1.0,-0.8365949712208423,-1.7537109966676763,-0.1353529233565586,-1.3173583762496215,-1.0156922144804605,0.0
2018-10-09,1.0,-0.8413313645871786,-1.7855297157622738,-0.11037283130306387,-1.3563430540174726,-1.058816291374431,0.0
2018-10-10,1.0,-0.841409420735457,-1.7845283482966428,-0.11044152010822778,-1.3561677530439062,-1.0566965932849588,0.0
2018-10-11,1.0,-0.7402122846702628,-1.7288440345687603,-0.007134156951452931,-1.293138449045879,-1.0307986775709064,0.0
2018-10-12,1.0,-0.7384780885516928,-1.6994111652134525,-0.0,-1.2480466538330879,-0.9759936587022987,0.0
2018-10-15,1.0,-0.6996673620116142,-1.7299994362067994,-0.0,-1.2372441788352033,-0.9710210294863844,0.0
