Date,GWW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.40681166515140915,-0.7716623540107699,-0.12567312399468494,-0.6240296524232464,-0.5685712287572557,0.0
2018-09-25,1.0,-0.4063604240282686,-0.7727320435223736,-0.12461952909071827,-0.624986880313473,-0.5698841969002555,0.0
2018-09-26,1.0,-0.4073348264277715,-0.7740061590145576,-0.12664473684210525,-0.6246150615901456,-0.5668393057110862,0.0
2018-09-27,1.0,-0.4107442641298265,-0.7658435926133184,-0.1290570789031897,-0.625,-0.5668718522663682,0.0
2018-09-28,1.0,-0.40838960221110454,-0.768253857187839,-0.12969247454780813,-0.6250218661442116,-0.567190287933387,0.0
2018-10-01,1.0,-0.4082018265159733,-0.7686763007802933,-0.13002554323104376,-0.6248644109311032,-0.5673046642639701,0.0
2018-10-02,1.0,-0.40830038142562197,-0.7686601112783007,-0.13045456136053468,-0.6246631906778177,-0.5672393883192777,0.0
2018-10-03,1.0,-0.40796054702528767,-0.7645412892168865,-0.13011087405127486,-0.6256514287712918,-0.5693400020985625,0.0
2018-10-04,1.0,-0.4085664335664336,-0.7628671328671329,-0.13055944055944058,-0.6261188811188811,-0.5683566433566434,0.0
2018-10-05,1.0,-0.4017916274530308,-0.7597685524068459,-0.12248597023249329,-0.6296838509533271,-0.5719265223604867,0.0
2018-10-08,1.0,-0.4,-0.7566457898399443,-0.11906750173973557,-0.6324982602644398,-0.571259568545581,0.0
2018-10-09,1.0,-0.4035827553758756,-0.7581988638343846,-0.12532673474366568,-0.6306416199072944,-0.5674206252396055,0.0
2018-10-10,1.0,-0.40419624657341674,-0.7714908273002038,-0.11942081956842623,-0.6370633302874815,-0.5822379981724889,0.0
2018-10-11,1.0,-0.38352754054147503,-0.766985927180941,-0.09283911344697623,-0.6302340859583001,-0.5840738563673454,0.0
2018-10-12,1.0,-0.38766504754737635,-0.7606211944995553,-0.08917698570158035,-0.6162003147020593,-0.5670110145720736,0.0
2018-10-15,1.0,-0.3749829258298047,-0.7816896598825297,-0.07078950962983199,-0.6169239174976096,-0.5704480262259255,0.0
2018-10-16,1.0,-0.3719748721293467,-0.8101335347224605,-0.05279599052555696,-0.6229789571247125,-0.5748515327314544,0.0
2018-10-17,1.0,-0.4025906528605125,-0.928637108703474,-0.0,-0.8366849238396034,-0.8300483748450805,0.0
2018-10-18,1.0,-0.4020626798848737,-0.9277662296130477,-0.0,-0.8374640230252638,-0.8301087304125361,0.0
2018-10-19,1.0,-0.3831127664632697,-0.9123147634519376,-0.0,-0.8384182581821064,-0.8284333148426974,0.0
2018-10-22,1.0,-0.3830335208812109,-0.9019732149932642,-0.0,-0.8438862033441636,-0.833425786512402,0.0
2018-10-23,1.0,-0.3845117845117845,-0.9017231134878194,-0.0,-0.8424242424242424,-0.8325212913448207,0.0
2018-10-24,1.0,-0.38214116157619876,-0.8973334388352588,-0.0,-0.8427757556575407,-0.8340718468112044,0.0
2018-10-25,1.0,-0.3344965104685942,-0.8390213973464222,-0.0,-0.8628345732034665,-0.798259068947005,0.0
2018-10-26,1.0,-0.30814262905800954,-0.8255911198966015,-0.0,-0.8777845358473352,-0.7899338553942067,0.0
2018-10-29,1.0,-0.27425791494051915,-0.8493405799855573,-0.0,-0.8694082322982782,-0.8076849986697578,0.0
2018-10-30,1.0,-0.2615156582547887,-0.8500304043782304,-0.0,-0.8704013377926421,-0.818599878382487,0.0
2018-10-31,1.0,-0.26346966495623303,-0.8327044974343496,-0.0,-0.8650392393600966,-0.811764261998189,0.0
2018-11-01,1.0,-0.2454792043399638,-0.8461799276672695,-0.0,-0.8638863773357445,-0.8117842073538276,0.0
2018-11-02,1.0,-0.2515245613378727,-0.8127876089640464,-0.0,-0.8719368476186912,-0.805005798944966,0.0
2018-11-05,1.0,-0.24552467979926595,-0.8323721069582803,-0.0,-0.8749906374054378,-0.7921504007190474,0.0
