Date,FNB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11260024167856751,-0.6880424036032077,-0.09224980775568495,-0.37756783477974293,-0.47588707019663845,0.0
2018-09-25,1.0,-0.11172231695912867,-0.6904395181253093,-0.0898289234831399,-0.3797238571978656,-0.4786841960503878,0.0
2018-09-26,1.0,-0.11202178277730411,-0.6908330812178552,-0.09059655106026017,-0.37946588189994224,-0.47743337275502623,0.0
2018-09-27,1.0,-0.11109579220206255,-0.6975128219268737,-0.08914685931726686,-0.3808801632382948,-0.478795566094965,0.0
2018-09-28,1.0,-0.10973221918866,-0.6987948484597778,-0.08954524144397562,-0.3808775268194479,-0.47883400899037537,0.0
2018-10-01,1.0,-0.11242472791558478,-0.6979172421413181,-0.08897298491796034,-0.38323849511076735,-0.47966963151207115,0.0
2018-10-02,1.0,-0.11284530386740331,-0.6971546961325966,-0.0894475138121547,-0.3833425414364641,-0.4796685082872928,0.0
2018-10-03,1.0,-0.11272195068069478,-0.6937840002209151,-0.08908403059674702,-0.3843371165051225,-0.48151216413994974,0.0
2018-10-04,1.0,-0.11133311133311134,-0.703934953934954,-0.08866133866133866,-0.38264513264513267,-0.4884282384282384,0.0
2018-10-05,1.0,-0.10154024832010619,-0.7014075159693609,-0.08140917512374526,-0.3862234880955673,-0.4946492271105827,0.0
2018-10-08,1.0,-0.10020986358866737,-0.6998398409454907,-0.0796100955431601,-0.38741923013199314,-0.494283978571823,0.0
2018-10-09,1.0,-0.09787116394802323,-0.7016588332872546,-0.0725739563173901,-0.3921481891069947,-0.5005252972076306,0.0
2018-10-10,1.0,-0.09876167836806898,-0.7006744430316767,-0.07385704019017082,-0.39269721930454976,-0.4981480457736746,0.0
2018-10-11,1.0,-0.06113619771246249,-0.7067030797934185,-0.03141984154881973,-0.38723197144634025,-0.5174539653354244,0.0
2018-10-12,1.0,-0.05635168624070682,-0.709352440469777,-0.027610171317745933,-0.3841180907229824,-0.5162428617605861,0.0
2018-10-15,1.0,-0.027797383136978125,-0.7652424127259895,-0.0,-0.3909278462457245,-0.5306205548618275,0.0
2018-10-16,1.0,-0.023626537761725006,-0.7725877848084078,-0.0,-0.38994650082828664,-0.5295060152622002,0.0
2018-10-17,1.0,-0.005287596961644791,-0.7432965617199453,-0.0,-0.3914163781302842,-0.5440588345814209,0.0
