Date,FSK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2738035405148824,-0.563969397442341,-0.0,-0.472776009381806,-0.48165521862958616,0.0
2018-09-25,1.0,-0.2736742159792231,-0.5641319221424781,-0.0,-0.47289787483593504,-0.48186210170627497,0.0
2018-09-26,1.0,-0.2760509838998211,-0.5667486583184257,-0.0,-0.4734738372093023,-0.4788685152057245,0.0
2018-09-27,1.0,-0.27657791064792825,-0.565309714732754,-0.0,-0.4733871643709312,-0.4787237014892012,0.0
2018-09-28,1.0,-0.27794240984064855,-0.5648588202404249,-0.0,-0.4737769080234834,-0.4790327089740005,0.0
2018-10-01,1.0,-0.2814586255259467,-0.5651612903225807,-0.0,-0.4775596072931277,-0.48089761570827494,0.0
2018-10-02,1.0,-0.28172254173095806,-0.5653247299761538,-0.0,-0.47751437789311263,-0.48085285453780335,0.0
2018-10-03,1.0,-0.28111232707579203,-0.5566405701938996,-0.0,-0.48121334568005164,-0.48713415831860146,0.0
2018-10-04,1.0,-0.2812517541397698,-0.5569183272523155,-0.0,-0.48111142295818127,-0.48734212742071287,0.0
2018-10-05,1.0,-0.28652858513460133,-0.5659743777865568,-0.0,-0.48244821942547556,-0.4869067103109657,0.0
2018-10-08,1.0,-0.2842579555054914,-0.5629400168966487,-0.0,-0.483272317656998,-0.48566600957476763,0.0
2018-10-09,1.0,-0.2890230484949361,-0.565238243010692,-0.0,-0.4831720596947556,-0.48370807120489745,0.0
2018-10-10,1.0,-0.2928648098977459,-0.5649680808993842,-0.0,-0.4863002090277386,-0.4805943167052709,0.0
2018-10-11,1.0,-0.23370250561982567,-0.5532101540654641,-0.0,-0.4654038050331707,-0.4890619003234827,0.0
2018-10-12,1.0,-0.23953375162267418,-0.5456241886629165,-0.0,-0.44858827347468627,-0.470710731285158,0.0
2018-10-15,1.0,-0.2222941446179572,-0.5599428216953907,-0.0,-0.4444264638455107,-0.47042640990371387,0.0
2018-10-16,1.0,-0.21888319395737796,-0.5657135149716753,-0.0,-0.44351227407607235,-0.46949015376315084,0.0
2018-10-17,1.0,-0.19904191616766467,-0.5320292747837658,-0.0,-0.44502994011976055,-0.4852162341982702,0.0
