Date,GLP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4021391553644283,-0.8663579225934503,-0.0,-0.7122799279597163,-0.6947476752306392,0.0
2018-09-25,1.0,-0.40322580645161293,-0.8654566830773753,-0.0,-0.7116614005437579,-0.6936953486663239,0.0
2018-09-26,1.0,-0.402220669877569,-0.8652156329276812,-0.0,-0.7124526637008713,-0.6967167910584948,0.0
2018-09-27,1.0,-0.4048108703635696,-0.8588688946015425,-0.0,-0.712376055820786,-0.696401028277635,0.0
2018-09-28,1.0,-0.4030267411107846,-0.8610049955921246,-0.0,-0.7124963267704967,-0.6967014399059653,0.0
2018-10-01,1.0,-0.4028242562424153,-0.8637517008053543,-0.0,-0.7129408303607545,-0.6978634207332769,0.0
2018-10-02,1.0,-0.40826920952836787,-0.8470233054747615,-0.0,-0.7207761128088067,-0.7057177570781634,0.0
2018-10-03,1.0,-0.40806712792580596,-0.8446194612100691,-0.0,-0.7210363609598116,-0.7065361401442661,0.0
2018-10-04,1.0,-0.4157203952219437,-0.8373396254239788,-0.0,-0.7313449343754609,-0.7023669075357618,0.0
2018-10-05,1.0,-0.3942353589131632,-0.8258123737837342,-0.0,-0.7387185606756014,-0.7129796218101707,0.0
2018-10-08,1.0,-0.3902573125137453,-0.8210908291180998,-0.0,-0.7423209442123011,-0.7117513378784546,0.0
2018-10-09,1.0,-0.393235758042625,-0.8225303547191959,-0.0,-0.7421591284252228,-0.7103187704046073,0.0
2018-10-10,1.0,-0.3980382792696815,-0.8225267256897247,-0.0,-0.7462988134161125,-0.7067705080636274,0.0
2018-10-11,1.0,-0.30990971777919957,-0.8064974763631194,-0.0,-0.7180635529963746,-0.7199829387929196,0.0
2018-10-12,1.0,-0.31885073580939033,-0.7968465311843028,-0.0,-0.6948142957252978,-0.6933076384022424,0.0
2018-10-15,1.0,-0.3006321377431635,-0.8097998812558936,-0.0,-0.6899731079523628,-0.6920685921838439,0.0
2018-10-16,1.0,-0.3001117474507613,-0.8105531498812684,-0.0,-0.6896563765889091,-0.6917865623690459,0.0
2018-10-17,1.0,-0.2808273122624388,-0.7715988083416088,-0.0,-0.6793822552477484,-0.6924973461630654,0.0
2018-10-18,1.0,-0.2832743393243754,-0.778961476339393,-0.0,-0.6791642324478504,-0.6951441630296573,0.0
2018-10-19,1.0,-0.26465279433300415,-0.7641589755815141,-0.0,-0.6816742158498791,-0.6951946327010183,0.0
2018-10-22,1.0,-0.26474692807787875,-0.7588413492630791,-0.0,-0.6834473603594404,-0.6967561863916403,0.0
2018-10-23,1.0,-0.26723609882256855,-0.758796705914381,-0.0,-0.6813448580956918,-0.6956033485333152,0.0
2018-10-24,1.0,-0.2692095841366015,-0.7608441200771138,-0.0,-0.6970875791792894,-0.7154365188653263,0.0
2018-10-25,1.0,-0.23538385010777652,-0.7081412701044604,-0.0,-0.6931188857569226,-0.6795556292488808,0.0
2018-10-26,1.0,-0.21555001966697257,-0.6934574537826144,-0.0,-0.6994558804248066,-0.6693654123508588,0.0
2018-10-29,1.0,-0.1845271267005409,-0.7155548270775283,-0.0,-0.691821012948697,-0.6862153745287658,0.0
2018-10-30,1.0,-0.1297526064067715,-0.774145821147163,-0.0,-0.7485806695798782,-0.7883219213432887,0.0
2018-10-31,1.0,-0.13372885979268959,-0.7513638843426078,-0.0,-0.7436920349154392,-0.7809601745771959,0.0
2018-11-01,1.0,-0.12765595205666033,-0.7548692454372106,-0.0,-0.7423726505039498,-0.7801348406428766,0.0
