Date,ANGI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6669896193771626,-1.3068512110726644,-0.32705882352941174,-0.7525259515570935,-0.5601845444059977,0.0
2018-09-25,1.0,-0.667220223267829,-1.3063013193098993,-0.3276132484546545,-0.7521450318295045,-0.5596918534920196,0.0
2018-09-26,1.0,-0.6680660638494187,-1.3073445285107954,-0.32944270160546224,-0.751706957003137,-0.55683705480716,0.0
2018-09-27,1.0,-0.6760140441652036,-1.2951584588376603,-0.33387230897163445,-0.755289660907327,-0.5594567125565924,0.0
2018-09-28,1.0,-0.6733826247689463,-1.2975970425138632,-0.3345656192236599,-0.7554528650646949,-0.5600739371534196,0.0
2018-10-01,1.0,-0.6731214676179006,-1.3035763921059946,-0.33535624942092096,-0.7572037431668674,-0.5633280830167702,0.0
2018-10-02,1.0,-0.6817259122881557,-1.3792663928622009,-0.3196431100410707,-0.7681159420289855,-0.5721097106170042,0.0
2018-10-03,1.0,-0.681277720109465,-1.3752477116164954,-0.3194772105312825,-0.7686137586109276,-0.5737001038029631,0.0
2018-10-04,1.0,-0.6833246900193297,-1.3693366649380039,-0.3202112111640186,-0.7711564754137005,-0.5704587242468531,0.0
2018-10-05,1.0,-0.674257007371238,-1.3672472886050988,-0.3099206535518099,-0.772900136156627,-0.5707310202356918,0.0
2018-10-08,1.0,-0.6721711390504785,-1.364092700319009,-0.3030587352223682,-0.7806811784574967,-0.5712610245824733,0.0
2018-10-09,1.0,-0.6882944412824891,-1.3790077784101689,-0.3219977233921457,-0.7846708404477329,-0.5689622462530829,0.0
2018-10-10,1.0,-0.6922043010752688,-1.4019777265745006,-0.3147561443932412,-0.7982910906298003,-0.5931259600614439,0.0
2018-10-11,1.0,-0.6335697399527186,-1.394984471329903,-0.24405506883604505,-0.7703610995225514,-0.5924535298753071,0.0
2018-10-12,1.0,-0.6489366567573747,-1.3910359021266863,-0.2408415275554539,-0.7396295449348274,-0.5531214269380288,0.0
2018-10-15,1.0,-0.6343855487637989,-1.415336191953289,-0.2199160660523675,-0.7381625764072621,-0.5538272055469392,0.0
2018-10-16,1.0,-0.636517213039905,-1.4105104556661492,-0.22440872979636564,-0.7392018993699205,-0.5551547803853529,0.0
2018-10-17,1.0,-0.6159391090217148,-1.3625251846877098,-0.20953660174613836,-0.7300649205283188,-0.5591672263263936,0.0
2018-10-18,1.0,-0.6155430208613126,-1.3619840630316054,-0.2096875279792282,-0.7304593070104755,-0.5590025964723789,0.0
2018-10-19,1.0,-0.6014119527573039,-1.3520113666637066,-0.195364532457153,-0.7349258502797265,-0.556389308231951,0.0
2018-10-22,1.0,-0.604244361569881,-1.3437666489078317,-0.18748890072811222,-0.7416977446279523,-0.5625110992718878,0.0
2018-10-23,1.0,-0.6043238923910149,-1.3436473408505727,-0.1877830063038267,-0.7413211400159816,-0.5622391902690226,0.0
2018-10-24,1.0,-0.6077090456947467,-1.34135618810782,-0.1763843865180514,-0.7467027843154669,-0.5684977130423198,0.0
2018-10-25,1.0,-0.5662557781201849,-1.2794898133881185,-0.17146036637562062,-0.7442218798151002,-0.5186611881527136,0.0
2018-10-26,1.0,-0.5565493853327681,-1.2646884272997032,-0.16473081814328105,-0.7431962696057651,-0.5099618482407801,0.0
