Date,IWF,IWM,MTUM,SMAR,SPY,VLUE,VXX
2018-12-26,-0.479539398553483,-2.2114579368100493,-0.0,1.0,-3.388180433955082,-2.4373810430148457,0.0
2018-12-27,-0.2797178437690499,-2.084995210310894,-0.0,1.0,-2.911260123661064,-2.4326395541234866,0.0
2018-12-28,-0.2620539599651871,-2.1078328981723238,-0.0,1.0,-2.911749347258486,-2.421496953872933,0.0
2018-12-31,-0.26623150565709314,-2.1034812880765883,-0.0,1.0,-2.9111401218450825,-2.4224543080939944,0.0
2019-01-02,-0.25110859925223894,-2.1042518041909397,-0.0,1.0,-2.9054864794365707,-2.4340492131119036,0.0
2019-01-03,-0.29972110859334145,-2.092818546278543,-0.0,1.0,-2.9603451281157405,-2.3623845215269306,0.0
2019-01-04,-0.19633216213900076,-2.1209186734081755,-0.0,1.0,-2.89570657297112,-2.356757219984574,0.0
2019-01-07,-0.06835297969875573,-1.976588081204977,-0.14259986902423052,1.0,-2.803290766208251,-2.195153896529142,0.0
2019-01-08,-0.07040533941071138,-1.9340713006674264,-0.1531824841282761,1.0,-2.8100276737750285,-2.171577405176624,0.0
2019-01-09,-0.06344827586206897,-1.8968762677484787,-0.15075050709939147,1.0,-2.809655172413793,-2.1928600405679513,0.0
2019-01-10,-0.06297617117847301,-1.892040849408332,-0.15026746636407845,1.0,-2.8116388393580807,-2.1880369589884907,0.0
2019-01-11,-0.0461525960835297,-1.8859185829202894,-0.16868448850247827,1.0,-2.822865036158284,-2.2017550987243033,0.0
2019-01-14,-0.06629295637338534,-1.8898367048501095,-0.16565114956535867,1.0,-2.8282557478267933,-2.174100251848241,0.0
2019-01-15,-0.06660717183190006,-1.8765211747525556,-0.16217751095245822,1.0,-2.8297906863540483,-2.177835469738764,0.0
2019-01-16,-0.05343820953616608,-1.8787706779111255,-0.15342199156665584,1.0,-2.834009082062926,-2.189263704184236,0.0
2019-01-17,-0.05775617658971243,-1.863102470635885,-0.16500607533414335,1.0,-2.8281895504252734,-2.1864722559740786,0.0
2019-01-18,-0.05823909531502424,-1.8533117932148628,-0.17003231017770598,1.0,-2.8195476575121163,-2.176494345718902,0.0
2019-01-22,-0.04774493310902828,-1.8572458543619321,-0.19810942882319954,1.0,-2.786028999439237,-2.1216854922694863,0.0
2019-01-23,-0.0,-1.8375049662296388,-0.24123957091775927,1.0,-2.7834723877632106,-2.0835915772745333,0.0
2019-01-24,-0.0017479739392976324,-1.8372795169235658,-0.24185603051009055,1.0,-2.7811854441442874,-2.083267122199269,0.0
2019-01-25,-0.0,-1.8237441472898974,-0.26529640504721846,1.0,-2.790492818030315,-2.0564240933259263,0.0
2019-01-28,-0.0,-1.7915876027830486,-0.2900063251106894,1.0,-2.785736875395319,-2.039057558507274,0.0
2019-01-29,-0.0,-1.8189929891650733,-0.2498406628425749,1.0,-2.8062460165710643,-2.091698534098152,0.0
2019-01-30,-0.0,-1.8186528497409324,-0.24543642885611797,1.0,-2.808449581506576,-2.098764447987246,0.0
2019-01-31,-0.0,-1.8391719745222932,-0.18694267515923568,1.0,-2.7751592356687897,-2.1605095541401274,0.0
2019-02-01,-0.0,-1.8361294426333785,-0.1826349685934643,1.0,-2.7735549018048817,-2.158702393257534,0.0
2019-02-04,-0.0,-1.8405220436097407,-0.1806461881266911,1.0,-2.784338691707783,-2.1524749323571544,0.0
2019-02-05,-0.0,-1.812802795647685,-0.19990469382892545,1.0,-2.765149710110397,-2.1643237232944164,0.0
2019-02-06,-0.0,-1.8157328445046625,-0.18976647804256,1.0,-2.7932573523551447,-2.1713557025583805,0.0
2019-02-07,-0.0,-1.8140856342537015,-0.1869547819127651,1.0,-2.794237695078031,-2.2080032012805124,0.0
2019-02-08,-0.0,-1.81538951221453,-0.221930452773136,1.0,-2.772658550171083,-2.1474496697700327,0.0
2019-02-11,-0.0,-1.8257642269933751,-0.23026578338255246,1.0,-2.79383829515524,-2.131614654002713,0.0
2019-02-12,-0.0,-1.8002877007911773,-0.23991049308718934,1.0,-2.8097178933908737,-2.1417725565411976,0.0
2019-02-13,-0.0,-1.7891183478951547,-0.26711675933280377,1.0,-2.7779984114376486,-2.10857823669579,0.0
2019-02-14,-0.0,-1.789177180036499,-0.27636277076886456,1.0,-2.774022058240101,-2.095136078711418,0.0
2019-02-15,-0.0,-1.7995395363607496,-0.2751667195935218,1.0,-2.7715147665925697,-2.0927278501111464,0.0
2019-02-19,-0.0,-1.757688354810657,-0.29622895090520995,1.0,-2.775555379871927,-2.076290615858961,0.0
2019-02-20,-0.0,-1.7566007905138339,-0.3007114624505929,1.0,-2.778102766798419,-2.069723320158103,0.0
2019-02-21,-0.0,-1.7518571202781725,-0.3062272799114904,1.0,-2.775723091512565,-2.0687529634898056,0.0
2019-02-22,-0.0,-1.7486187845303867,-0.31712707182320443,1.0,-2.768823993685872,-2.0580899763220204,0.0
2019-02-25,-0.0,-1.7365430149960535,-0.3158642462509866,1.0,-2.771902131018153,-2.0683504340962906,0.0
2019-02-26,-0.0,-1.7364059663799227,-0.31591823849735623,1.0,-2.7716044511088316,-2.068108278746745,0.0
2019-02-27,-0.0,-1.713561871585781,-0.32333148602644285,1.0,-2.7946322539783073,-2.0855830892249227,0.0
