Date,IWF,IWM,MTUM,NMRK,SPY,VLUE,VXX
2018-09-24,-0.3838515010312429,-1.148728133832404,-0.014895729890764648,1.0,-0.6662210679092506,-0.605721488045222,0.0
2018-09-25,-0.39076498966230183,-1.1482119610996246,-0.022666360364499576,1.0,-0.6653648824565432,-0.6017688950149322,0.0
2018-09-26,-0.39558092575333953,-1.1620068344206274,-0.012154395775085428,1.0,-0.6832479030754892,-0.6302034793414103,0.0
2018-09-27,-0.40011645962732917,-1.1519798136645965,-0.015217391304347827,1.0,-0.6841226708074534,-0.6305512422360248,0.0
2018-09-28,-0.4012115563839701,-1.1512503883193537,-0.015610438024231127,1.0,-0.6843740292016154,-0.6308247903075489,0.0
2018-10-01,-0.40105643375927297,-1.151590476560376,-0.016040703771313163,1.0,-0.6842738959878821,-0.6310249737833534,0.0
2018-10-02,-0.401274132773958,-1.1518859495785263,-0.016548187856893135,1.0,-0.6839529192401819,-0.6308511051547994,0.0
2018-10-03,-0.40072972868066603,-1.1452082443814773,-0.015991926406086248,1.0,-0.6854791755618522,-0.6341264604277451,0.0
2018-10-04,-0.4086966667963129,-1.1372953210688033,-0.016957722375636888,1.0,-0.696550114736883,-0.629886040994127,0.0
2018-10-05,-0.3997908678982224,-1.1353162154835212,-0.006506332055303823,1.0,-0.6989659579412106,-0.6322760543743464,0.0
2018-10-08,-0.3978976657906941,-1.1323620343175143,-0.004212397588498996,1.0,-0.6993739372391405,-0.6307002627917763,0.0
2018-10-09,-0.4003094777562863,-1.1336943907156671,-0.008317214700193424,1.0,-0.6981044487427467,-0.6280851063829788,0.0
2018-10-10,-0.4005258884033874,-1.133096167974943,-0.008584354819999227,1.0,-0.6981555237616488,-0.6264645605351687,0.0
2018-10-11,-0.3184428369005892,-1.1192482660899397,-0.0,1.0,-0.6635841598926095,-0.627563576702215,0.0
2018-10-12,-0.3262546844000294,-1.113307370122713,-0.0,1.0,-0.6374090675288413,-0.5970681166874863,0.0
2018-10-15,-0.32991018845700826,-1.1127797408716136,-0.0,1.0,-0.6401280918727916,-0.5979829210836278,0.0
2018-10-16,-0.31856893153334076,-1.1511398713228458,-0.0,1.0,-0.6460262560898509,-0.6032206478485627,0.0
2018-10-17,-0.3059017595307918,-1.1237903225806452,-0.0,1.0,-0.6360703812316716,-0.5999266862170088,0.0
2018-10-18,-0.30663682723704005,-1.1262794878379867,-0.0,1.0,-0.6353964119308803,-0.6004696041383866,0.0
2018-10-19,-0.28533983763515236,-1.114893152280753,-0.0,1.0,-0.6395937238341404,-0.6006407222687393,0.0
2018-10-22,-0.28542790494241144,-1.1026388686397435,-0.0,1.0,-0.6481994459833795,-0.6085799679253536,0.0
2018-10-23,-0.2829658294392523,-1.1043005257009346,-0.0,1.0,-0.6520882009345794,-0.6113098714953271,0.0
2018-10-24,-0.2805994093411602,-1.1006672257264738,-0.0,1.0,-0.6522040325226967,-0.6126080140008021,0.0
