Date,AGLE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.2163049685893776,-4.25428326670474,-0.5451170759565962,-3.2097372929754426,-3.0519703026841802,0.0
2018-09-25,1.0,-2.215915573302909,-4.2480034227039365,-0.5476326297775241,-3.2043639475185395,-3.045350827153451,0.0
2018-09-26,1.0,-2.2286000572573714,-4.269825365015746,-0.5578299456054966,-3.2151445748640137,-3.043229315774406,0.0
2018-09-27,1.0,-2.2370264474624735,-4.240028591851323,-0.5655468191565404,-3.2132952108649033,-3.0401715511079344,0.0
2018-09-28,1.0,-2.2385242385242385,-4.24024024024024,-0.5659945659945659,-3.2143572143572143,-3.0410410410410407,0.0
2018-10-01,1.0,-2.2405606407322654,-4.237986270022883,-0.5670766590389016,-3.2152459954233414,-3.041046910755149,0.0
2018-10-02,1.0,-2.2408174932113765,-4.219951407746176,-0.5738173502929826,-3.2152351007574675,-3.041875089323996,0.0
2018-10-03,1.0,-2.2351347497504634,-4.195636674746899,-0.5705119064594325,-3.2133181234849566,-3.044631398830743,0.0
2018-10-04,1.0,-2.2530294287362955,-4.265002885170225,-0.5679457587997692,-3.2465377957299477,-3.0933352567801498,0.0
2018-10-05,1.0,-2.1900555634705796,-4.212280951702521,-0.5079071092748255,-3.241202450491523,-3.0957401339222113,0.0
2018-10-08,1.0,-2.1834353209050805,-4.201650775579906,-0.4896826526255871,-3.2591433043973246,-3.096911911199659,0.0
2018-10-09,1.0,-2.1822968549879036,-4.203216166216024,-0.4859826383947631,-3.2607086950334425,-3.0986196100754233,0.0
2018-10-10,1.0,-2.1823997725334094,-4.197753767415411,-0.48692067102644304,-3.25902758032414,-3.0904179698606766,0.0
2018-10-11,1.0,-1.8984912652196928,-4.032027527792483,-0.1967972472207517,-3.0749073583906825,-3.0322922181048173,0.0
2018-10-12,1.0,-1.9766640148501722,-4.07610713338637,-0.1770087509944312,-3.0462741978255106,-2.983028374436489,0.0
2018-10-15,1.0,-1.9139300847457625,-4.190148305084746,-0.08090572033898305,-3.0511122881355934,-3.005561440677966,0.0
2018-10-16,1.0,-1.9128525811601915,-4.251463544438531,-0.04989356040447046,-3.0690526875997866,-3.021820117083555,0.0
2018-10-17,1.0,-1.791454081632653,-4.010586734693877,-0.0,-2.975765306122449,-2.977295918367347,0.0
2018-10-18,1.0,-1.795038997570643,-4.025700038358266,-0.0,-2.980565145122107,-2.9847845544048077,0.0
2018-10-19,1.0,-1.75,-4.041279669762642,-0.0,-3.0577915376676983,-3.0506965944272446,0.0
2018-10-22,1.0,-1.7537467700258398,-4.052067183462532,-0.0,-3.060594315245478,-3.0534883720930233,0.0
2018-10-23,1.0,-1.7523587953987336,-4.054413855499548,-0.0,-3.0628150445909266,-3.0553185989401577,0.0
2018-10-24,1.0,-1.7423929860752967,-4.0372614749871065,-0.0,-3.058535327488396,-3.0550541516245486,0.0
2018-10-25,1.0,-1.557181505164781,-3.799680275454992,-0.0,-3.0514018691588785,-2.888834235120511,0.0
2018-10-26,1.0,-1.4711084191399153,-3.734463961235615,-0.0,-3.064566929133858,-2.843731072077529,0.0
2018-10-29,1.0,-1.3860911270983212,-3.7492805755395686,-0.0,-3.0118705035971227,-2.8431654676258993,0.0
2018-10-30,1.0,-1.3725302358998923,-3.7455394563525326,-0.0,-3.008382229673093,-2.848161896778829,0.0
2018-10-31,1.0,-1.3796405769685505,-3.646252069047056,-0.0,-2.984748167415465,-2.812603452352802,0.0
2018-11-01,1.0,-1.3245376369419248,-3.677818353162917,-0.0,-2.972434915773354,-2.8051596183296033,0.0
2018-11-02,1.0,-1.3296550121965385,-3.5508189104425605,-0.0,-2.972354512719247,-2.762922522941108,0.0
2018-11-05,1.0,-1.3180121325244982,-3.6168922071861873,-0.0,-2.9907839477368174,-2.7400839944003734,0.0
2018-11-06,1.0,-1.3302227924880439,-3.6260352268750733,-0.0,-2.981803336055057,-2.7263501691356584,0.0
2018-11-07,1.0,-1.3310723891942462,-3.640042100339141,-0.0,-2.9876037890305223,-2.735820371886329,0.0
2018-11-08,1.0,-1.216780782174771,-3.6598584194035046,-0.0,-2.959614715098062,-2.7687130091679237,0.0
2018-11-09,1.0,-1.2188339759317677,-3.6853604393036568,-0.0,-2.989601588970674,-2.789695057833859,0.0
2018-11-12,1.0,-1.20293200969641,-3.6087960290892305,-0.0,-2.9774904767401593,-2.7541267459309706,0.0
2018-11-13,1.0,-1.0996038483305037,-3.5635540464063387,-0.0,-2.947368421052632,-2.7080928126768535,0.0
2018-11-14,1.0,-1.1059107635694574,-3.627529898804048,-0.0,-3.003909843606256,-2.7621895124195035,0.0
2018-11-15,1.0,-1.101032110091743,-3.6264908256880735,-0.0,-3.007683486238532,-2.7326834862385323,0.0
2018-11-16,1.0,-1.083361803894773,-3.5817105113312837,-0.0,-2.9887256576699692,-2.7344266028926087,0.0
2018-11-19,1.0,-1.081235046143329,-3.584482169306141,-0.0,-2.991454939045232,-2.7362424518628234,0.0
2018-11-20,1.0,-0.9450980392156862,-3.527619047619048,-0.0,-2.968739495798319,-2.763137254901961,0.0
2018-11-21,1.0,-0.9435784851811196,-3.4710208562019758,-0.0,-2.9195389681668495,-2.642810098792536,0.0
2018-11-23,1.0,-0.9470916858363457,-3.4290721875342314,-0.0,-2.9329608938547485,-2.644977544090262,0.0
2018-11-26,1.0,-0.948030453492221,-3.4811872448416636,-0.0,-2.9483614697120157,-2.656405163853029,0.0
2018-11-27,1.0,-0.9086044987988645,-3.475103734439834,-0.0,-2.9136274295697753,-2.622188250709762,0.0
