Date,FRTA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.4601441812564364,-3.303810504634397,-0.0,-2.357878475798146,-2.1768280123583934,0.0
2018-09-25,1.0,-1.4626543209876544,-3.2982510288065843,-0.003292181069958848,-2.3532921810699587,-2.170576131687243,0.0
2018-09-26,1.0,-1.463615749330035,-3.302824159967017,-0.0,-2.3594104308390023,-2.181199752628324,0.0
2018-09-27,1.0,-1.463201235203294,-3.2953165208440556,-0.0,-2.3564590838908903,-2.1782810087493565,0.0
2018-09-28,1.0,-1.4609527729190246,-3.294577631443564,-0.0013375861714168124,-2.354871900401276,-2.177281613334705,0.0
2018-10-01,1.0,-1.4611585554069348,-3.2938573927358785,-0.0026751723428336247,-2.3544603354254554,-2.177075830846795,0.0
2018-10-02,1.0,-1.466021416803954,-3.266886326194399,-0.014621087314662275,-2.3627471169686984,-2.1862644151565074,0.0
2018-10-03,1.0,-1.4651569737519299,-3.2441585177560475,-0.012146165723108596,-2.3711785898095727,-2.2008234688625836,0.0
2018-10-04,1.0,-1.4732997221936415,-3.228315670336454,-0.014919230373495214,-2.380800493877971,-2.19178927873238,0.0
2018-10-05,1.0,-1.4212251587789388,-3.2063101823396845,-0.0,-2.3994058594550296,-2.2168612989141567,0.0
2018-10-08,1.0,-1.4071392146863846,-3.187965323814381,-0.0,-2.3974502804691484,-2.206323304436512,0.0
2018-10-09,1.0,-1.4015707874337004,-3.188188494492044,-0.0,-2.399734802121583,-2.2104243166054673,0.0
2018-10-10,1.0,-1.4229770437311728,-3.2515840864236,-0.0,-2.4446868183234653,-2.2681001350368755,0.0
2018-10-11,1.0,-1.1488867376573086,-3.098063891577928,-0.0,-2.260890609874153,-2.172604065827686,0.0
2018-10-12,1.0,-1.113369084579923,-3.032270204158434,-0.0,-2.177909492896792,-2.08467400508044,0.0
2018-10-15,1.0,-1.0428745660943803,-3.0949432404540764,-0.0,-2.161084529505582,-2.0827469743878413,0.0
2018-10-16,1.0,-1.0488538143555055,-3.092634347989477,-0.0,-2.166009019165727,-2.087467117624953,0.0
2018-10-17,1.0,-0.9625294864815823,-2.940391943385955,-0.0,-2.107240065323898,-2.0625113409544547,0.0
2018-10-18,1.0,-0.9645583424209379,-2.948473282442748,-0.0,-2.1085968738640495,-2.0659760087241,0.0
2018-10-19,1.0,-0.9127090600125212,-2.9077005634558626,-0.0,-2.0851444414631963,-2.038189786244522,0.0
2018-10-22,1.0,-0.9127133029572054,-2.89198606271777,-0.0,-2.088269454123113,-2.0411864558206023,0.0
