Date,HUYA,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-09,1.0,-0.0,-2.5884858812074003,-0.0,-4.389849074975658,-4.193037974683544,0.0
2019-01-10,1.0,-0.0,-2.578921747596446,-0.0,-4.395764877692589,-4.195326761591821,0.0
2019-01-11,1.0,-0.0,-2.572592412451362,-0.0,-4.393360894941635,-4.193579766536965,0.0
2019-01-14,1.0,-0.0,-2.5781990521327014,-0.0,-4.400048608579414,-4.173775671406003,0.0
2019-01-15,1.0,-0.0,-2.577999513263568,-0.0,-4.409467023606717,-4.180822584570455,0.0
2019-01-16,1.0,-0.0,-2.5630761766132943,-0.0,-4.351528384279476,-4.21555070354197,0.0
2019-01-17,1.0,-0.0,-2.54380004853191,-0.0,-4.364353312302839,-4.224824071827227,0.0
2019-01-18,1.0,-0.0,-2.5265957446808507,-0.0,-4.353118955512572,-4.209260154738878,0.0
2019-01-22,1.0,-0.0,-2.546577149022899,-0.0,-4.3161491427886345,-4.126243855652799,0.0
2019-01-23,1.0,-0.0,-2.516593315094564,-0.0,-4.306768169382657,-4.0714880456762215,0.0
2019-01-24,1.0,-0.0,-2.5173644148430063,-0.0,-4.305423406279734,-4.070647002854424,0.0
2019-01-25,1.0,-0.0,-2.508678078934855,-0.0,-4.334878744650499,-4.044222539229672,0.0
2019-01-28,1.0,-0.0,-2.4966698382492862,-0.0,-4.346217887725975,-4.0505470980019025,0.0
2019-01-29,1.0,-0.0,-2.490301082946567,-0.0,-4.355111269784601,-4.055099369272879,0.0
2019-01-30,1.0,-0.0,-2.4989265267175576,-0.0,-4.369990458015267,-4.0586832061068705,0.0
2019-01-31,1.0,-0.0,-2.5113893858079903,-0.0,-4.267740011926059,-4.146929039952296,0.0
2019-02-01,1.0,-0.0,-2.4971462544589778,-0.0,-4.252080856123662,-4.141379310344828,0.0
2019-02-04,1.0,-0.0,-2.5181589356346636,-0.0,-4.313436413760038,-4.154380918134963,0.0
2019-02-05,1.0,-0.0,-2.474718427989456,-0.0,-4.307452671938653,-4.19973640067098,0.0
2019-02-06,1.0,-0.0,-2.476641111643507,-0.0,-4.301149976042166,-4.201126018207955,0.0
2019-02-07,1.0,-0.0,-2.486022795440912,-0.0,-4.320455908818237,-4.191001799640072,0.0
2019-02-08,1.0,-0.0,-2.498986285032797,-0.0,-4.3101967799642225,-4.116875372689327,0.0
2019-02-11,1.0,-0.0,-2.5053699284009547,-0.0,-4.320286396181384,-4.107517899761337,0.0
2019-02-12,1.0,-0.0,-2.4902171319494153,-0.0,-4.3290384156525885,-4.111071343354808,0.0
2019-02-13,1.0,-0.0,-2.4790334044065387,-0.0,-4.299336650082919,-4.067164179104478,0.0
2019-02-14,1.0,-0.0,-2.4975041597337766,-0.0,-4.331827905871167,-4.055621583075825,0.0
2019-02-15,1.0,-0.0,-2.511713640147461,-0.0,-4.327863003924366,-4.0524438102033535,0.0
2019-02-19,1.0,-0.0,-2.4609514725169905,-0.0,-4.393466078454751,-4.068796947657089,0.0
2019-02-20,1.0,-0.0,-2.4602360796470726,-0.0,-4.394062239179683,-4.068916179802074,0.0
2019-02-21,1.0,-0.0,-2.4839292163235824,-0.0,-4.440833032382328,-4.11327795834838,0.0
2019-02-22,1.0,-0.0,-2.482318980033678,-0.0,-4.439379360115467,-4.1062063988453215,0.0
2019-02-25,1.0,-0.0,-2.4974539282250245,-0.0,-4.4870271580989325,-4.139791464597478,0.0
2019-02-26,1.0,-0.0,-2.4956880845378357,-0.0,-4.49556662213045,-4.15498603182315,0.0
2019-02-27,1.0,-0.0,-2.475425790754258,-0.0,-4.518978102189782,-4.171046228710463,0.0
2019-02-28,1.0,-0.0,-2.4857038569169,-0.0,-4.524151356612727,-4.156953400657015,0.0
2019-03-01,1.0,-0.0,-2.488080758939431,-0.0,-4.535271223546582,-4.139017270737047,0.0
2019-03-04,1.0,-0.0,-2.461744966442953,-0.0,-4.547895057962172,-4.192800488102502,0.0
2019-03-05,1.0,-0.0,-2.4442143727161993,-0.0,-4.556516443361754,-4.179537149817295,0.0
2019-03-06,1.0,-0.0,-2.6159183139154343,-0.0,-4.988611074748003,-4.48618929179212,0.0
2019-03-07,1.0,-0.0,-2.5593176194817038,-0.0,-5.0050787863003,-4.458262794634718,0.0
2019-03-08,1.0,-0.0,-2.545938921377518,-0.0,-4.999740090968161,-4.449642625081221,0.0
2019-03-11,1.0,-0.0,-2.544791666666667,-0.0,-5.017708333333333,-4.458463541666667,0.0
2019-03-12,1.0,-0.0,-2.4856958762886596,-0.0,-4.980541237113402,-4.4204896907216495,0.0
2019-03-13,1.0,-0.0,-2.486472558618913,-0.0,-4.977711929914971,-4.418964184488535,0.0
2019-03-14,1.0,-0.0,-2.5155359917141378,-0.0,-4.991066804764371,-4.440056965302952,0.0
2019-03-15,1.0,-0.0,-2.517219057483169,-0.0,-4.989642672190575,-4.439798032107716,0.0
2019-03-18,1.0,-0.0,-2.5070843624073835,-0.0,-5.0213180813726765,-4.470427661510464,0.0
2019-03-19,1.0,-0.0,-2.50045460449409,-0.0,-5.022080789712949,-4.466164436939862,0.0
2019-03-20,1.0,-0.0,-2.4962327877370742,-0.0,-5.0239023122889055,-4.470122109638867,0.0
2019-03-21,1.0,-0.0,-2.4893699766658024,-0.0,-5.071428571428571,-4.402644542390458,0.0
2019-03-22,1.0,-0.0,-2.4790697674418607,-0.0,-5.096899224806202,-4.343927648578812,0.0
2019-03-25,1.0,-0.0,-2.2294813695871096,-0.0,-5.083459214501511,-4.275176233635448,0.0
2019-03-26,1.0,-0.0,-2.2555765595463138,-0.0,-5.091115311909262,-4.255828607435412,0.0
2019-03-27,1.0,-0.0,-2.2367989918084437,-0.0,-5.114303717706364,-4.251165721487083,0.0
2019-03-28,1.0,-0.0,-2.24473850031506,-0.0,-5.107120352867044,-4.250535601764335,0.0
2019-03-29,1.0,-0.0,-2.2331527900239325,-0.0,-5.107948104295251,-4.254943947600453,0.0
2019-04-01,1.0,-0.0,-2.239064856711915,-0.0,-5.100804424333836,-4.22938662644545,0.0
2019-04-02,1.0,-0.0,-2.2566724869044648,-0.0,-5.096532801197306,-4.11885757046645,0.0
2019-04-03,1.0,-0.0,-2.2602551275637817,-0.0,-5.1008004002001,-4.1451975987994,0.0
2019-04-04,1.0,-0.0,-2.255703183755327,-0.0,-5.149536224617698,-4.129230383554775,0.0
2019-04-05,1.0,-0.0,-2.250693219057222,-0.02457776657423746,-5.202924124023192,-4.1256617091000765,0.0
2019-04-08,1.0,-0.0,-2.226448362720403,-0.036523929471032744,-5.206549118387909,-4.124937027707809,0.0
2019-04-09,1.0,-0.0,-2.2351828499369484,-0.03455233291298865,-5.2129886506935685,-4.1277427490542244,0.0
2019-04-10,1.0,-0.0,-2.1993213522684427,-0.06296342842779942,-5.213271333417117,-4.0921201457835865,0.0
2019-04-11,1.0,-0.0,-2.1183394507024427,-0.0958106568788761,-5.311099860777117,-4.131375775218327,0.0
2019-04-12,1.0,-0.0,-2.1209166877690553,-0.1023043808559129,-5.309065586224361,-4.129146619397316,0.0
2019-04-15,1.0,-0.0,-2.1231975714647104,-0.11333164685049328,-5.281431823931191,-4.130660258031875,0.0
2019-04-16,1.0,-0.0,-2.1270564414072384,-0.10946595798532016,-5.283725639078714,-4.134902556314857,0.0
2019-04-17,1.0,-0.0,-2.124573163020109,-0.12925256102187935,-5.280637409889971,-4.1125584924750225,0.0
2019-04-18,1.0,-0.0,-2.1194992412746587,-0.12569549822964085,-5.282245827010622,-4.117981790591806,0.0
2019-04-22,1.0,-0.0,-2.1093096896770107,-0.12362254591513615,-5.301203293223559,-4.132108929702343,0.0
2019-04-23,1.0,-0.0,-2.1117587430309173,-0.12404967055245818,-5.298530157121135,-4.136720729853015,0.0
2019-04-24,1.0,-0.0,-2.0502150265621046,-0.14318239311915001,-5.289020996711359,-4.166202883885656,0.0
2019-04-25,1.0,-0.0,-2.068799797647654,-0.15442013405842925,-5.2796256481598585,-4.14417604654104,0.0
2019-04-26,1.0,-0.0,-2.0429618397776093,-0.1974981046247157,-5.293909527419762,-4.10146575688653,0.0
2019-04-29,1.0,-0.0,-2.0190921734732585,-0.18814009356429387,-5.300417246175244,-4.136047540776332,0.0
2019-04-30,1.0,-0.0,-2.036343476653936,-0.2263151410619687,-5.113465566095847,-3.943575212516939,0.0
2019-05-01,1.0,-0.0,-1.977227966518956,-0.2514771048744461,-5.145125553914327,-3.9352535696701127,0.0
2019-05-02,1.0,-0.0,-1.876541731529158,-0.2615255658005029,-5.046700993892947,-3.789965273619926,0.0
2019-05-03,1.0,-0.0,-1.910909732846887,-0.24479227962810401,-4.912910438978463,-3.7001294574555725,0.0
2019-05-06,1.0,-0.0,-1.841015442208704,-0.2810014038371549,-4.894946186242396,-3.681679925128685,0.0
2019-05-07,1.0,-0.0,-1.8285479901558654,-0.2854799015586546,-4.90671510605883,-3.698347591702801,0.0
