Date,IWF,IWM,MTUM,SPY,VIV,VLUE,VXX
2018-09-24,-0.5034728740379201,-0.7322320255303173,-0.01903510418622114,-0.8258682185094801,1.0,-0.6738126525248733,0.0
2018-09-25,-0.5027130906624463,-0.738827341924787,-0.014771271384429874,-0.8312985153364986,1.0,-0.6805335744969478,0.0
2018-09-26,-0.503448275862069,-0.7397776521575279,-0.01631807047296024,-0.8309779536461278,1.0,-0.6780855473902394,0.0
2018-09-27,-0.5241337107014457,-0.7351411305744664,-0.02317754149774344,-0.8489252658150385,1.0,-0.6932991662204543,0.0
2018-09-28,-0.538756091900673,-0.7429411309661949,-0.02235630850158583,-0.8604084474356,1.0,-0.7033727856424539,0.0
2018-10-01,-0.5472043639197351,-0.747788817455679,-0.02123514513929476,-0.8702902785895188,1.0,-0.7098383011883889,0.0
2018-10-02,-0.547370471367355,-0.7445266848461239,-0.022945072068562528,-0.8703544994156603,1.0,-0.7103622906116089,0.0
2018-10-03,-0.5642269901744537,-0.743653499097654,-0.015480248646480852,-0.9189492680970525,1.0,-0.7681171044716263,0.0
2018-10-04,-0.5635439360929557,-0.7584926974905188,-0.01569434358105382,-0.9187847978697652,1.0,-0.7780198499152748,0.0
2018-10-05,-0.5546451379684298,-0.7505723581154357,-0.002891914688516689,-0.9250110455074909,1.0,-0.783427722215528,0.0
2018-10-08,-0.5516453565273157,-0.7456811896268388,-0.0,-0.928614373321576,1.0,-0.7822758427191472,0.0
2018-10-09,-0.5450821367981132,-0.7853270989365664,-0.0,-0.9733934704348906,1.0,-0.8340712541895974,0.0
2018-10-10,-0.5443593458911199,-0.7863382322500517,-0.0,-0.9737528462016146,1.0,-0.8354791968536535,0.0
2018-10-11,-0.46393645471600214,-0.7523649862291941,-0.0,-0.9414441384265357,1.0,-0.8338322755757794,0.0
2018-10-12,-0.47443416650265696,-0.7386734894705766,-0.0,-0.9185987010431017,1.0,-0.8045266679787443,0.0
2018-10-15,-0.43386410215986126,-0.7828708812864575,-0.0,-0.9150244363865679,1.0,-0.8096326659309475,0.0
2018-10-16,-0.4267050836754026,-0.7974423744868961,-0.0,-0.9141537732870225,1.0,-0.8086911904010105,0.0
2018-10-17,-0.3981097726304373,-0.7448967734438549,-0.0,-0.9091296432583181,1.0,-0.8212805515745438,0.0
2018-10-18,-0.39751915075630906,-0.7449158144418089,-0.0,-0.9195862658941556,1.0,-0.8264572072947856,0.0
2018-10-19,-0.37819722650231125,-0.7264252696456086,-0.0,-0.9224961479198768,1.0,-0.8249614791987673,0.0
2018-10-22,-0.3780671006509765,-0.7165363429760024,-0.0,-0.9275451638996957,1.0,-0.829744616925388,0.0
2018-10-23,-0.38738077769625834,-0.7205467814804803,-0.0,-0.9242383287639496,1.0,-0.8292852453952196,0.0
