Date,IWF,IWM,KNX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.5765552377547373,-1.1722828030032177,1.0,-0.0983643189131212,-0.8286110117983554,-0.7933053271362174,0.0
2018-09-25,-0.5770192994996426,-1.171193709792709,1.0,-0.09958005718370265,-0.8276894210150106,-0.7920836311651179,0.0
2018-09-26,-0.5782534858777262,-1.1728637826242403,1.0,-0.10198426885949231,-0.827359671076153,-0.7885681086878799,0.0
2018-09-27,-0.5858612975391498,-1.1608053691275169,1.0,-0.10630872483221476,-0.8305145413870246,-0.790738255033557,0.0
2018-09-28,-0.5828333482582609,-1.1647264260768333,1.0,-0.1072803796901585,-0.8310647443359899,-0.7916181606519208,0.0
2018-10-01,-0.5856457614201821,-1.163894741560945,1.0,-0.10700676917559511,-0.8336396646792487,-0.7927108082664635,0.0
2018-10-02,-0.589814981138854,-1.1407849829351535,1.0,-0.11613077061253818,-0.8421950781390337,-0.8017334291359799,0.0
2018-10-03,-0.600027298785204,-1.1788980390372628,1.0,-0.12025114882387733,-0.849083215796897,-0.8015378315664952,0.0
2018-10-04,-0.6009003273917788,-1.1756547835576574,1.0,-0.1210440160058203,-0.8498090214623499,-0.7996544197890141,0.0
2018-10-05,-0.5883151559035164,-1.1692537448522424,1.0,-0.10630402317056614,-0.8552292166357425,-0.806353803683758,0.0
2018-10-08,-0.5866461872063606,-1.1664257318395372,1.0,-0.10417419588001446,-0.8553939284423563,-0.8048879653053849,0.0
2018-10-09,-0.5847342733188721,-1.1677060737527114,1.0,-0.0985177151120752,-0.8587762111352133,-0.8094269703543022,0.0
2018-10-10,-0.5897401068550213,-1.167572217694467,1.0,-0.10250837634700716,-0.863352349904917,-0.8045820882006701,0.0
2018-10-11,-0.5253724802804558,-1.166783523225241,1.0,-0.01200701139351446,-0.848948290972831,-0.8290096406660824,0.0
2018-10-12,-0.5298662063012517,-1.155287009063444,1.0,-0.00513595166163142,-0.8244712990936557,-0.8012516184721623,0.0
2018-10-15,-0.5073156037524744,-1.1762199845081334,1.0,-0.0,-0.819132455460883,-0.800585248300198,0.0
2018-10-16,-0.5017433601652964,-1.1858723257715984,1.0,-0.0,-0.8177435323490164,-0.7991907365158625,0.0
2018-10-17,-0.4801030753632984,-1.1422777965528894,1.0,-0.0,-0.8044947617438323,-0.7975667455221358,0.0
2018-10-18,-0.4852028233693341,-1.1568160557870568,1.0,-0.0,-0.8061059613912748,-0.8039374096436771,0.0
2018-10-19,-0.47538624338624336,-1.1529735449735452,1.0,-0.0,-0.8038095238095239,-0.8006349206349207,0.0
2018-10-22,-0.47685953931962366,-1.1373525780218843,1.0,-0.0,-0.8241154681313068,-0.8193468727381105,0.0
2018-10-23,-0.4823679727427598,-1.13824531516184,1.0,-0.0,-0.8206132879045996,-0.817717206132879,0.0
2018-10-24,-0.4801344223243151,-1.1351029436787476,1.0,-0.0,-0.8202739492938573,-0.8183597073336736,0.0
2018-10-25,-0.42613731744166533,-1.0916568742655701,1.0,-0.0,-0.8812741312741313,-0.7976750041967433,0.0
2018-10-26,-0.44417930799386396,-1.11044826998466,1.0,-0.0,-0.8913414010567582,-0.8151525481506733,0.0
2018-10-29,-0.4357121604964509,-1.1125090321757978,1.0,-0.0,-0.8877884983210779,-0.814425978662813,0.0
2018-10-30,-0.4373777739988096,-1.112660488053737,1.0,-0.0,-0.8879346994303204,-0.8133662103562621,0.0
2018-10-31,-0.4388863069838185,-1.0970890193924543,1.0,-0.0,-0.8823355443829481,-0.8066246989733407,0.0
2018-11-01,-0.40404083188614515,-1.1316870684908298,1.0,-0.0,-0.8869498919903427,-0.8129526875344149,0.0
2018-11-02,-0.40475282755115005,-1.1314864235184479,1.0,-0.0,-0.8867285127292751,-0.8131062820349897,0.0
2018-11-05,-0.40050815159856024,-1.1431717128943468,1.0,-0.0,-0.8874444209189075,-0.8034723692568283,0.0
2018-11-06,-0.40099932249322495,-1.1429539295392954,1.0,-0.0,-0.8871951219512195,-0.8033113143631435,0.0
2018-11-07,-0.39988151658767773,-1.1434918754231551,1.0,-0.0,-0.8853672985781991,-0.8028520649966148,0.0
2018-11-08,-0.3529461314913869,-1.157183169776355,1.0,-0.0,-0.8788274438781957,-0.8228109337488945,0.0
2018-11-09,-0.3511079161028417,-1.1627621786197564,1.0,-0.0,-0.8878129228687416,-0.8270043978349121,0.0
2018-11-12,-0.3497180372022557,-1.146915242824678,1.0,-0.0,-0.8898661728810706,-0.8219425974244593,0.0
2018-11-13,-0.31820644247197566,-1.1424344709755387,1.0,-0.0,-0.8909863732966621,-0.8156019502437806,0.0
