Date,IWF,IWM,MTUM,PNW,SPY,VLUE,VXX
2018-09-24,-0.2347874336142891,-0.5388538061140911,-0.0,1.0,-0.5104763917879885,-0.35807329510925573,0.0
2018-09-25,-0.23362087214225233,-0.5406170618120237,-0.0,1.0,-0.5118014394580864,-0.3600232853513971,0.0
2018-09-26,-0.23219221773336166,-0.5420742079523708,-0.0,1.0,-0.5151499043163937,-0.36843504146289596,0.0
2018-09-27,-0.23207828121676236,-0.5429961710274409,-0.0,1.0,-0.515262710061689,-0.3686449691554988,0.0
2018-09-28,-0.23433090153895308,-0.5426540284360188,-0.0,1.0,-0.5161084189786463,-0.36945524255817663,0.0
2018-10-01,-0.2343633058911579,-0.54848711643323,-0.0,1.0,-0.5178017748316048,-0.37228696674863676,0.0
2018-10-02,-0.2347830735919164,-0.5478895452965864,-0.0,1.0,-0.5178700312758963,-0.3726108690422091,0.0
2018-10-03,-0.2342650795773706,-0.5389059783335562,-0.0,1.0,-0.522027551156881,-0.3796442423431858,0.0
2018-10-04,-0.23932196127788344,-0.5333797498861902,-0.0,1.0,-0.5287470208606699,-0.3764293174088852,0.0
2018-10-05,-0.21844490465560368,-0.5278771415507921,-0.0,1.0,-0.5469460208170841,-0.3963045641591136,0.0
2018-10-08,-0.21682602454020963,-0.5302418808743465,-0.0,1.0,-0.560199355345486,-0.4013651507353937,0.0
2018-10-09,-0.211412585893153,-0.5319807707976859,-0.0,1.0,-0.5646812786876341,-0.40794155191613024,0.0
2018-10-10,-0.21420224474821317,-0.5313476642117564,-0.0,1.0,-0.5669755686604886,-0.40508737125309124,0.0
2018-10-11,-0.15641139920824265,-0.5134624963951446,-0.0,1.0,-0.5467582518417534,-0.405080879846892,0.0
2018-10-12,-0.1547929973365054,-0.5045124253316439,-0.0,1.0,-0.5362933464353132,-0.39029246722350086,0.0
2018-10-15,-0.13903495205691307,-0.5163676667697701,-0.0,1.0,-0.5329930920713475,-0.38921538302917824,0.0
2018-10-16,-0.13628396143733568,-0.5208795174511522,-0.0,1.0,-0.5321441460019591,-0.3884105789555086,0.0
2018-10-17,-0.1271617497456765,-0.5019328585961343,-0.0,1.0,-0.526678535096643,-0.38748728382502545,0.0
2018-10-18,-0.12661478995015768,-0.5008900417048113,-0.0,1.0,-0.5278710202420913,-0.3876004475638287,0.0
2018-10-19,-0.11334206681110495,-0.48992291026351587,-0.0,1.0,-0.5303572328311583,-0.38567541693958785,0.0
2018-10-22,-0.11420379579823403,-0.4794986298589262,-0.0,1.0,-0.5445549578808484,-0.39904090124835073,0.0
2018-10-23,-0.1147699020751941,-0.47940027398650364,-0.0,1.0,-0.5440154244253894,-0.39872647014054496,0.0
2018-10-24,-0.11338506796510449,-0.4795597484276729,-0.0,1.0,-0.544659160073037,-0.39840738486508415,0.0
2018-10-25,-0.07825760420578295,-0.45177118537989736,-0.0,1.0,-0.5877331330579547,-0.38565527600450616,0.0
2018-10-26,-0.05604216338310954,-0.45170033881289995,-0.0,1.0,-0.6138034885180073,-0.38820429163006653,0.0
2018-10-29,-0.05289028213166144,-0.45158620689655177,-0.0,1.0,-0.6158495297805643,-0.38751097178683386,0.0
2018-10-30,-0.039502762430939226,-0.45354093420391767,-0.0,1.0,-0.618056253139126,-0.4002009040683074,0.0
2018-10-31,-0.04305493301459236,-0.4365755266696549,-0.0,1.0,-0.6152945863837841,-0.3952637083520096,0.0
2018-11-01,-0.024489897605819776,-0.45310047584643365,-0.0,1.0,-0.6164328956874859,-0.3972944019532126,0.0
2018-11-02,-0.02832475756976054,-0.4323174351870176,-0.0,1.0,-0.6205471996833565,-0.3925638234712052,0.0
