Date,GO,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-18,1.0,-0.47321513226509915,-0.780316677728264,-3.8415663221769223,-2.818811036313644,-0.5675547549066086,0.0
2020-02-19,1.0,-0.46769143182465134,-0.7795806053705285,-3.847613625581175,-2.8248410665148493,-0.5686497770186925,0.0
2020-02-20,1.0,-0.4520443980646997,-0.7788634854378143,-3.861967555260412,-2.8240204914144766,-0.5699648989659425,0.0
2020-02-21,1.0,-0.40188427864484194,-0.8213741910925009,-3.892367719832508,-2.833174724019794,-0.5677578987438142,0.0
2020-02-24,1.0,-0.26564543246777506,-0.8096394545114888,-3.898468148701663,-2.816177844199514,-0.550625817298711,0.0
2020-02-25,1.0,-0.2944093007351684,-0.8937425200889041,-3.6375448794665757,-2.2736365190630874,-0.449136604547786,0.0
2020-02-26,1.0,-0.2839637284535577,-0.7633363287313127,-3.593660648639817,-2.2431173923699044,-0.2852708112082346,0.0
2020-02-27,1.0,-0.3236130289984567,-0.739744943546422,-3.5535699780683943,-2.24059783933068,-0.26537243115912595,0.0
2020-02-28,1.0,-0.2954450770726288,-0.8410637411470628,-2.9604221635883903,-1.6746285238161365,-0.1719205665879739,0.0
2020-03-02,1.0,-0.44704362801377723,-0.7274684270952927,-2.9887342135476462,-1.8050373134328357,-0.20737657864523534,0.0
2020-03-03,1.0,-0.3680737898067731,-0.9626338113512422,-2.6240490136672725,-1.6327341277856326,-0.14508853430283444,0.0
2020-03-04,1.0,-0.22214267117938039,-1.0479041916167664,-2.7039182504556107,-1.5242775318927364,-0.010479041916167666,0.0
2020-03-05,1.0,-0.19678239782338677,-1.0940438871473355,-2.3543502691193,-1.2695333293901934,-0.0,0.0
2020-03-06,1.0,-0.15177133655394526,-1.0602139406487232,-2.3780193236714977,-1.1611456176673567,-0.0,0.0
2020-03-09,1.0,-0.13038250114521302,-1.0254809894640404,-2.4203504351809437,-1.1497938616582686,-0.0,0.0
2020-03-10,1.0,-0.6369255076908777,-0.33221803987174126,-1.8340071564663787,-0.8439053859380083,-0.0,0.0
2020-03-11,1.0,-0.4631973539140022,-0.45975744211686875,-1.8205953693495038,-0.6665490628445424,-0.0,0.0
2020-03-12,1.0,-0.4937276354213795,-0.26816929214823343,-1.7022580512483034,-0.6488298441163164,-0.0,0.0
2020-03-13,1.0,-0.5488925666396703,-0.13366667840416915,-1.2953625127645338,-0.5433289904574105,-0.0,0.0
2020-03-16,1.0,-0.4048437297367397,-0.23579950719751006,-1.1872325249643367,-0.4142783037219557,-0.0,0.0
2020-03-17,1.0,-0.43537847684034,-0.1646909153992945,-0.772509107731452,-0.5187937315676864,-0.0,0.0
2020-03-18,1.0,-0.448282971078518,-0.17179124698120987,-0.7952818519172998,-0.5297755787241563,-0.0,0.0
2020-03-19,1.0,-0.4721461713594052,-0.07812905271045274,-0.7926741404651431,-0.5389492492579037,-0.0,0.0
2020-03-20,1.0,-0.49425727411944875,-0.0,-0.8650901166215103,-0.5856696901873012,-0.0,0.0
2020-03-23,1.0,-0.4997956681651002,-0.056512347480880375,-0.7827952595014304,-0.5799229377079806,-0.0,0.0
2020-03-24,1.0,-0.5255638658408321,-0.08644969031202525,-0.737524833469674,-0.5720462779011336,-0.0,0.0
2020-03-25,1.0,-0.5148996105940512,-0.07266149299897814,-0.6283520671656218,-0.5458311469524152,-0.0,0.0
2020-03-26,1.0,-0.522658943593987,-0.0731209488346435,-0.6185629568335402,-0.5438973934629706,-0.0,0.0
