Date,ATEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.49994091929575796,-1.1467564693371146,-0.02442002442002442,-0.6538264602780732,-0.6137697428020008,0.0
2018-09-25,1.0,-0.506471470286481,-1.1454502407071265,-0.03231789124773104,-0.6523952332096915,-0.6093836319153975,0.0
2018-09-26,1.0,-0.5062705226094869,-1.1469319935118882,-0.027693159789531987,-0.6565652569529612,-0.6187047513549868,0.0
2018-09-27,1.0,-0.5115533750098915,-1.1364247843633772,-0.031099153280050647,-0.6580280129777637,-0.6195695180818231,0.0
2018-09-28,1.0,-0.5111770524233433,-1.1362215628091,-0.03165182987141445,-0.6578832838773493,-0.6195450049455985,0.0
2018-10-01,1.0,-0.5120686926242481,-1.1350902184235518,-0.03173472617917062,-0.6584757834757835,-0.6195789806900918,0.0
2018-10-02,1.0,-0.515291973694636,-1.114333254100309,-0.0396561286744315,-0.6653989382774741,-0.626970921480073,0.0
2018-10-03,1.0,-0.5148526615969582,-1.1042458808618505,-0.03830006337135615,-0.669439163498099,-0.633871989860583,0.0
2018-10-04,1.0,-0.5167036098796707,-1.0995883470550982,-0.03906744775174161,-0.6716671944268525,-0.6311747941735276,0.0
2018-10-05,1.0,-0.5018943878759177,-1.0944036624832267,-0.020956665877338385,-0.6837950903780883,-0.6455916015470835,0.0
2018-10-08,1.0,-0.5001772700413629,-1.0916289147134135,-0.018120937561552097,-0.6849714398266693,-0.6443962970258026,0.0
2018-10-09,1.0,-0.5069592724396994,-1.0959667852906287,-0.02839066824831949,-0.6833531039936733,-0.6395017793594306,0.0
2018-10-10,1.0,-0.5067862528772126,-1.1031431065957615,-0.024684498769743633,-0.68632431145329,-0.6476704500357172,0.0
2018-10-11,1.0,-0.4343718670471196,-1.100177373332305,-0.0,-0.6615254106578237,-0.659905915015038,0.0
2018-10-12,1.0,-0.44903255352440563,-1.0991489524100293,-0.0,-0.6370262946990803,-0.6311491050643057,0.0
2018-10-15,1.0,-0.4104052866801634,-1.142557011344971,-0.0,-0.6318805149165362,-0.6350127965162916,0.0
2018-10-16,1.0,-0.3970252159429833,-1.1923926095208583,-0.0,-0.6409342681179068,-0.6430646473254057,0.0
2018-10-17,1.0,-0.3734916828442008,-1.1498229987438622,-0.0,-0.6334361082562522,-0.6497659015644627,0.0
2018-10-18,1.0,-0.3726515961509088,-1.1488849854895373,-0.0,-0.6428898732243776,-0.6541163891858867,0.0
2018-10-19,1.0,-0.354607780008333,-1.1386311124578612,-0.0,-0.6427408052725275,-0.651717737964471,0.0
2018-10-22,1.0,-0.3545892254615764,-1.1261326155362628,-0.0,-0.6510975471054328,-0.6593623232361526,0.0
2018-10-23,1.0,-0.35500379075056865,-1.1260424564063685,-0.0,-0.6506444275966642,-0.6590598938589841,0.0
