Date,IWF,IWM,MTUM,REXR,SPY,VLUE,VXX
2018-09-24,-0.28688568092559175,-0.6072338392951916,-0.0,1.0,-0.4290945759473517,-0.3304054771255705,0.0
2018-09-25,-0.28456993825846283,-0.6107089631679795,-0.0,1.0,-0.4317649563551203,-0.3342559080263998,0.0
2018-09-26,-0.287633262260128,-0.6142057569296375,-0.0,1.0,-0.43267590618336893,-0.3307036247334755,0.0
2018-09-27,-0.28657641058506234,-0.6187615156612994,-0.0,1.0,-0.433389409597052,-0.33154423349088097,0.0
2018-09-28,-0.2883027339052353,-0.6181084475801063,-0.0,1.0,-0.4339506667735642,-0.33207728693978994,0.0
2018-10-01,-0.28791208791208794,-0.6229429107477887,-0.0,1.0,-0.43505762530152775,-0.33433395872420263,0.0
2018-10-02,-0.28850174216027874,-0.6210935406057357,-0.0,1.0,-0.43559367461806486,-0.3350576253015278,0.0
2018-10-03,-0.2879149141372197,-0.6154526214268492,-0.0,1.0,-0.43729739866584505,-0.3383877622096606,0.0
2018-10-04,-0.28939053127677805,-0.6126285347043702,-0.0,1.0,-0.43899957155098546,-0.3367877035132819,0.0
2018-10-05,-0.28321276993300054,-0.6102821450497824,-0.0,1.0,-0.43934014894696094,-0.33646531244160904,0.0
2018-10-08,-0.28111593700871323,-0.6076367609049002,-0.0,1.0,-0.44053931626209064,-0.335314023821578,0.0
2018-10-09,-0.2748530197755211,-0.6093800106894709,-0.0,1.0,-0.44543025120256546,-0.34270443613041157,0.0
2018-10-10,-0.27703984819734345,-0.6085736429964989,-0.0,1.0,-0.44690915893845046,-0.3400593313199882,0.0
2018-10-11,-0.2329601666232752,-0.6003384535277271,-0.0,1.0,-0.4299401197604791,-0.34024993491278316,0.0
2018-10-12,-0.22734198497346716,-0.6106761939788788,-0.0,1.0,-0.44028792097935165,-0.34871013502863446,0.0
2018-10-15,-0.2009403482966037,-0.6385437734758741,-0.0,1.0,-0.4366052901158362,-0.3505818076751333,0.0
2018-10-16,-0.19378885259719736,-0.6538562849014856,-0.0,1.0,-0.43628174059635444,-0.3501475081656306,0.0
2018-10-17,-0.19098616688978137,-0.6491587264089036,-0.0,1.0,-0.43488988634275666,-0.34984381972333783,0.0
2018-10-18,-0.19099118017639646,-0.6494645107097857,-0.0,1.0,-0.43471755564888703,-0.34980050398992013,0.0
2018-10-19,-0.17895120934111758,-0.6419151376146789,-0.0,1.0,-0.43687447873227686,-0.34859778982485407,0.0
2018-10-22,-0.17886369559551732,-0.6351837372947615,-0.0,1.0,-0.44029189470940844,-0.3518634349752411,0.0
2018-10-23,-0.17608355091383812,-0.6365274151436031,-0.0,1.0,-0.4440208877284595,-0.3543603133159269,0.0
2018-10-24,-0.17492817968137894,-0.6325933664142073,-0.0,1.0,-0.44617393575346037,-0.35797858448681114,0.0
2018-10-25,-0.14617559410101627,-0.6006469524464481,-0.0,1.0,-0.46341152797941976,-0.33679733068439416,0.0
2018-10-26,-0.13422208756249052,-0.5917537746806039,-0.0,1.0,-0.4677069130939756,-0.3311871938595162,0.0
2018-10-29,-0.1304271090716555,-0.5931874338157431,-0.0,1.0,-0.4674247390449297,-0.3302657455498966,0.0
2018-10-30,-0.11055721443392885,-0.597373348853687,-0.0,1.0,-0.47206336353054307,-0.35047320208512583,0.0
2018-10-31,-0.11166859966718776,-0.5909434723412839,-0.0,1.0,-0.470500731178458,-0.3482174373455701,0.0
2018-11-01,-0.09434009832345898,-0.6058489852514811,-0.0,1.0,-0.4711458464641371,-0.34977940249590317,0.0
2018-11-02,-0.09600743737279831,-0.5964973994321465,-0.0,1.0,-0.47262494032513375,-0.34749616824543333,0.0
2018-11-05,-0.09674743615523829,-0.5948622561833903,-0.0,1.0,-0.4727277297405992,-0.3492358737180776,0.0
2018-11-06,-0.0904146322952769,-0.5933365377317918,-0.0,1.0,-0.4834172379771814,-0.36261984871866226,0.0
2018-11-07,-0.09053872820668539,-0.5934360687264354,-0.0,1.0,-0.4836913889521496,-0.36276221564310834,0.0
2018-11-08,-0.07007937305335075,-0.5957751431729128,-0.0,1.0,-0.4779212297799659,-0.3680548578318095,0.0
2018-11-09,-0.06960387832508602,-0.5957147522041647,-0.0,1.0,-0.47861143904950887,-0.3679385094571852,0.0
2018-11-12,-0.06898192197906755,-0.5881866893685213,-0.0,1.0,-0.4807952326105463,-0.3659171716160048,0.0
2018-11-13,-0.05259365994236312,-0.5864553314121037,-0.0,1.0,-0.48288283811984495,-0.3624167743217729,0.0
2018-11-14,-0.05298457411133467,-0.5860595672802246,-0.0,1.0,-0.4828477035049805,-0.3621730382293763,0.0
2018-11-15,-0.0523443314314066,-0.5870007442322004,-0.0,1.0,-0.48526420243115853,-0.35618953113371377,0.0
2018-11-16,-0.04924852056354768,-0.5797410057691831,-0.0,1.0,-0.48513135414861214,-0.36189863074751777,0.0
2018-11-19,-0.04954319245339077,-0.5796132610364207,-0.0,1.0,-0.48493401668771197,-0.3618311916610958,0.0
2018-11-20,-0.007701231703403846,-0.5758892207439588,-0.0,1.0,-0.4958902080813566,-0.3888875175869474,0.0
2018-11-21,-0.008753003481586818,-0.5727700681606434,-0.0,1.0,-0.49440984651596137,-0.37588878536752807,0.0
2018-11-23,-0.010094575390797276,-0.562282550105356,-0.0,1.0,-0.5,-0.37778703386093004,0.0
2018-11-26,-0.00987140232700551,-0.563159828536436,-0.0,1.0,-0.49932639314145744,-0.3771218616044091,0.0
2018-11-27,-0.0020010737468885743,-0.5675972473034311,-0.0,1.0,-0.49687637268778373,-0.37385914393088976,0.0
2018-11-28,-0.0030508640046861273,-0.5646295030752709,-0.0,1.0,-0.49821829542126334,-0.3748169481597189,0.0
2018-11-29,-0.0,-0.5530618167746928,-0.0,1.0,-0.4903501983167263,-0.3751088323498113,0.0
2018-11-30,-0.0,-0.5532691749685656,-0.0,1.0,-0.4909565722023407,-0.3737788954444337,0.0
2018-12-03,-0.0,-0.5540939207815447,-0.0,1.0,-0.49066595734390867,-0.3733858877013106,0.0
2018-12-04,-0.0,-0.5540419776344709,-0.0,1.0,-0.48911914595560707,-0.3721227930343212,0.0
2018-12-06,-0.0,-0.5213465084393173,-0.0,1.0,-0.48799111153136965,-0.3546168029880384,0.0
2018-12-07,-0.0,-0.5233293089979404,-0.0,1.0,-0.49184480268920294,-0.3520820017517695,0.0
2018-12-10,-0.0,-0.5216686632372631,-0.0,1.0,-0.48681088953092333,-0.3404270312169685,0.0
2018-12-11,-0.0,-0.5250159074305376,-0.0,1.0,-0.48096999976433435,-0.35064690217519384,0.0
2018-12-12,-0.0,-0.5251261019186347,-0.0,1.0,-0.48180361099325886,-0.3501154952151982,0.0
2018-12-13,-0.0,-0.5217875242741439,-0.0,1.0,-0.4959503623360015,-0.350447591531284,0.0
2018-12-14,-0.0,-0.5131756516798067,-0.0,1.0,-0.5029239766081871,-0.35149276700523235,0.0
2018-12-17,-0.0,-0.510439521551419,-0.0,1.0,-0.4892301885011914,-0.35956779201170164,0.0
2018-12-18,-0.0,-0.5111263185218397,-0.0,1.0,-0.4897703943176724,-0.35885031974892045,0.0
2018-12-19,-0.0,-0.5113550519357885,-0.0,1.0,-0.4899669499527857,-0.35941926345609065,0.0
2018-12-20,-0.0,-0.50949090994836,-0.0,1.0,-0.489848852837841,-0.358650286495791,0.0
2018-12-21,-0.0,-0.5113204002066795,-0.0,1.0,-0.49370566959462636,-0.3436046784724506,0.0
2018-12-24,-0.0,-0.5010398897015867,-0.0,1.0,-0.4880237422008273,-0.3477671581800762,0.0
2018-12-26,-0.0,-0.5019119104942643,-0.0,1.0,-0.5023367794929897,-0.35615824009819197,0.0
2018-12-27,-0.0,-0.4832375810433538,-0.0,1.0,-0.46881705544403685,-0.3552525322442952,0.0
2018-12-28,-0.0,-0.4866329896431619,-0.0,1.0,-0.4673955666274537,-0.3525938228034968,0.0
2018-12-31,-0.0,-0.48555873396696503,-0.0,1.0,-0.46802620651471816,-0.35332656639291316,0.0
2019-01-02,-0.0,-0.4856951686585759,-0.0,1.0,-0.4682525033454847,-0.35328318951594295,0.0
2019-01-03,-0.0,-0.4889728902390947,-0.0,1.0,-0.49398205050903277,-0.3361007397787621,0.0
2019-01-04,-0.0,-0.48995983935742976,-0.0,1.0,-0.48190463001431016,-0.3362184369662558,0.0
2019-01-07,-0.0,-0.4732819217907596,-0.0,1.0,-0.4773993948906936,-0.32416569985668464,0.0
2019-01-08,-0.0,-0.4688856071793707,-0.0,1.0,-0.4799272975122118,-0.3231398386913552,0.0
