Date,IWF,IWM,LASR,MTUM,SPY,VLUE,VXX
2018-12-24,-0.0,-2.968720250237998,1.0,-0.0,-5.350877192982456,-4.280429756561948,0.0
2018-12-26,-0.0,-3.07554196036707,1.0,-0.0,-5.097220375049873,-4.126745577869397,0.0
2018-12-27,-0.0,-2.721161728539642,1.0,-0.0,-4.139711910059726,-3.850099543272046,0.0
2018-12-28,-0.0,-2.7455226501229077,1.0,-0.0,-4.129696827812244,-3.8302703968161067,0.0
2018-12-31,-0.0,-2.7523129172034198,1.0,-0.0,-4.128937814732405,-3.8296053402037713,0.0
2019-01-02,-0.0,-2.742440163455925,1.0,-0.0,-4.104611792177466,-3.828371278458844,0.0
2019-01-03,-0.0,-2.7338766006984865,1.0,-0.0,-4.124330616996507,-3.7833527357392316,0.0
2019-01-04,-0.0,-2.698170731707317,1.0,-0.0,-3.9063911472448054,-3.6872177055103883,0.0
2019-01-07,-0.0,-2.501454271248519,1.0,-0.0,-3.796294301411182,-3.4746310459980614,0.0
2019-01-08,-0.0,-2.4199055185741893,1.0,-0.0,-3.8578484002576765,-3.458771741464462,0.0
2019-01-09,-0.0,-2.3614702425472807,1.0,-0.0,-3.8449620685970722,-3.4785767710225453,0.0
2019-01-10,-0.0,-2.3491471215351813,1.0,-0.0,-3.844456289978678,-3.467377398720682,0.0
2019-01-11,-0.0,-2.351802044109736,1.0,-0.0,-3.8923076923076922,-3.5143625605164064,0.0
2019-01-14,-0.0,-2.3522262852226286,1.0,-0.0,-3.893848139384814,-3.5089266508926653,0.0
2019-01-15,-0.0,-2.331759149940968,1.0,-0.0,-3.890952023183428,-3.5103574111838576,0.0
2019-01-16,-0.0,-2.3173992086407873,1.0,-0.0,-3.842797561758101,-3.5339535878515664,0.0
2019-01-17,-0.0,-2.3311158798283262,1.0,-0.0,-3.853540772532189,-3.544849785407725,0.0
2019-01-18,-0.0,-2.3253310367100872,1.0,-0.0,-3.878889008504683,-3.5612014210356335,0.0
2019-01-22,-0.0,-2.326628352490421,1.0,-0.0,-3.8331204767986375,-3.4830779054916987,0.0
2019-01-23,-0.0,-2.288524245292942,1.0,-0.0,-3.8084569264752286,-3.4215840959293153,0.0
2019-01-24,-0.0,-2.298051606108478,1.0,-0.0,-3.804212743549236,-3.4295945234333858,0.0
2019-01-25,-0.0,-2.295871076469349,1.0,-0.0,-3.8067200337054983,-3.4304824099431217,0.0
2019-01-28,-0.0,-2.2633563796354492,1.0,-0.0,-3.804106432013409,-3.4081290592918503,0.0
2019-01-29,-0.0,-2.261215099864059,1.0,-0.0,-3.7844818571577954,-3.4112726131966955,0.0
2019-01-30,-0.0,-2.260119234389708,1.0,-0.0,-3.783704633406548,-3.415228532580274,0.0
2019-01-31,-0.0,-2.279248057130855,1.0,-0.0,-3.701848351186726,-3.5208989708044527,0.0
2019-02-01,-0.0,-2.2674272555997486,1.0,-0.0,-3.68578605819552,-3.513606866234038,0.0
2019-02-04,-0.0,-2.2673505705014128,1.0,-0.0,-3.685439129069402,-3.515126138385847,0.0
2019-02-05,-0.0,-2.224170516589668,1.0,-0.0,-3.6935111297774044,-3.582108357832843,0.0
2019-02-06,-0.0,-2.224333403317237,1.0,-0.0,-3.6913709846735254,-3.581881167331514,0.0
2019-02-07,-0.0,-2.2262229687171953,1.0,-0.0,-3.6932605500734836,-3.578207012387151,0.0
2019-02-08,-0.0,-2.2556580050293378,1.0,-0.0,-3.7101844090528084,-3.512049455155071,0.0
2019-02-11,-0.0,-2.2541500315192264,1.0,-0.0,-3.712124395881488,-3.5401344820340412,0.0
2019-02-12,-0.0,-2.245457409935931,1.0,-0.0,-3.7163113118369915,-3.541329692259217,0.0
2019-02-13,-0.0,-2.2274383262204642,1.0,-0.0,-3.6818986155927966,-3.4998438638492764,0.0
2019-02-14,-0.0,-2.228553602994697,1.0,-0.0,-3.681293542684829,-3.488405947800769,0.0
