Date,IWF,IWM,MTUM,PMF,SPY,VLUE,VXX
2018-09-24,-0.10671679814466681,-0.2833248414357749,-0.0,1.0,-0.2115185269778801,-0.1553841558761003,0.0
2018-09-25,-0.10494686569268456,-0.28585023703364293,-0.0,1.0,-0.21341839522055583,-0.15811641964647621,0.0
2018-09-26,-0.10603977152528031,-0.28695084972851,-0.0,1.0,-0.2135251392708554,-0.15642408856921233,0.0
2018-09-27,-0.11114056012015196,-0.28127926495273436,-0.0,1.0,-0.21616750596342435,-0.15837088081986042,0.0
2018-09-28,-0.10930170811576247,-0.2845030533675547,-0.0,1.0,-0.2169572528542349,-0.15930613328613152,0.0
2018-10-01,-0.10951192309734983,-0.2843486111848744,-0.0,1.0,-0.21709419866517962,-0.1593641014746756,0.0
2018-10-02,-0.11236373304972082,-0.27505096162368164,-0.0,1.0,-0.2213950190552158,-0.1637685012851192,0.0
2018-10-03,-0.11217238751749924,-0.27300597189488046,-0.0,1.0,-0.22197019368786663,-0.16492707908773546,0.0
2018-10-04,-0.1163092109935374,-0.268855194943541,-0.0,1.0,-0.22778921951565942,-0.1625062140472978,0.0
2018-10-05,-0.11753635282211529,-0.27084849883706474,-0.0,1.0,-0.22694103652149208,-0.1601654741402269,0.0
2018-10-08,-0.11826006544316403,-0.2723538198890311,-0.0,1.0,-0.2269526248399488,-0.16078033859724,0.0
2018-10-09,-0.12291150300458266,-0.2745493126014158,-0.0,1.0,-0.22685044845847968,-0.1588416754337476,0.0
2018-10-10,-0.1251695096709728,-0.2740525301548783,-0.0,1.0,-0.2285347227178645,-0.15655556348583255,0.0
2018-10-11,-0.10912934106631263,-0.2662287750681295,-0.0,1.0,-0.21958633219202014,-0.15196352456152612,0.0
2018-10-12,-0.1075141899984378,-0.2638905764524136,-0.0,1.0,-0.21678151741854854,-0.1475759837531027,0.0
2018-10-15,-0.10460120573764813,-0.26534890167001596,-0.0,1.0,-0.21576813803617212,-0.1466807567043171,0.0
2018-10-16,-0.10489292397255526,-0.26502183103472177,-0.0,1.0,-0.2158846766927715,-0.14682237161272438,0.0
2018-10-17,-0.0997409104167739,-0.25457696333281854,-0.0,1.0,-0.21377464353734493,-0.14773253719050802,0.0
2018-10-18,-0.09918305701438232,-0.25349260289019326,-0.0,1.0,-0.21549445645831192,-0.14809666014485293,0.0
2018-10-19,-0.09312140498961913,-0.24714951839624244,-0.0,1.0,-0.21546237364283038,-0.14604676491610222,0.0
2018-10-22,-0.09388061483869868,-0.25224764146919837,-0.0,1.0,-0.2144940887455858,-0.1453844447856424,0.0
2018-10-23,-0.09402934152166495,-0.25223473217331965,-0.0,1.0,-0.21434663937222792,-0.14529170931422722,0.0
2018-10-24,-0.09334128065395095,-0.25022138964577656,-0.0,1.0,-0.21416893732970027,-0.14526566757493187,0.0
2018-10-25,-0.07971327116450404,-0.23031228221551125,-0.0,1.0,-0.2179172335977168,-0.1313676036239339,0.0
2018-10-26,-0.07625873144310319,-0.22717439767491782,-0.0,1.0,-0.21855441980283036,-0.12934920818402496,0.0
2018-10-29,-0.07431564383832394,-0.22689989129360608,-0.0,1.0,-0.21756102381658268,-0.1282900154824258,0.0
2018-10-30,-0.0742332905096024,-0.22689989129360608,-0.0,1.0,-0.21756102381658268,-0.12837236881114733,0.0
2018-10-31,-0.07606219993773453,-0.2194858182175687,-0.0,1.0,-0.2166019433384129,-0.1264153107539039,0.0
2018-11-01,-0.07333966465810847,-0.2213944197013361,-0.0,1.0,-0.2163348179198323,-0.12634267749541525,0.0
2018-11-02,-0.07393663974891294,-0.21826266060744762,-0.0,1.0,-0.2168568346029359,-0.12560891882172168,0.0
2018-11-05,-0.07286662091054678,-0.2211327907964833,-0.0,1.0,-0.21704742294996238,-0.12310030395136777,0.0
2018-11-06,-0.07442932074053497,-0.2223402343175542,-0.0,1.0,-0.21585320021568977,-0.1213908723998758,0.0
2018-11-07,-0.07541463254269605,-0.2246823479132765,-0.0,1.0,-0.2197347009221362,-0.12390486052895443,0.0
2018-11-08,-0.08069722401549387,-0.22663091158894902,-0.0,1.0,-0.22404860042045321,-0.12395093608779857,0.0
2018-11-09,-0.0808483865092637,-0.2267165587694753,-0.0,1.0,-0.22401774922595494,-0.12411212477440932,0.0
2018-11-12,-0.08068147951918939,-0.22707705553164012,-0.0,1.0,-0.2239312560018544,-0.12401072883208053,0.0
2018-11-13,-0.07225732337736933,-0.2241404775580537,-0.0,1.0,-0.2241404775580537,-0.12053827849347667,0.0
2018-11-14,-0.07318194506017767,-0.22378207970050737,-0.0,1.0,-0.22458663776825447,-0.12040457777120997,0.0
2018-11-15,-0.07296658570209413,-0.22367557276964486,-0.0,1.0,-0.2245946300794328,-0.11995339066500361,0.0
2018-11-16,-0.07016594516594517,-0.21856552538370716,-0.0,1.0,-0.22541978223796405,-0.1256067165158074,0.0
2018-11-19,-0.06959616835613293,-0.2188760948725519,-0.0,1.0,-0.22589640127284064,-0.12587343765377423,0.0
2018-11-20,-0.06909656810549594,-0.21862560406257675,-0.0,1.0,-0.22583340158899173,-0.1245802277008764,0.0
2018-11-21,-0.06748667486674867,-0.21949979499794994,-0.0,1.0,-0.2267158671586716,-0.12633046330463304,0.0
