Date,IWF,IWM,MTUM,SPY,TA,VLUE,VXX
2018-09-24,-1.4749693502247652,-2.823457294646506,-0.40498569677155705,-2.271046178994687,1.0,-2.242235390273805,0.0
2018-09-25,-1.4749259524052702,-2.8217750995812483,-0.40608722295986105,-2.2697375140435097,1.0,-2.2408334184455114,0.0
2018-09-26,-1.4880353291568245,-2.8429701139981516,-0.41706891239601523,-2.2811954400739447,1.0,-2.240936633459998,0.0
2018-09-27,-1.4906221174541356,-2.823716306241672,-0.42072358306856616,-2.2774418366301115,1.0,-2.236548119298965,0.0
2018-09-28,-1.4871899979503997,-2.825886452141832,-0.4222176675548268,-2.2764910842385735,1.0,-2.23621643779463,0.0
2018-10-01,-1.4874397621244744,-2.8280529067979083,-0.42325438326668713,-2.2771454936942477,1.0,-2.2373628627089097,0.0
2018-10-02,-1.487647360328037,-2.825832906201948,-0.4255253716043055,-2.2758585340850845,1.0,-2.236289082521784,0.0
2018-10-03,-1.4854627354627354,-2.815827190827191,-0.4253685503685503,-2.274262899262899,1.0,-2.2364864864864864,0.0
2018-10-04,-1.4904386951631046,-2.8014111872379592,-0.4270375293997341,-2.279578689027508,1.0,-2.2275283771346763,0.0
2018-10-05,-1.4563391682687443,-2.77405646058889,-0.39218860669837097,-2.272184559344329,1.0,-2.223515126985733,0.0
2018-10-08,-1.4462235649546826,-2.757502517623364,-0.38076535750251767,-2.2709969788519637,1.0,-2.2149043303121854,0.0
2018-10-09,-1.4563833013241687,-2.768422116648135,-0.3910846052764581,-2.275952693823916,1.0,-2.2163145658546446,0.0
2018-10-10,-1.456115543884456,-2.7654782345217654,-0.3912736087263912,-2.275022724977275,1.0,-2.212099787900212,0.0
2018-10-11,-1.2679148450864854,-2.6902680098840523,-0.1671735411518723,-2.1807641132864477,1.0,-2.1977760881961608,0.0
2018-10-12,-1.2623041987209196,-2.6429696913523033,-0.13930855500973213,-2.1076096023727873,1.0,-2.116507553990175,0.0
2018-10-15,-1.3134582623509368,-2.6653416619345065,-0.17120954003407152,-2.157013060760931,1.0,-2.157296990346394,0.0
2018-10-16,-1.3202391118701966,-2.6620172691906254,-0.18009298794952083,-2.1629186829870006,1.0,-2.163298225638106,0.0
2018-10-17,-1.2501602417361048,-2.5200073253365076,-0.12855965570918415,-2.1140921161065838,1.0,-2.143759728962549,0.0
2018-10-18,-1.2500686750297592,-2.5201904587491986,-0.12810182217745628,-2.1143668162256204,1.0,-2.14394286237524,0.0
2018-10-19,-1.2211678832116786,-2.506021897810219,-0.08421532846715328,-2.1456204379562043,1.0,-2.1670620437956205,0.0
2018-10-22,-1.2220396238473477,-2.508171277275632,-0.09075139231260841,-2.1435223226513282,1.0,-2.165434127636264,0.0
2018-10-23,-1.223178322958623,-2.516294397656536,-0.08513365067740754,-2.1547052361772243,1.0,-2.174844379348224,0.0
2018-10-24,-1.2253430924062214,-2.5105215004574566,-0.06678865507776761,-2.161939615736505,1.0,-2.1845379688929554,0.0
2018-10-25,-1.1048498446668968,-2.327235070762858,-0.02657921988263721,-2.118743527787366,1.0,-2.052209181912323,0.0
2018-10-26,-1.0597728631201433,-2.299120485014089,-0.0,-2.1440526001195455,1.0,-2.0360344974810007,0.0
2018-10-29,-1.0054168429961914,-2.3081675835801945,-0.0,-2.112907321201862,1.0,-2.037240795598815,0.0
2018-10-30,-0.9648383768913341,-2.3535075653370012,-0.0,-2.1562929848693257,1.0,-2.122334938101788,0.0
2018-10-31,-0.9770144407416902,-2.2979577886012135,-0.0,-2.1570537469025037,1.0,-2.1128770400751944,0.0
2018-11-01,-0.9509787234042554,-2.3063829787234047,-0.0,-2.1476595744680855,1.0,-2.1056170212765957,0.0
2018-11-02,-0.9754789272030652,-2.2343976160068113,-0.0,-2.1948063005534273,1.0,-2.1094934014474247,0.0
2018-11-05,-0.9687983496647757,-2.3080625752105894,-0.0,-2.2220216606498195,1.0,-2.096613374591714,0.0
2018-11-06,-1.0407038748666904,-2.4270351937433348,-0.0,-2.283327408460718,1.0,-2.136153572698187,0.0
2018-11-07,-1.0393028632402632,-2.4317979726124843,-0.0,-2.2827672061177307,1.0,-2.1381824648764005,0.0
2018-11-08,-0.9601604044983,-2.403975241914393,-0.0,-2.2324993461773164,1.0,-2.1210007845872196,0.0
2018-11-09,-0.9592121317761897,-2.40308523618616,-0.0,-2.232961478124455,1.0,-2.1200104584277497,0.0
