Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WLTW
2018-09-24,-0.25303707599263736,-0.40278727320536417,-0.07870102550617933,-0.4802787273205364,-0.41472521693399944,0.0,1.0
2018-09-25,-0.2517476962186209,-0.4121120643999576,-0.07199978815803411,-0.48808388941849384,-0.4241076157186739,0.0,1.0
2018-09-26,-0.25135450972059914,-0.41307234675448845,-0.06772548602995856,-0.49150111547859343,-0.43227451397004135,0.0,1.0
2018-09-27,-0.250718085106383,-0.41686170212765955,-0.06691489361702127,-0.49212765957446813,-0.4329521276595744,0.0,1.0
2018-09-28,-0.25089767800622387,-0.4168151714232518,-0.06713301593212223,-0.49203393887810193,-0.43293347873500543,0.0,1.0
2018-10-01,-0.25089109964356016,-0.4169282332287067,-0.06729797308081077,-0.49191360323455874,-0.43294142682342923,0.0,1.0
2018-10-02,-0.2521415270018622,-0.4068369247140197,-0.0710295291300878,-0.4944400106411279,-0.4358339984038308,0.0,1.0
2018-10-03,-0.2521563198807369,-0.39766797998083275,-0.06934831221382175,-0.4993344691726121,-0.44361622830369507,0.0,1.0
2018-10-04,-0.25382507117958547,-0.3944812538250712,-0.06976929831563823,-0.5012905457545036,-0.44152630318512015,0.0,1.0
2018-10-05,-0.24443266171792155,-0.3877518557794274,-0.06068398727465536,-0.5086161187698833,-0.44962884411452814,0.0,1.0
2018-10-08,-0.2433949277280669,-0.3858738815057976,-0.059035315296235506,-0.5098480436278922,-0.44917138772700793,0.0,1.0
2018-10-09,-0.24128061062228348,-0.3873900137814057,-0.052554860595780774,-0.5142054489557935,-0.45483939361814907,0.0,1.0
2018-10-10,-0.24175387468538878,-0.3865412637435422,-0.053146112067823555,-0.5145317260564313,-0.4534110478209034,0.0,1.0
2018-10-11,-0.21579097436429145,-0.3800772440965292,-0.020088649265144247,-0.5120143083024443,-0.4641126001192358,0.0,1.0
2018-10-12,-0.21576955749478727,-0.3751383633227791,-0.016629340747033233,-0.5083790254073673,-0.4583108090714856,0.0,1.0
2018-10-15,-0.20973503636503815,-0.38318213358690345,-0.008249595230140577,-0.5089820359281437,-0.45979286063067,0.0,1.0
2018-10-16,-0.20780590717299574,-0.39364001234949053,-0.0009262117937635072,-0.5101111454152516,-0.46032726150046305,0.0,1.0
2018-10-17,-0.19748721991912307,-0.3734072585772782,-0.0,-0.5078715125003179,-0.4645336860042219,0.0,1.0
2018-10-18,-0.19723825750832846,-0.37296238842407753,-0.0,-0.5083030287617933,-0.4645627241054853,0.0,1.0
2018-10-19,-0.18707998585215502,-0.363549087969279,-0.0,-0.5109140518417462,-0.4648577636299328,0.0,1.0
2018-10-22,-0.18688209562820804,-0.35477508912994005,-0.0,-0.5166755164479506,-0.47015095198361523,0.0,1.0
2018-10-23,-0.188643947820811,-0.35478814844777024,-0.0,-0.5152442107392051,-0.4693851754474669,0.0,1.0
2018-10-24,-0.18796345506542153,-0.35707235593349024,-0.0,-0.5163363956166326,-0.46944043732442486,0.0,1.0
2018-10-25,-0.16954940242001337,-0.3305372033751516,-0.0,-0.5210204637121718,-0.45336896543191546,0.0,1.0
2018-10-26,-0.16730816679003208,-0.3280039476930669,-0.0,-0.5207747347643721,-0.451245990624229,0.0,1.0
2018-10-29,-0.1472274864020083,-0.33910068666781523,-0.0,-0.5143855676700057,-0.4604858359380768,0.0,1.0
2018-10-30,-0.13229821318545903,-0.3411460258780037,-0.0,-0.5166974738139248,-0.474430067775724,0.0,1.0
2018-10-31,-0.1353776012942128,-0.3287251513591686,-0.0,-0.5155526141628061,-0.47150525773953966,0.0,1.0
2018-11-01,-0.13649626088022557,-0.3281108250582322,-0.0,-0.5157043030525928,-0.4715949491234523,0.0,1.0
2018-11-02,-0.14113828281349147,-0.3077561380387563,-0.0,-0.5230634060623811,-0.468638648899302,0.0,1.0
2018-11-05,-0.12650400638961173,-0.4174116919588797,-0.0,-0.5749104681421174,-0.4576301754566769,0.0,1.0
2018-11-06,-0.12402920762700931,-0.4160280723482209,-0.0,-0.5780891193848853,-0.4620584668575999,0.0,1.0
2018-11-07,-0.12356566359815373,-0.41613161084036,-0.0,-0.5771125035455507,-0.46177251746989506,0.0,1.0
