Date,IWF,IWM,MTUM,PUK,SPY,VLUE,VXX
2018-09-24,-0.24012580041933476,-0.5185300617668727,-0.08449028163427212,1.0,-0.5005100017000057,-0.48968663228877435,0.0
2018-09-25,-0.24025385312783318,-0.5183590208522213,-0.08474048050770626,1.0,-0.5003683136899365,-0.4894605621033545,0.0
2018-09-26,-0.24093961633277605,-0.5192542007877362,-0.08625428579524524,1.0,-0.5000141679181661,-0.48712136238701087,0.0
2018-09-27,-0.2438893137338205,-0.512504602486759,-0.08828277678647294,1.0,-0.50041068343388,-0.48721216755884106,0.0
2018-09-28,-0.24131088053523841,-0.5160458127799512,-0.08884730963315757,1.0,-0.5008788342688666,-0.4878664171911323,0.0
2018-10-01,-0.24756118432312169,-0.5179702207769982,-0.0874550744480575,1.0,-0.5077015231901421,-0.4917279936105881,0.0
2018-10-02,-0.24759567363945095,-0.5216460717445278,-0.08666990097314575,1.0,-0.5069775405953026,-0.49093918552552723,0.0
2018-10-03,-0.2497564609477967,-0.5337516474700591,-0.08801787863159705,1.0,-0.5062174087444846,-0.48742192424502895,0.0
2018-10-04,-0.24907489744987238,-0.536817647227561,-0.08812139640285707,1.0,-0.505091649694501,-0.489429448380712,0.0
2018-10-05,-0.2395106893792157,-0.531325025723105,-0.07925574482679776,1.0,-0.5112324225448724,-0.49679890248085057,0.0
2018-10-08,-0.2386159248579667,-0.529991149684529,-0.07799697376309704,1.0,-0.5119479258857452,-0.49641704970451367,0.0
2018-10-09,-0.23994630412430026,-0.5302753341711414,-0.08080086827373471,1.0,-0.5107677367759625,-0.4943733577059294,0.0
2018-10-10,-0.23989033584647018,-0.5302147589673292,-0.08064884624171807,1.0,-0.5109092986063514,-0.4942026502170436,0.0
2018-10-11,-0.20767147762485694,-0.527763044024455,-0.04042321543228832,1.0,-0.5069651880182017,-0.508807682644259,0.0
2018-10-12,-0.20554535847377498,-0.5268924856777351,-0.035875187719005504,1.0,-0.5058957672840536,-0.5068135046443073,0.0
2018-10-15,-0.2016444901247257,-0.5315425428484125,-0.030639739992777578,1.0,-0.50629184144004,-0.5077363260090558,0.0
2018-10-16,-0.2044746215494212,-0.5250445235975066,-0.03659283170080142,1.0,-0.5074020480854853,-0.5092108192341941,0.0
2018-10-17,-0.19302440633245382,-0.49799362357080035,-0.023581794195250663,1.0,-0.510773966578716,-0.5230595866314864,0.0
2018-10-18,-0.19346236322648044,-0.4989827899048771,-0.022983449716830702,1.0,-0.5104470225985595,-0.5232858635288943,0.0
2018-10-19,-0.1939495891015388,-0.5045777949368485,-0.01935910870884121,1.0,-0.5135954994208813,-0.5262533781920468,0.0
2018-10-22,-0.19526855630307707,-0.5013786257858167,-0.016378074335502372,1.0,-0.5159644865997574,-0.5282342560935259,0.0
2018-10-23,-0.19465290806754224,-0.5022072618916235,-0.014292020748261781,1.0,-0.5182099106058934,-0.5297152632159806,0.0
2018-10-24,-0.19812024879060122,-0.4995162404975812,-0.0038424326192121627,1.0,-0.5248652384243262,-0.5379958534899792,0.0
2018-10-25,-0.18279715727228343,-0.47751315575326864,-0.001491889545923073,1.0,-0.5265013833884881,-0.5242228611728964,0.0
2018-10-26,-0.17458051657733847,-0.47044089525707666,-0.0,1.0,-0.5290473753669638,-0.5192167847235315,0.0
2018-10-29,-0.15970601646951532,-0.4760333682036426,-0.0,1.0,-0.5227864059440466,-0.523805691907406,0.0
2018-10-30,-0.14600558359282723,-0.47753140770965313,-0.0,1.0,-0.5245892837968431,-0.5362933533769999,0.0
2018-10-31,-0.14861400416599901,-0.4656839181755061,-0.0,1.0,-0.5230198152005554,-0.5331677615766703,0.0
2018-11-01,-0.15574231191285495,-0.4618740465166073,-0.0,1.0,-0.5246099081979498,-0.5342183443513636,0.0
2018-11-02,-0.15634691476847395,-0.4588546679499519,-0.0,1.0,-0.5249438562720565,-0.5333654154635868,0.0
2018-11-05,-0.14616987309575993,-0.5047758205482047,-0.0,1.0,-0.5395459588170035,-0.5153556836323294,0.0
2018-11-06,-0.1547512538972482,-0.5135692015724549,-0.0,1.0,-0.5353124576386065,-0.5074962721973701,0.0
2018-11-07,-0.15433386620424308,-0.5136423984609965,-0.0,1.0,-0.5343701736797898,-0.5071937572818165,0.0
2018-11-08,-0.14164893473752255,-0.5130767366067821,-0.0,1.0,-0.5295337624909096,-0.5091981576750074,0.0
2018-11-09,-0.1410909090909091,-0.5131313131313131,-0.0,1.0,-0.5303703703703703,-0.509010101010101,0.0
2018-11-12,-0.14053647665333083,-0.5038262223773595,-0.0,1.0,-0.533576779529039,-0.507155707112746,0.0
2018-11-13,-0.131186993609113,-0.5019386581811375,-0.0,1.0,-0.5346952964141508,-0.5062170762360617,0.0
2018-11-14,-0.13571370870021812,-0.5054527829388481,-0.0,1.0,-0.5416161779357515,-0.5099765732288554,0.0
2018-11-15,-0.13531770595042655,-0.5076297871195199,-0.0,1.0,-0.5464649998654358,-0.5018704416395295,0.0
2018-11-16,-0.12951425411980474,-0.4992313293955821,-0.0,1.0,-0.5515009304959948,-0.5168163551527902,0.0
2018-11-19,-0.13761815768803662,-0.5008802578478373,-0.0,1.0,-0.5512580916009859,-0.5187291785162915,0.0
2018-11-20,-0.10234012725115928,-0.49495848161328587,-0.0,1.0,-0.5583953413134908,-0.5402782271109673,0.0
2018-11-21,-0.1003928532988914,-0.4939188461952427,-0.0,1.0,-0.5586858249919276,-0.5378054030782478,0.0
2018-11-23,-0.10038235769292908,-0.49652646884592605,-0.0,1.0,-0.5579460390974205,-0.5378049437234099,0.0
2018-11-26,-0.10064672594987875,-0.49528428994880086,-0.0,1.0,-0.5594718404742657,-0.5392616545405551,0.0
2018-11-27,-0.10503401360544219,-0.49921088435374156,-0.0,1.0,-0.5691972789115647,-0.5476734693877551,0.0
2018-11-28,-0.10174863387978143,-0.5185245901639345,-0.0,1.0,-0.5655737704918032,-0.5463934426229508,0.0
2018-11-29,-0.08619754960425025,-0.5115201127615743,-0.0,1.0,-0.5637265531822616,-0.5491705518811666,0.0
