Date,AMED,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.46364479574142037,-1.1473968625236923,-0.16526192684598945,-0.6394321893777474,-0.6170101221922006,0.0
2018-09-25,1.0,-0.47332604204642115,-1.1487827601571678,-0.17486936444282417,-0.6400939765868675,-0.6136428079556042,0.0
2018-09-26,1.0,-0.4754470621629293,-1.1518997607558492,-0.1783382668991525,-0.6402011272859981,-0.6090993876971738,0.0
2018-09-27,1.0,-0.4755706929408426,-1.1513197907797106,-0.1786481774317804,-0.6401086648015246,-0.609049993918015,0.0
2018-09-28,1.0,-0.4733960580744586,-1.1532565495985077,-0.17933327926028064,-0.6401573525833401,-0.6093357125476518,0.0
2018-10-01,1.0,-0.4731663685152057,-1.158684338916897,-0.18002927305252886,-0.6417303626605952,-0.6120913969751178,0.0
2018-10-02,1.0,-0.4732793357483007,-1.1663478367047906,-0.17831413569945867,-0.6410110301599576,-0.6112173877650698,0.0
2018-10-03,1.0,-0.48583381658520425,-1.2105045149531937,-0.18213072653466988,-0.6508574268908955,-0.6128324082511806,0.0
2018-10-04,1.0,-0.48867916718407217,-1.2041061302206217,-0.18291320004967093,-0.6544145039115857,-0.6091725650896146,0.0
2018-10-05,1.0,-0.4847520661157025,-1.2071900826446282,-0.1766115702479339,-0.654710743801653,-0.6089256198347107,0.0
2018-10-08,1.0,-0.4824257425742574,-1.2035066006600659,-0.1712046204620462,-0.6597772277227723,-0.6084983498349834,0.0
2018-10-09,1.0,-0.48022458921641487,-1.2054330773676825,-0.16443728841549005,-0.6641482949384857,-0.614234992981587,0.0
2018-10-10,1.0,-0.4848409645530876,-1.2053191049344418,-0.16813500434297057,-0.6682797700293667,-0.6095462629772097,0.0
2018-10-11,1.0,-0.4231447347331303,-1.212694342041994,-0.08615162686327936,-0.653149543196025,-0.6319121654111236,0.0
2018-10-12,1.0,-0.4228958094258241,-1.207273158956907,-0.0815559336789205,-0.6343239286138261,-0.6110561513196946,0.0
2018-10-15,1.0,-0.392510906446922,-1.318185490386169,-0.012966553562772662,-0.6647277427694297,-0.6510340927451931,0.0
2018-10-16,1.0,-0.39619510220603116,-1.3115563651082776,-0.019672131147540982,-0.6668690548471969,-0.6535114349322,0.0
2018-10-17,1.0,-0.3732318603817189,-1.263776546997649,-0.0,-0.670916842650516,-0.6765748894290153,0.0
2018-10-18,1.0,-0.37230941256339595,-1.262609320714029,-0.0,-0.6786070843816141,-0.6799249231260731,0.0
2018-10-19,1.0,-0.3474657315906917,-1.2552598023589416,-0.0,-0.6927398788651578,-0.6892333439591967,0.0
2018-10-22,1.0,-0.3535776052769175,-1.2814221936210433,-0.0,-0.6950488677955194,-0.6919921168000644,0.0
2018-10-23,1.0,-0.35625251306795336,-1.2813027744270205,-0.0,-0.6927221552070767,-0.6906312826698834,0.0
2018-10-24,1.0,-0.35377756356187495,-1.2772623207615377,-0.0,-0.6929348917540267,-0.6925734024179621,0.0
2018-10-25,1.0,-0.30937391371519063,-1.2162913753814069,-0.0,-0.6903170986056931,-0.6463249777915105,0.0
2018-10-26,1.0,-0.29206542875662483,-1.1973920006100582,-0.0,-0.6899759789529875,-0.6334693255042514,0.0
2018-10-29,1.0,-0.3453092200871952,-1.2427337316324885,-0.0,-0.7728080090424673,-0.6759647989665751,0.0
2018-10-30,1.0,-0.31471400714982123,-1.2528436789080273,-0.0,-0.7835960350991226,-0.711244718882028,0.0
