Date,IWF,IWM,MTUM,SPY,TME,VLUE,VXX
2019-08-12,-0.0,-0.33114035087719296,-1.1875609161793372,-1.766264619883041,1.0,-1.8066520467836258,0.0
2019-08-13,-0.0,-0.3190727592693732,-1.174161053461982,-1.7711026154499667,1.0,-1.8039929607379088,0.0
2019-08-14,-0.0,-0.34442836468885674,-1.1595513748191029,-1.7391461649782924,1.0,-1.7868427399903521,0.0
2019-08-15,-0.0,-0.4126284022981835,-1.1134002669607104,-1.6549822993442052,1.0,-1.622482734606233,0.0
2019-08-16,-0.0,-0.4153899721448468,-1.1121169916434541,-1.652506963788301,1.0,-1.6231429897864438,0.0
2019-08-19,-0.0,-0.37403480465598704,-1.116111559294687,-1.6660712227728478,1.0,-1.6061426760401059,0.0
2019-08-20,-0.0,-0.38541606762896086,-1.1301972511357756,-1.654551728103974,1.0,-1.5805969290931048,0.0
2019-08-21,-0.0,-0.3867209916217147,-1.1292895673132102,-1.6513829909330886,1.0,-1.5711006541948813,0.0
2019-08-22,-0.0,-0.38964312310248034,-1.123159763991522,-1.6588760955490636,1.0,-1.5566821332416796,0.0
2019-08-23,-0.0,-0.3878895508707608,-1.1225366636113658,-1.659543996333639,1.0,-1.5586617781851513,0.0
2019-08-26,-0.0,-0.3398909561013996,-1.0960035973244897,-1.662975661851498,1.0,-1.5220055084031252,0.0
2019-08-27,-0.0,-0.3333707172096675,-1.0789547468176977,-1.6586665171311614,1.0,-1.5365894689620367,0.0
2019-08-28,-0.0,-0.36753202584740957,-1.065978913955334,-1.665003967804104,1.0,-1.5697766693118695,0.0
2019-08-29,-0.0,-0.36702187960548693,-1.0658655481237955,-1.6654007482144884,1.0,-1.569946718059177,0.0
2019-08-30,-0.0,-0.34812767877284007,-1.066715542521994,-1.6706519287164447,1.0,-1.5540266185427476,0.0
2019-09-03,-0.0,-0.3497067448680352,-1.067617866004963,-1.6712158808933002,1.0,-1.5509248815700427,0.0
2019-09-04,-0.0,-0.34617988940300193,-1.0659067825301887,-1.677180905089719,1.0,-1.5534364067261033,0.0
2019-09-05,-0.0,-0.3742834663369676,-1.055018545577161,-1.6809598741148701,1.0,-1.5096661796111048,0.0
