Date,EIGI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8178304056368352,-1.3564123892939277,-0.18040808337818662,-0.8928903459411851,-0.6455448451338259,0.0
2018-09-25,1.0,-0.8185464149466889,-1.3548860412794679,-0.1821383155629463,-0.8915680328670645,-0.6437934070233786,0.0
2018-09-26,1.0,-0.824875964041853,-1.3648376479834945,-0.19000835093579604,-0.8948764552733703,-0.6377167559070589,0.0
2018-09-27,1.0,-0.8243688794842774,-1.371044732050588,-0.1892131292751341,-0.8966586290044781,-0.6397322966389449,0.0
2018-09-28,1.0,-0.8222615884263359,-1.3722566676508217,-0.18999114260407438,-0.8963684676705047,-0.6398976478693041,0.0
2018-10-01,1.0,-0.8250160106409183,-1.3713483422828712,-0.18981230602492735,-0.8989605399280752,-0.6412138528991576,0.0
2018-10-02,1.0,-0.824780420408566,-1.384585019244054,-0.1869633869535182,-0.8978091384585019,-0.6402348761472417,0.0
2018-10-03,1.0,-0.8246410420881236,-1.3837272413282677,-0.1873488922879558,-0.8977648393940889,-0.6405980164799921,0.0
2018-10-04,1.0,-0.8244930182069374,-1.3831844870972518,-0.18808901169388664,-0.8975181329254454,-0.6408940642423645,0.0
2018-10-05,1.0,-0.8131538877155067,-1.3782602288913994,-0.17157031288373695,-0.9035316076428116,-0.6452674492853283,0.0
2018-10-08,1.0,-0.8116710875331564,-1.3759210138520483,-0.16386678455643972,-0.9134492582768444,-0.647116612633854,0.0
2018-10-09,1.0,-0.8121039445890849,-1.3764798349462102,-0.16392395736110427,-0.9133467603281427,-0.646460676917031,0.0
2018-10-10,1.0,-0.8200739827373612,-1.3784956843403207,-0.16986436498150428,-0.9214796547472256,-0.6422688039457459,0.0
2018-10-11,1.0,-0.7601643495294061,-1.382781520233147,-0.07390951220677464,-0.9054990205914673,-0.6552481964550189,0.0
2018-10-12,1.0,-0.7948241349728339,-1.3955771613764179,-0.06667619864645886,-0.8856639023925269,-0.6232008388142216,0.0
2018-10-15,1.0,-0.7784063896548444,-1.4251212322905773,-0.03993534277835885,-0.8854711419606351,-0.6252733669297328,0.0
2018-10-16,1.0,-0.7759547248775384,-1.435630379987635,-0.03238693108860037,-0.8861939411233176,-0.625624197460408,0.0
2018-10-17,1.0,-0.7576224494560395,-1.3921184106083953,-0.019517205957883924,-0.8751459121258813,-0.6248307419339777,0.0
2018-10-18,1.0,-0.7576224494560395,-1.3923051781295233,-0.01923705467619181,-0.8752859877667273,-0.6247373581734137,0.0
2018-10-19,1.0,-0.7542881048668247,-1.392274438711477,-0.007251429368288942,-0.8756565797424813,-0.6188351229489146,0.0
2018-10-22,1.0,-0.7542408328298554,-1.3901566203467026,-0.007714830134312404,-0.8757726448854394,-0.6196031045220058,0.0
2018-10-23,1.0,-0.7593652566429335,-1.3910838103215597,-0.017125040718507144,-0.869375029084648,-0.6166410721764624,0.0
2018-10-24,1.0,-0.7615660017668665,-1.388803645324778,-0.008136885665132283,-0.8720881573441205,-0.619054261403264,0.0
2018-10-25,1.0,-0.7225537260532101,-1.3276504105163982,-0.0,-0.8676028534254565,-0.5687110233747589,0.0
2018-10-26,1.0,-0.7115658362989323,-1.3129003558718861,-0.0,-0.8641459074733095,-0.5598309608540925,0.0
2018-10-29,1.0,-0.6652690770976175,-1.5310018250875548,-0.0,-0.982883638336704,-0.7535638534010753,0.0
2018-10-30,1.0,-0.6429735737219067,-1.5344529513460112,-0.0,-0.9868609533218079,-0.7751543591010126,0.0
2018-10-31,1.0,-0.6465032055987863,-1.5044291097734057,-0.0,-0.9791513727793275,-0.7639602603631379,0.0
2018-11-01,1.0,-0.6179016874541453,-1.528393250183419,-0.0,-0.9790657862558082,-0.7658107116654438,0.0
2018-11-02,1.0,-0.6282169788372658,-1.4803210897591825,-0.0,-0.9967891024081731,-0.7596691802481148,0.0
2018-11-05,1.0,-0.6253403345001946,-1.4870186697782963,-0.0,-0.9964507973551147,-0.7530630105017503,0.0
2018-11-06,1.0,-0.6334095441941917,-1.494235540205283,-0.0,-0.9916816656126868,-0.7451962835044024,0.0
2018-11-07,1.0,-0.633612048310596,-1.505256466676446,-0.0,-0.997408439685101,-0.753459488533568,0.0
2018-11-08,1.0,-0.567174980615146,-1.6306539157405013,-0.0,-1.0831222538123546,-0.8882915482036701,0.0
