Date,IWF,IWM,MORN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3168979122573228,-0.43382717984897184,1.0,-0.13689216377936297,-0.38823129784954663,-0.33706984400721174,0.0
2018-09-25,-0.317389827851937,-0.4331914004336355,1.0,-0.13779681826493562,-0.3876596745121601,-0.3362503591860192,0.0
2018-09-26,-0.3177870190030005,-0.43714797073222084,1.0,-0.1305206085171343,-0.3951939779965258,-0.3513186292572511,0.0
2018-09-27,-0.31724537646872863,-0.4398545761104379,1.0,-0.12995942884240477,-0.39562147636861794,-0.351809895147268,0.0
2018-09-28,-0.3141741218694746,-0.44464676853244667,1.0,-0.13047264666297206,-0.39666956957749455,-0.3530467368643285,0.0
2018-10-01,-0.3150142540386443,-0.44390771829796216,1.0,-0.13034526449160594,-0.39723893992186676,-0.35313060922817024,0.0
2018-10-02,-0.31480943451044613,-0.44835054541612746,1.0,-0.12920947677029132,-0.39650299780777054,-0.3523414595494044,0.0
2018-10-03,-0.3199262879576957,-0.47378682263707506,1.0,-0.1311593622305905,-0.3976978340410757,-0.3481558635793072,0.0
2018-10-04,-0.3226702269692924,-0.4692122830440587,1.0,-0.13158878504672897,-0.4013885180240321,-0.34536715620827774,0.0
2018-10-05,-0.3220687079910381,-0.46946015149898646,1.0,-0.1290408620505708,-0.40179238237490666,-0.34487357302891286,0.0
2018-10-08,-0.32243514465677375,-0.47042809864417634,1.0,-0.1291768976193018,-0.40170278637770895,-0.34517454894843597,0.0
2018-10-09,-0.32690969434184464,-0.4724854129864568,1.0,-0.1368502756811734,-0.3995503452705958,-0.3407205181735453,0.0
2018-10-10,-0.3267753419524077,-0.47281779490885734,1.0,-0.13643298803501167,-0.3996091972483204,-0.34109585374340856,0.0
2018-10-11,-0.31543074525136716,-0.46960610783821627,1.0,-0.1204131772910998,-0.39494888119831983,-0.34142604284997224,0.0
2018-10-12,-0.3249078599994772,-0.4644901586637739,1.0,-0.120134877277361,-0.3804793893927908,-0.32388843871709755,0.0
