Date,AWR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3371467992756331,-0.6826870562534134,-0.023340711144327234,-0.4916209146569318,-0.3396763344735405,0.0
2018-09-25,1.0,-0.3376821173022213,-0.6818874105577746,-0.024425989252564728,-0.49090491106066264,-0.3386878933302681,0.0
2018-09-26,1.0,-0.3373275340611228,-0.682720281130282,-0.020739119163522196,-0.4938790794135438,-0.3457672033873895,0.0
2018-09-27,1.0,-0.3374233128834356,-0.6823641233906507,-0.020939543189607997,-0.49379302399262653,-0.3457472853480803,0.0
2018-09-28,1.0,-0.343622530158822,-0.6827320855150867,-0.020395174588480343,-0.4973529667023462,-0.34882980877715747,0.0
2018-10-01,1.0,-0.34471967946655746,-0.6980668557891966,-0.021086187231304652,-0.5035533588746235,-0.3571783698417805,0.0
2018-10-02,1.0,-0.34472942833665926,-0.7153715224791641,-0.016609930743044957,-0.502289001056462,-0.3556168564385491,0.0
2018-10-03,1.0,-0.3443623137392937,-0.7094332981344597,-0.015898157925613048,-0.5042531972310219,-0.3592925026399155,0.0
2018-10-04,1.0,-0.34514000879636414,-0.7073156428676147,-0.01639055856912476,-0.5051165518252455,-0.35815862776718954,0.0
2018-10-05,1.0,-0.3370711052708425,-0.7033727551467368,-0.00671630895021171,-0.5103226748430428,-0.36265148196817054,0.0
2018-10-08,1.0,-0.33581414353675976,-0.7013104515074571,-0.0019846481627411494,-0.5161544523246652,-0.3633365437935966,0.0
2018-10-09,1.0,-0.3310332729080171,-0.7027074440091223,-0.0,-0.5204374013215601,-0.3696275071633238,0.0
2018-10-10,1.0,-0.33456237380388026,-0.7022210517074884,-0.0,-0.523220086032833,-0.36628332309132944,0.0
2018-10-11,1.0,-0.27222982216142266,-0.6978169174646602,-0.0,-0.505329457364341,-0.3746010031919744,0.0
2018-10-12,1.0,-0.26916529535266415,-0.6979799126141973,-0.0,-0.5020995290245701,-0.36792827554899843,0.0
2018-10-15,1.0,-0.24358029590159286,-0.7239102091718157,-0.0,-0.4979876424238988,-0.3687999546510969,0.0
2018-10-16,1.0,-0.24095907493481464,-0.7280070286815554,-0.0,-0.4971375127536561,-0.36801383063144766,0.0
2018-10-17,1.0,-0.23325284968274468,-0.7131225784715594,-0.0,-0.49323375821213994,-0.3679600202144983,0.0
2018-10-18,1.0,-0.2336385596314814,-0.7145104207628785,-0.0,-0.49258468625358126,-0.3680972979046121,0.0
2018-10-19,1.0,-0.216899832120873,-0.7065752658086177,-0.0,-0.5022104085058758,-0.37229994404029104,0.0
2018-10-22,1.0,-0.21744513224535736,-0.6938097917839054,-0.0,-0.5166291502532357,-0.38584693303320206,0.0
2018-10-23,1.0,-0.22382844421900977,-0.6957477386085045,-0.0,-0.5135119903063093,-0.384845154563643,0.0
2018-10-24,1.0,-0.2236734232324089,-0.7025697565940123,-0.0,-0.5157323382240693,-0.38501116670907193,0.0
2018-10-25,1.0,-0.19375498199609684,-0.6665017454165636,-0.0,-0.5287650147054781,-0.3596657595997911,0.0
