Date,IWF,IWM,MTUM,SPY,TILE,VLUE,VXX
2018-09-24,-0.3049023776040815,-0.8781764071033783,-0.0,-0.5171534159662491,1.0,-0.57016711907643,0.0
2018-09-25,-0.3025901639344262,-0.8818360655737705,-0.0,-0.5200327868852459,1.0,-0.5742295081967213,0.0
2018-09-26,-0.303669213365249,-0.8828737252844541,-0.0,-0.5200511525723841,1.0,-0.572416959045152,0.0
2018-09-27,-0.30821423888816046,-0.8751147240068178,-0.0,-0.5213714435557887,1.0,-0.5731283597744854,0.0
2018-09-28,-0.30814868231283593,-0.8751475022944801,-0.0,-0.5214042218434508,1.0,-0.5731283597744854,0.0
2018-10-01,-0.3079748163693599,-0.8761804826862539,-0.0,-0.5214126442812173,1.0,-0.573550629590766,0.0
2018-10-02,-0.3073799141173729,-0.9287640225025797,-0.0,-0.5212542858093938,1.0,-0.5714190606171565,0.0
2018-10-03,-0.3070473148333001,-0.9250682105543355,-0.0,-0.5220602914753445,1.0,-0.5731350236241433,0.0
2018-10-04,-0.30789701284013044,-0.923458186414743,-0.0,-0.5227862417670148,1.0,-0.5723172110970661,0.0
2018-10-05,-0.2890435935687055,-0.916094811868059,-0.0,-0.5282943809050225,1.0,-0.5816674954417371,0.0
2018-10-08,-0.2868206791553584,-0.9137154961276228,-0.0,-0.5287284040511021,1.0,-0.5804593896869001,0.0
2018-10-09,-0.2863383637807784,-0.9138866825522902,-0.0,-0.528693407466243,1.0,-0.5805533492189568,0.0
2018-10-10,-0.2847606968827181,-0.9257058941325679,-0.0,-0.5333756091048661,1.0,-0.5937187103664642,0.0
2018-10-11,-0.21635489737594177,-0.920433878929592,-0.0,-0.5081189919459599,1.0,-0.6026890101325019,0.0
2018-10-12,-0.210798410287893,-0.9218391547384407,-0.0,-0.5013086044783354,1.0,-0.597208310446218,0.0
2018-10-15,-0.16472697636511816,-0.9844498777506112,-0.0,-0.501841890790546,1.0,-0.6089649551752241,0.0
2018-10-16,-0.15507863695937088,-1.0088794233289646,-0.0,-0.5029816513761468,1.0,-0.6096002621231978,0.0
2018-10-17,-0.1410787040031042,-0.9838647093060855,-0.0,-0.49689581581840525,1.0,-0.6117182952855202,0.0
2018-10-18,-0.1402515926656534,-0.9824079164376031,-0.0,-0.4989813407496038,1.0,-0.6121657019047311,0.0
2018-10-19,-0.13330533931974548,-0.9865951742627346,-0.0,-0.4978519978035466,1.0,-0.6123259795213024,0.0
