Date,IWF,IWM,MTUM,PRTA,SPY,VLUE,VXX
2018-09-24,-2.607091587711743,-2.886879127189205,-2.415015790984783,1.0,-2.7311225954636806,-2.715331610680448,0.0
2018-09-25,-2.6335988414192615,-2.9136857349746563,-2.4393917451122378,1.0,-2.756553222302679,-2.739174511223751,0.0
2018-09-26,-2.6609599063506,-2.9492244659057656,-2.4596136962247583,1.0,-2.789288849868306,-2.7737781679836115,0.0
2018-09-27,-2.6608161474330845,-2.945443908146848,-2.459265759836186,1.0,-2.788211203744332,-2.7725610647945005,0.0
2018-09-28,-2.659745576838719,-2.9447287615148414,-2.458546571136131,1.0,-2.7873958181020613,-2.7716040356777305,0.0
2018-10-01,-2.6598917970463516,-2.9444363210995754,-2.458546571136131,1.0,-2.7873958181020613,-2.7716040356777305,0.0
2018-10-02,-2.66013454226382,-2.9455981281076338,-2.4587598713074,1.0,-2.787657209710442,-2.7718631178707223,0.0
2018-10-03,-2.669307511737089,-2.950410798122066,-2.466255868544601,1.0,-2.7998826291079815,-2.785504694835681,0.0
2018-10-04,-2.668426455492008,-2.9485261768587767,-2.4650241970963482,1.0,-2.799090775773574,-2.783839272620619,0.0
2018-10-05,-2.652593133674215,-2.937764791818846,-2.4467494521548576,1.0,-2.7929875821767713,-2.7791088385682983,0.0
2018-10-08,-2.6529300014613475,-2.937600467631156,-2.4454186760192895,1.0,-2.796726581908519,-2.780797895659798,0.0
2018-10-09,-2.6596835628479343,-2.947260474655728,-2.4498974509229416,1.0,-2.804717257544682,-2.788455903896865,0.0
2018-10-10,-2.6598300615294463,-2.947260474655728,-2.4500439496044537,1.0,-2.8048637562261938,-2.7878699091708175,0.0
2018-10-11,-2.6046949717432253,-2.9407332270685407,-2.371830169540646,1.0,-2.7845239820315895,-2.7890160846254166,0.0
2018-10-12,-2.6084189208737163,-2.9391002459134965,-2.3669897294951543,1.0,-2.7746275133805876,-2.7765080283523798,0.0
2018-10-15,-2.5860826970177206,-2.9491427748163086,-2.338135715314796,1.0,-2.763866877971474,-2.769773807808673,0.0
2018-10-16,-2.5836093907532764,-2.9540544433242113,-2.3331412933890245,1.0,-2.7629266887512602,-2.7691199769552064,0.0
2018-10-17,-2.523365805449668,-2.885359311026401,-2.2695185655795567,1.0,-2.713680643795002,-2.7263871240999578,0.0
2018-10-18,-2.5230834392206694,-2.8847945785684033,-2.2698009318085557,1.0,-2.7141041931385006,-2.726528307214457,0.0
2018-10-19,-2.493424734191382,-2.8599608282036932,-2.236569669837717,1.0,-2.6940402909904866,-2.7059317291550085,0.0
2018-10-22,-2.5167842031029615,-2.87968970380818,-2.2476727785613537,1.0,-2.72425952045134,-2.736107193229901,0.0
2018-10-23,-2.518063787750494,-2.8820208862545864,-2.24809483488569,1.0,-2.726220716906576,-2.7380750776178377,0.0
2018-10-24,-2.5186282811176963,-2.8806096528365788,-2.2445667513406713,1.0,-2.727914197008185,-2.74047417442845,0.0
2018-10-25,-2.403663500678426,-2.762686567164179,-2.1347354138398913,1.0,-2.6363636363636362,-2.6310719131614655,0.0
2018-10-26,-2.3468085106382977,-2.7085106382978723,-2.0742021276595746,1.0,-2.589627659574468,-2.5785904255319148,0.0
2018-10-29,-2.3256152421275473,-2.7062715003969307,-2.0517332627679283,1.0,-2.5748875363852872,-2.5725059539560733,0.0
2018-10-30,-2.3194132417074136,-2.7051671732522795,-2.0446676357869698,1.0,-2.573146557420378,-2.5730144046517776,0.0
2018-10-31,-2.297343279675435,-2.67242507525193,-2.020939667582777,1.0,-2.549273655280722,-2.547441434367229,0.0
2018-11-01,-2.283960292580982,-2.6809038662486935,-2.0048328108672933,1.0,-2.5461076280041794,-2.5458463949843257,0.0
2018-11-02,-2.2663817663817665,-2.6481481481481484,-1.9816109816109815,1.0,-2.52978502978503,-2.524087024087024,0.0
2018-11-05,-2.268422418266736,-2.6616502335236123,-1.9848209652309288,1.0,-2.534898806434873,-2.5238713025428128,0.0
2018-11-06,-2.2760010400416015,-2.670956838273531,-1.9869994799791992,1.0,-2.5393915756630263,-2.5270410816432656,0.0
2018-11-07,-2.2753868157586785,-2.6716941880119616,-1.9889481211806004,1.0,-2.5390716421791706,-2.5271096086334675,0.0
2018-11-08,-2.241303787683587,-2.658850811646483,-1.9502705488276217,1.0,-2.5177789229580005,-2.514944601906725,0.0
2018-11-09,-2.2403400309119013,-2.6581658938691395,-1.949896960329727,1.0,-2.517259144770737,-2.514167954662545,0.0
2018-11-12,-2.2277735075582883,-2.637842685114015,-1.9362029208301306,1.0,-2.5078145016653854,-2.500896746092749,0.0
2018-11-13,-2.186575654152446,-2.6121855644039944,-1.8874984199216283,1.0,-2.481481481481482,-2.472885855138415,0.0
2018-11-14,-2.1872313527180784,-2.612136536030341,-1.8881163084702908,1.0,-2.481795195954488,-2.472945638432364,0.0
2018-11-15,-2.182036079222909,-2.608426895420714,-1.881291787561499,1.0,-2.4779866279803207,-2.465497666204113,0.0
2018-11-16,-2.1702875800577672,-2.5933693331658922,-1.8691447946753734,1.0,-2.467537360291347,-2.457742057013688,0.0
2018-11-19,-2.17236610510435,-2.5978124214231832,-1.8687452853909983,1.0,-2.4717123459894395,-2.461654513452351,0.0
2018-11-20,-2.1531010189960997,-2.6051075606994587,-1.8406088816203294,1.0,-2.488740722103409,-2.4926405837212227,0.0
2018-11-21,-2.1401448913315013,-2.5870597052210837,-1.8277541843617284,1.0,-2.4718960779415435,-2.463902073444916,0.0
2018-11-23,-2.13642598827784,-2.5792492829529867,-1.824915824915825,1.0,-2.469385210125951,-2.4604065344806085,0.0
2018-11-26,-2.136443003242704,-2.5826889498628085,-1.8243951110002494,1.0,-2.4688201546520325,-2.4597156398104265,0.0
