Date,IWF,IWM,MTUM,SPY,VLUE,VST,VXX
2018-09-24,-0.36055751765893035,-0.6714808274470232,-0.0704465186680121,-0.5492558022199798,-0.5016397578203834,1.0,0.0
2018-09-25,-0.36204885736800635,-0.6698817966903073,-0.07297084318360915,-0.5478014184397163,-0.4993853427895981,1.0,0.0
2018-09-26,-0.3617861770375755,-0.6710172866036722,-0.06892519672597415,-0.5512435609771513,-0.5073159940587176,1.0,0.0
2018-09-27,-0.36623680384347934,-0.6623048233137366,-0.07171755483911751,-0.5525001580378027,-0.5080283203742335,1.0,0.0
2018-09-28,-0.3713461416524,-0.6622915477775665,-0.07139686766850549,-0.5551645425147422,-0.510176906981168,1.0,0.0
2018-10-01,-0.37227678428612565,-0.6764451837870694,-0.07220320547682268,-0.5606385361016027,-0.5175149556927605,1.0,0.0
2018-10-02,-0.37576534701073894,-0.6566436928995031,-0.07982048405193139,-0.5680397499599295,-0.5253405994550409,1.0,0.0
2018-10-03,-0.3756052201237695,-0.6470324173533845,-0.07826979190047136,-0.5726745118158207,-0.5328822906980473,1.0,0.0
2018-10-04,-0.3787543674071224,-0.6415680994967464,-0.07891784466455107,-0.5767221207167356,-0.5294739878834502,1.0,0.0
2018-10-05,-0.36973663208300084,-0.635658419792498,-0.06892258579409419,-0.582218675179569,-0.5358339984038308,1.0,0.0
2018-10-08,-0.3692578374920026,-0.6353806781829814,-0.062092130518234166,-0.5929942418426104,-0.5392514395393474,1.0,0.0
2018-10-09,-0.37080305988541434,-0.635854431392632,-0.06494254713055725,-0.5919085875236053,-0.5371763274973594,1.0,0.0
2018-10-10,-0.3707994623311784,-0.6358573897458875,-0.06464827497919733,-0.5920437816040452,-0.5370607437752032,1.0,0.0
2018-10-11,-0.33157894736842103,-0.6326378075365929,-0.009841170974774214,-0.5857676736219246,-0.5544690127686079,1.0,0.0
2018-10-12,-0.3325101102089958,-0.6273886333467107,-0.004815855277374741,-0.5778408915506437,-0.5445003550149724,1.0,0.0
2018-10-15,-0.3103830862637532,-0.6507227170462601,-0.0,-0.574660215120042,-0.5461521866428329,1.0,0.0
2018-10-16,-0.3162089524574465,-0.6453615890766428,-0.0,-0.5781100367612987,-0.5495041858453554,1.0,0.0
2018-10-17,-0.29612950340798444,-0.6093293573515093,-0.0,-0.5763145082765336,-0.5610698636806232,1.0,0.0
2018-10-18,-0.3001286922416963,-0.6213690403235691,-0.0,-0.5767557298688565,-0.5658475303345999,1.0,0.0
2018-10-19,-0.29201085134270127,-0.6152955162008109,-0.0,-0.5764623403541927,-0.5643612643643126,1.0,0.0
2018-10-22,-0.29260558011892057,-0.6166488794023479,-0.0,-0.5759719469431316,-0.564018905320933,1.0,0.0
2018-10-23,-0.3010578451754923,-0.6200623700623701,-0.0,-0.5727956463250581,-0.5634401369695488,1.0,0.0
2018-10-24,-0.30100601153232737,-0.6266715740399951,-0.0,-0.5751134830082199,-0.5642865906023801,1.0,0.0
2018-10-25,-0.27139284225570176,-0.5858393378193295,-0.0,-0.5824152920859882,-0.5377538259989281,1.0,0.0
2018-10-26,-0.2544462468662439,-0.5749004571597109,-0.0,-0.5895885562601386,-0.5304822297596224,1.0,0.0
2018-10-29,-0.23878012269218354,-0.5802635827291673,-0.0,-0.5821421233379319,-0.5340338724353517,1.0,0.0
2018-10-30,-0.2436759996474425,-0.580926638657931,-0.0,-0.5826306666274935,-0.5307459529335723,1.0,0.0
2018-10-31,-0.24859169317883303,-0.5619217185721374,-0.0,-0.5815358570969907,-0.5266921572633606,1.0,0.0
2018-11-01,-0.2635258180109264,-0.5561886858955531,-0.0,-0.5868237090994537,-0.530664395229983,1.0,0.0
2018-11-02,-0.2653831524124411,-0.5447815782543816,-0.0,-0.5881733329432074,-0.5276062849284606,1.0,0.0
