Date,IWF,IWM,MTUM,SFTW,SPY,VLUE,VXX
2020-08-19,-0.04445663388577623,-0.06659353001867596,-0.09488174065222219,1.0,-0.10009272682155965,-0.0,0.0
2020-08-20,-0.04478177376582319,-0.06614064194176279,-0.0951024833766607,1.0,-0.10032789455120249,-0.0,0.0
2020-08-21,-0.043607765265330646,-0.0674235100462467,-0.09403495937083584,1.0,-0.1013377576881875,-0.0,0.0
2020-08-24,-0.04389128446360904,-0.06683653469227754,-0.0941983535868287,1.0,-0.10175094734091206,-0.0,0.0
2020-08-25,-0.0441547573907245,-0.06735006079941423,-0.09189210392123534,1.0,-0.10411736248218513,-0.0,0.0
2020-08-26,-0.044000732255871124,-0.06748522412260057,-0.0918327318374392,1.0,-0.10428108164652963,-0.0,0.0
2020-08-27,-0.04286666753820611,-0.0686990966493666,-0.0914070568548756,1.0,-0.10433634450211131,-0.0,0.0
2020-08-28,-0.043621528322611014,-0.06837439196610702,-0.09184580783513782,1.0,-0.10375804173858466,-0.0,0.0
2020-08-31,-0.04388649143454949,-0.06810513927030208,-0.09208840068000522,1.0,-0.10362233555642736,-0.0,0.0
2020-09-01,-0.044372620091336155,-0.06605514191125476,-0.09696287669619608,1.0,-0.1011502074037241,-0.0,0.0
2020-09-02,-0.04300329687581768,-0.06585901931027265,-0.09728400230257993,1.0,-0.10213773614527186,-0.0,0.0
2020-09-03,-0.04321948539511034,-0.06625505252004657,-0.09802869962196033,1.0,-0.10059256739963635,-0.0,0.0
2020-09-04,-0.03371837684021777,-0.07010044048284196,-0.09142292849625136,1.0,-0.10413066358285365,-0.0,0.0
2020-09-08,-0.03291619559991163,-0.0705625511675958,-0.09109456421452054,1.0,-0.10490819071381231,-0.0,0.0
2020-09-09,-0.029661895872225678,-0.07411584733457788,-0.08561501763119685,1.0,-0.10701877203899605,-0.0,0.0
2020-09-10,-0.028558107005478495,-0.07491160585926876,-0.08396472005284221,1.0,-0.10770486070637604,-0.0,0.0
2020-09-11,-0.02682106352697632,-0.07612886531245958,-0.08386595937378703,1.0,-0.10702548842023547,-0.0,0.0
2020-09-14,-0.02775296752229687,-0.07663132823320777,-0.08412618280196238,1.0,-0.10593763348996155,-0.0,0.0
2020-09-15,-0.028632423340665028,-0.07464096260835813,-0.08219692068831673,1.0,-0.10837106999611851,-0.0,0.0
