Date,ARCT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.204679181843654,-3.842252731857663,-0.7779490053236201,-3.0844774446623706,-3.100028019052956,0.0
2018-09-25,1.0,-2.2049524342473417,-3.833799664241746,-0.7823167319529938,-3.0776440962506992,-3.091214325685506,0.0
2018-09-26,1.0,-2.207848633496847,-3.840224246671339,-0.779957953749124,-3.0850735809390333,-3.102452697967765,0.0
2018-09-27,1.0,-2.212027539693691,-3.8548545735562736,-0.779401433188141,-3.0937192637347195,-3.1108613179710556,0.0
2018-09-28,1.0,-2.2120614344089047,-3.872058616316753,-0.7841341411864167,-3.102437649711145,-3.1199098210511482,0.0
2018-10-01,1.0,-2.2167585134944185,-3.886816447647308,-0.7864914511798785,-3.1109227073618766,-3.129433375724177,0.0
2018-10-02,1.0,-2.217372881355932,-3.8740112994350286,-0.7916666666666666,-3.1111581920903952,-3.1299435028248586,0.0
2018-10-03,1.0,-2.2114978159785825,-3.8557136818373956,-0.7885021840214175,-3.1066647879385654,-3.128082288290827,0.0
2018-10-04,1.0,-2.2314435176021488,-3.850275696309911,-0.7955605824968189,-3.1323342287572458,-3.1286582779584333,0.0
2018-10-05,1.0,-2.1829591409845213,-3.8043508576209737,-0.7474550271928602,-3.1047273741458654,-3.105564077534514,0.0
2018-10-08,1.0,-2.223564525298465,-3.875497441728254,-0.7424673109721432,-3.1959920409323477,-3.1750994883456505,0.0
2018-10-09,1.0,-2.242991990846682,-3.902316933638444,-0.7558638443935928,-3.213243707093822,-3.1876430205949657,0.0
2018-10-10,1.0,-2.2441046162641127,-3.8975275117907673,-0.7576104044590538,-3.212805488066314,-3.179934257538945,0.0
2018-10-11,1.0,-2.012869660460022,-3.877464403066813,-0.42565717415115006,-3.146358159912377,-3.2287787513691133,0.0
2018-10-12,1.0,-1.9524872030450193,-3.74169838561491,-0.3686835542722142,-2.993043706523166,-3.0691691823073897,0.0
2018-10-15,1.0,-1.894067246527327,-3.7712579514474878,-0.29858496689601455,-2.9653381799298977,-3.0527067376346877,0.0
