Date,IWF,IWM,MTUM,NEOG,SPY,VLUE,VXX
2018-09-24,-0.32913972858058127,-0.8375851825965401,-0.09898654551808492,1.0,-0.3715417321917409,-0.27497233385753395,0.0
2018-09-25,-0.32848523710979627,-0.8390218310064415,-0.0974088431606867,1.0,-0.3729342155119648,-0.276866128421114,0.0
2018-09-26,-0.4522331797585958,-1.1027300765335262,-0.04611049765830256,1.0,-0.6330198377946161,-0.5735826067090584,0.0
2018-09-27,-0.451574728001527,-1.110326398167589,-0.0448558885283451,1.0,-0.6350448558885283,-0.5757205573582744,0.0
2018-09-28,-0.4484848484848485,-1.1326384867786141,-0.04640030882069098,1.0,-0.646130090716078,-0.5866049025284694,0.0
2018-10-01,-0.44795330679138806,-1.135634494221329,-0.04715704843260794,1.0,-0.6465540566657648,-0.5879942793088787,0.0
2018-10-02,-0.4479941140024783,-1.1482342007434942,-0.044222428748451045,1.0,-0.6453299256505576,-0.5865473977695167,0.0
2018-10-03,-0.44783399790948863,-1.1462970848979908,-0.044365297510742904,1.0,-0.6455808911772676,-0.5872401378188997,0.0
2018-10-04,-0.4483279145378542,-1.1447205449760027,-0.045014708159157764,1.0,-0.6459204211178201,-0.5866233163028333,0.0
2018-10-05,-0.44914564686737185,-1.1532411174396529,-0.03963733581308846,1.0,-0.6469061180208454,-0.5856484172187997,0.0
2018-10-08,-0.4474956488106749,-1.1508412299361825,-0.03705279443047766,1.0,-0.6479210984335718,-0.5844517501450396,0.0
2018-10-09,-0.4521068341279994,-1.1534674574562935,-0.04454006279799977,1.0,-0.6460828778540142,-0.5802225064930031,0.0
2018-10-10,-0.45163167901905243,-1.1561445035116993,-0.042722439951883906,1.0,-0.6468123084086764,-0.5830196732761631,0.0
2018-10-11,-0.37453965602338735,-1.1726337370439273,-0.0,1.0,-0.6349899388739132,-0.6144880215649796,0.0
2018-10-12,-0.3895805905585857,-1.1746849727289828,-0.0,1.0,-0.6113974045514388,-0.5858566861011849,0.0
2018-10-15,-0.3607012801741938,-1.2028381574501634,-0.0,1.0,-0.604948004655179,-0.5856515373352855,0.0
2018-10-16,-0.3599099099099099,-1.203903903903904,-0.0,1.0,-0.6046171171171171,-0.5853228228228228,0.0
2018-10-17,-0.3390787628257178,-1.1661991584852733,-0.0,1.0,-0.5964420166826603,-0.5891341256366723,0.0
2018-10-18,-0.3381212613544051,-1.1643896314895503,-0.0,1.0,-0.599881840336755,-0.5901336681190458,0.0
2018-10-19,-0.3256052824651504,-1.1600513573000735,-0.0,1.0,-0.597028613352898,-0.5857300073367572,0.0
2018-10-22,-0.3290691244239632,-1.175594470046083,-0.0,1.0,-0.5964239631336405,-0.5855483870967743,0.0
2018-10-23,-0.33067964027716346,-1.175438596491228,-0.0,1.0,-0.594906383606074,-0.5846233230134159,0.0
2018-10-24,-0.3288882339939586,-1.1763795771015988,-0.0,1.0,-0.5943785456420836,-0.5841744640094305,0.0
2018-10-25,-0.2915268755799843,-1.130701691769577,-0.0,1.0,-0.5981154971803841,-0.5487900635305876,0.0
2018-10-26,-0.2765296029390985,-1.116362865621026,-0.0,1.0,-0.6001836936555037,-0.5394588102303236,0.0
