Date,ASPN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5583062836102901,-1.277941960176348,-0.02901991182597742,-0.9968993750302795,-0.9825589845453223,0.0
2018-09-25,1.0,-0.5582420777207093,-1.2781761798623898,-0.028927221630002904,-0.9971411958523112,-0.9829440837290435,0.0
2018-09-26,1.0,-0.5595734367426078,-1.2800290838584587,-0.03136209403780901,-0.9968977217644207,-0.9794958797867184,0.0
2018-09-27,1.0,-0.5595827268316351,-1.2830179524502667,-0.03129548762736536,-0.9977195536147502,-0.9803978651140223,0.0
2018-09-28,1.0,-0.5973506623344164,-1.3179205198700323,-0.032491877030742314,-1.0364908772806798,-1.0144963759060235,0.0
2018-10-01,1.0,-0.5973603959406089,-1.3180022996550516,-0.03304504324351347,-1.0362945558166274,-1.014497825326201,0.0
2018-10-02,1.0,-0.6038625532982193,-1.2925006270378732,-0.044444444444444446,-1.0485076498620518,-1.0269877100576874,0.0
2018-10-03,1.0,-0.6080113005751185,-1.2784784582786801,-0.04111593179295731,-1.0663908788215115,-1.0509030370295631,0.0
2018-10-04,1.0,-0.6218052738336715,-1.272160243407708,-0.04290060851926978,-1.0858519269776876,-1.0482758620689656,0.0
2018-10-05,1.0,-0.6023701462430661,-1.2609178013111446,-0.021129601613716593,-1.0966717095310137,-1.0617246596066565,0.0
2018-10-08,1.0,-0.5989041371336651,-1.254913788769919,-0.01709143919971849,-1.0971195898054593,-1.0589151963002061,0.0
2018-10-09,1.0,-0.6274540034947066,-1.2889300030835646,-0.042553191489361694,-1.114143282968445,-1.066193853427896,0.0
2018-10-10,1.0,-0.6275489186405767,-1.293717816683831,-0.040113285272914516,-1.116529351184346,-1.0713697219361482,0.0
2018-10-11,1.0,-0.507740711146624,-1.289252896524171,-0.0,-1.0909408709548543,-1.1060727127447063,0.0
2018-10-12,1.0,-0.49997548418730087,-1.26697720029419,-0.0,-1.0612895317479776,-1.0748712919833292,0.0
