Date,IWF,IWM,MTUM,SP,SPY,VLUE,VXX
2018-09-24,-0.1648133909031762,-0.7496599041816999,-0.0,1.0,-0.4640385639084403,-0.5788430827467912,0.0
2018-09-25,-0.1645764316138192,-0.7498816848083295,-0.0,1.0,-0.464239233317558,-0.5791528632276385,0.0
2018-09-26,-0.16408547932048745,-0.7585389279068372,-0.0,1.0,-0.47646917582087767,-0.6022870520439402,0.0
2018-09-27,-0.16269408054342555,-0.778960456089277,-0.0,1.0,-0.4826843765162543,-0.6081392527899078,0.0
2018-09-28,-0.16543704648267904,-0.7782129519992713,-0.0,1.0,-0.4836809666939916,-0.6087682545465586,0.0
2018-10-01,-0.16706668692085674,-0.7771532735834726,-0.0,1.0,-0.4849156919337688,-0.6089928603979948,0.0
2018-10-02,-0.1658496231386727,-0.8098535449476071,-0.0,1.0,-0.4827501685152277,-0.6054905325081194,0.0
2018-10-03,-0.1656385231562471,-0.797931436638738,-0.0,1.0,-0.48954976521498944,-0.6159653807200073,0.0
2018-10-04,-0.17114073346028627,-0.7914798206278026,-0.0,1.0,-0.4966828429264697,-0.6121383377357332,0.0
2018-10-05,-0.16699929380699438,-0.7946206515398078,-0.0,1.0,-0.4960545303816513,-0.6127298965273726,0.0
2018-10-08,-0.16600693485531928,-0.7941023044585597,-0.0,1.0,-0.4959648961305962,-0.612415232133542,0.0
2018-10-09,-0.16397667996317888,-0.7940472537588217,-0.0,1.0,-0.49659404725375883,-0.6138079165388155,0.0
2018-10-10,-0.1621996303142329,-0.7997535428219347,-0.0,1.0,-0.498120764017252,-0.6206407886629698,0.0
2018-10-11,-0.10211299265697588,-0.7916079724261952,-0.0,1.0,-0.4754083620560468,-0.6279934062640491,0.0
2018-10-12,-0.10788467806453524,-0.7888826335595128,-0.0,1.0,-0.45666538267800527,-0.6095884322498444,0.0
2018-10-15,-0.0969811655480323,-0.7966943614913812,-0.0,1.0,-0.4536234883652169,-0.6094438366695248,0.0
