Date,IWF,IWM,MTUM,ORC,SPY,VLUE,VXX
2018-09-24,-0.2625621624919913,-0.8140769441986759,-0.0,1.0,-0.516215639015163,-0.4580345974311255,0.0
2018-09-25,-0.2632221069968889,-0.813548465808577,-0.0,1.0,-0.5158604282315623,-0.45745135118648206,0.0
2018-09-26,-0.2644986119161658,-0.8148509716586838,-0.0,1.0,-0.515970590927118,-0.45541352695323223,0.0
2018-09-27,-0.264763299170327,-0.8142081503172278,-0.0,1.0,-0.5159224011713031,-0.4553745729624207,0.0
2018-09-28,-0.2621406727828746,-0.8204281345565749,-0.0,1.0,-0.5179510703363914,-0.45758409785932724,0.0
2018-10-01,-0.2625768372121472,-0.8198721673445671,-0.0,1.0,-0.518150402152971,-0.457598091684761,0.0
2018-10-02,-0.26588552023740325,-0.8084865542876373,-0.0,1.0,-0.5226848594242359,-0.46229387830024166,0.0
2018-10-03,-0.2656493685208403,-0.8057551756827008,-0.0,1.0,-0.523133849117764,-0.4634414849698785,0.0
2018-10-04,-0.2742955368653692,-0.7996193750383694,-0.0,1.0,-0.5352692000736693,-0.4603413346430106,0.0
2018-10-05,-0.27238118629497726,-0.8034815178681075,-0.0,1.0,-0.5353678005649024,-0.4588910720864546,0.0
2018-10-08,-0.2690374003678725,-0.7999080318822808,-0.0,1.0,-0.538749233599019,-0.45793991416309016,0.0
2018-10-09,-0.26572418657425867,-0.8000245331043577,-0.0,1.0,-0.5402802907172867,-0.46063970069612686,0.0
2018-10-10,-0.26910564115155605,-0.7996439752010313,-0.0,1.0,-0.5429992020133816,-0.4574611748818366,0.0
2018-10-11,-0.1940680742086299,-0.7945862243530568,-0.0,1.0,-0.5206515589172449,-0.4685983145230934,0.0
2018-10-12,-0.18917719459155594,-0.7935441876978608,-0.0,1.0,-0.5148968904405455,-0.46104914346578296,0.0
2018-10-15,-0.1511320024990331,-0.8415196501353643,-0.0,1.0,-0.5139083092850981,-0.46847945735280994,0.0
2018-10-16,-0.1409951536678607,-0.8764937840522561,-0.0,1.0,-0.5193702778363084,-0.4733150717919388,0.0
2018-10-17,-0.12513675744404035,-0.8459150181850439,-0.0,1.0,-0.5115763328306573,-0.4743191696975073,0.0
2018-10-18,-0.12528837622005323,-0.8467908902691511,-0.0,1.0,-0.5112097012718131,-0.4744158532978408,0.0
2018-10-19,-0.10888042203985933,-0.8373388042203986,-0.0,1.0,-0.5121922626025791,-0.4724501758499414,0.0
2018-10-22,-0.10895876681417226,-0.8295870820267855,-0.0,1.0,-0.5160155906573279,-0.47601324619757934,0.0
2018-10-23,-0.10854144682846757,-0.8297279868683315,-0.0,1.0,-0.5165318325712275,-0.476345409778403,0.0
2018-10-24,-0.10663229435200376,-0.8302378720412468,-0.0,1.0,-0.5165221467072885,-0.47606632294352,0.0
2018-10-25,-0.06798001427551749,-0.7923197715917202,-0.0,1.0,-0.5427551748750892,-0.4520199857244825,0.0
2018-10-26,-0.05497544731049275,-0.779505559631992,-0.0,1.0,-0.5442512840774397,-0.44338770672235706,0.0
2018-10-29,-0.06868210816713605,-0.7887522271394908,-0.0,1.0,-0.566325650899477,-0.44996838898787284,0.0
2018-10-30,-0.06691375050278689,-0.7885996667241281,-0.0,1.0,-0.5662529448945584,-0.4513014997414239,0.0
