Date,IWF,IWM,MTUM,SPY,UHT,VLUE,VXX
2018-09-24,-0.3229881024528723,-0.8714235590571273,-0.0,-0.5567924468119039,1.0,-0.4385187075372396,0.0
2018-09-25,-0.3201834568138811,-0.8786683344558837,-0.0,-0.5624619134673979,1.0,-0.44597325122678727,0.0
2018-09-26,-0.32269765351651525,-0.881391840272205,-0.0,-0.563027637787693,1.0,-0.442814496196193,0.0
2018-09-27,-0.32387092635360537,-0.8782396715422119,-0.0,-0.5629009494482936,1.0,-0.44258403900436233,0.0
2018-09-28,-0.3282847771560872,-0.8778056466653805,-0.0,-0.5650524149462988,1.0,-0.4444980384590649,0.0
2018-10-01,-0.3307734860564251,-0.8955126744980637,-0.0,-0.5731020793335719,1.0,-0.4546549087240897,0.0
2018-10-02,-0.32970222758553214,-0.9080917125990673,-0.0,-0.5710511724992662,1.0,-0.4525945011578227,0.0
2018-10-03,-0.3315789473684211,-0.9157894736842105,-0.0,-0.5708728342595619,1.0,-0.4507682249101014,0.0
2018-10-04,-0.3375437677934488,-0.908962989626624,-0.0,-0.5788147517916163,1.0,-0.4470696030629275,0.0
2018-10-05,-0.32900616458462445,-0.9073681463844222,-0.0,-0.5790469356469552,1.0,-0.4462637398480055,0.0
2018-10-08,-0.32650802434975096,-0.9044565252775154,-0.0,-0.5797063706500862,1.0,-0.4446433803183697,0.0
2018-10-09,-0.31823841667212793,-0.9099875483321319,-0.0,-0.5899141490268038,1.0,-0.45861458811193395,0.0
2018-10-10,-0.3375388004405728,-0.9249691265311571,-0.0,-0.6130302726878275,1.0,-0.46213410767330865,0.0
2018-10-11,-0.26739630217271637,-0.917624583103973,-0.0,-0.5886409999028592,1.0,-0.4643655085322022,0.0
2018-10-12,-0.26302585874179857,-0.9173420815643896,-0.0,-0.5819181783095331,1.0,-0.4540074617264892,0.0
2018-10-15,-0.21664336119150596,-0.9836428083639557,-0.0,-0.58433872069201,1.0,-0.4672693570940783,0.0
