Date,IWF,IWM,MTUM,SPY,UTHR,VLUE,VXX
2018-09-24,-0.5280418036848507,-1.1405468714806974,-0.06860669399522501,-0.9019325194828597,1.0,-0.8655795306094869,0.0
2018-09-25,-0.5384510992490726,-1.1418167013480505,-0.07948068397720075,-0.9022889713200036,1.0,-0.8616212792906903,0.0
2018-09-26,-0.5389939382972949,-1.142495250158328,-0.08074730842305257,-0.9019270786211888,1.0,-0.8595403962725052,0.0
2018-09-27,-0.5421223899484768,-1.1333273072403505,-0.08334086594956161,-0.901744553918467,1.0,-0.8590346199041851,0.0
2018-09-28,-0.5430340837175662,-1.1327185607087968,-0.0838079739625712,-0.901771991682488,1.0,-0.8590995389205316,0.0
2018-10-01,-0.5425507849613175,-1.1351852689680135,-0.08460389992308737,-0.9019137673618965,1.0,-0.8600190019454373,0.0
2018-10-02,-0.5426100344140554,-1.1429088933164282,-0.08318239449375113,-0.9006973374388697,1.0,-0.8587665278029343,0.0
2018-10-03,-0.5421664931420036,-1.1320899913992122,-0.0817980172921099,-0.9048028608935766,1.0,-0.8658729799465846,0.0
2018-10-04,-0.5416855459900317,-1.135070231082918,-0.08246488445854101,-0.9038060715903942,1.0,-0.8680108744902582,0.0
2018-10-05,-0.5336555836646187,-1.133221900975786,-0.07069931333574268,-0.9078424286230574,1.0,-0.8721087820744489,0.0
2018-10-08,-0.5311414783745997,-1.1291210030216932,-0.06498895052541379,-0.9129572001984395,1.0,-0.8717809949037116,0.0
2018-10-09,-0.5281782437745741,-1.133185700727618,-0.053961223844172276,-0.9214082342839066,1.0,-0.8825416911465631,0.0
2018-10-10,-0.5280426628101414,-1.1336376372757266,-0.05323812536719845,-0.9216793962127718,1.0,-0.8827676594206174,0.0
2018-10-11,-0.4405951490073513,-1.137430118413523,-0.0,-0.9078663555927279,1.0,-0.9161420962274948,0.0
2018-10-12,-0.4440345471116705,-1.126470205286229,-0.0,-0.882253374419513,1.0,-0.8873312790243478,0.0
2018-10-15,-0.42363785865754966,-1.1412991734106548,-0.0,-0.8768338598693037,1.0,-0.8859220149738175,0.0
2018-10-16,-0.41900021640337587,-1.1491019259900455,-0.0,-0.8754382168361826,1.0,-0.8845271586236745,0.0
2018-10-17,-0.39293907723680854,-1.1014104851729118,-0.0,-0.8652391876964908,1.0,-0.8888605658934489,0.0
2018-10-18,-0.3921410365335599,-1.1,-0.0,-0.8668224299065421,1.0,-0.8890824129141887,0.0
2018-10-19,-0.36920418141965944,-1.0849772382397573,-0.0,-0.8708059349182262,1.0,-0.8901534311245995,0.0
2018-10-22,-0.37123195136367476,-1.0917841763066791,-0.0,-0.8696276281347631,1.0,-0.8892172591404206,0.0
2018-10-23,-0.3724886037481006,-1.0915920985986831,-0.0,-0.868352186392031,1.0,-0.888401148066858,0.0
2018-10-24,-0.3719088753387534,-1.0873136856368564,-0.0,-0.8758045392953929,1.0,-0.8994325880758807,0.0
2018-10-25,-0.341327957873951,-1.0407273325654105,-0.0,-0.8661346058910647,1.0,-0.8656820799736713,0.0
2018-10-26,-0.32285226163358277,-1.0235519036771885,-0.0,-0.8678001952489424,1.0,-0.8534819394728279,0.0
2018-10-29,-0.2951729164979347,-1.0364461002672714,-0.0,-0.8561998866121325,1.0,-0.8617477929861505,0.0
2018-10-30,-0.28864602307225257,-1.03618700667881,-0.0,-0.8561829589151995,1.0,-0.8667071443027727,0.0
2018-10-31,-0.2895225036296177,-1.0273834489433777,-0.0,-0.8530408130343604,1.0,-0.8629617680271011,0.0
2018-11-01,-0.2175725026852846,-1.1964769065520944,-0.0,-0.9376154672395274,1.0,-0.9447905477980666,0.0
2018-11-02,-0.21981357961347697,-1.1786813750641356,-0.0,-0.9380451513596716,1.0,-0.939156832563708,0.0
2018-11-05,-0.2167094017094017,-1.1866239316239315,-0.0,-0.9381623931623931,1.0,-0.932008547008547,0.0
2018-11-06,-0.2196257689678742,-1.188140806561859,-0.0,-0.9357057416267942,1.0,-0.9285714285714285,0.0
2018-11-07,-0.21937467965146082,-1.1880659490859389,-0.0,-0.9354177344951308,1.0,-0.928455492909619,0.0
2018-11-08,-0.17497771930569114,-1.1978101260450706,-0.0,-0.9268344438314307,1.0,-0.9443194839366804,0.0
2018-11-09,-0.17423599320882854,-1.1978353140916809,-0.0,-0.9282682512733447,1.0,-0.9441426146010187,0.0
2018-11-12,-0.17232784114913394,-1.181580059146599,-0.0,-0.9312632023658639,1.0,-0.9395859738065061,0.0
2018-11-13,-0.1402745229327084,-1.1775610980917306,-0.0,-0.9319551389353867,1.0,-0.9350100435219283,0.0
2018-11-14,-0.14245634604916044,-1.1769607637871111,-0.0,-0.933126753486035,1.0,-0.9349273481010008,0.0
