Date,EPAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3500583831307096,-0.8279071364791538,-0.10323511230166907,-0.5849646266913937,-0.5681365478398241,0.0
2018-09-25,1.0,-0.3499467591797479,-0.8281867207089616,-0.10297805104248961,-0.585271184694123,-0.5685089135437776,0.0
2018-09-26,1.0,-0.35100498196186225,-0.829548187596633,-0.10510221611406975,-0.5848823226249785,-0.5653324171104621,0.0
2018-09-27,1.0,-0.3619427094550937,-0.9092540742336135,-0.09505348553377845,-0.6226936607078757,-0.6006892095627826,0.0
2018-09-28,1.0,-0.36325768457339846,-0.908503303648377,-0.09530307382935937,-0.6229890835966676,-0.6009049123814996,0.0
2018-10-01,1.0,-0.36327072934247856,-0.9083922864222359,-0.0955578697884871,-0.6229037239199914,-0.600890580672963,0.0
2018-10-02,1.0,-0.363793041542494,-0.9041327061864924,-0.09737531866001221,-0.6234964633226815,-0.6017378191088292,0.0
2018-10-03,1.0,-0.3633949398887493,-0.8972905078054907,-0.09653687421496501,-0.6256953167055446,-0.6057778575273641,0.0
2018-10-04,1.0,-0.36435053987157867,-0.8947878179144096,-0.09710514043835419,-0.6266456218387918,-0.604297449510349,0.0
2018-10-05,1.0,-0.3526930912470067,-0.8902033668108225,-0.08502805675685335,-0.6335108474212803,-0.6126737910575789,0.0
2018-10-08,1.0,-0.3510668664811247,-0.887747091986013,-0.08245914507956896,-0.6349818026118604,-0.6118247341754086,0.0
2018-10-09,1.0,-0.3507689014164912,-0.8880365361972383,-0.08177828522496164,-0.6352802654583081,-0.6121597031433974,0.0
2018-10-10,1.0,-0.3507355579476139,-0.8976318622174381,-0.07714388231072837,-0.6394689630426982,-0.6231431646932185,0.0
2018-10-11,1.0,-0.3223637899479094,-0.8964873996902717,-0.04142615796142475,-0.6313881458538646,-0.6279740954526257,0.0
2018-10-12,1.0,-0.3251602117581499,-0.8925536361103372,-0.03643076065756479,-0.6172680412371134,-0.6114516578434104,0.0
2018-10-15,1.0,-0.3100306065664997,-0.9187882582081247,-0.014468558708959375,-0.6184613244296049,-0.6162701725097384,0.0
2018-10-16,1.0,-0.30959170897962024,-0.9202197955067121,-0.013389441469013006,-0.6184183070181539,-0.6161577519649439,0.0
2018-10-17,1.0,-0.29643604431790893,-0.890577299077282,-0.0011662607621857099,-0.6171577539189791,-0.6248413542345556,0.0
2018-10-18,1.0,-0.2964462129527991,-0.8908479692645445,-0.0009261800219538968,-0.617178924259056,-0.6248970911086718,0.0
2018-10-19,1.0,-0.28694850430269087,-0.8875836634339571,-0.0,-0.6168214724764377,-0.6234803988526157,0.0
2018-10-22,1.0,-0.2884306282274888,-0.8935398926165317,-0.0,-0.615505625662597,-0.6224137341404192,0.0
2018-10-23,1.0,-0.295311910559347,-0.8960869714324908,-0.008196440207140162,-0.6096573956582874,-0.6201858774306389,0.0
2018-10-24,1.0,-0.29493419248697555,-0.8960446942692624,-0.004832739237729641,-0.6105017822868111,-0.6211955031532767,0.0
2018-10-25,1.0,-0.2695675422765858,-0.8621749883029209,-0.0,-0.6133614063231068,-0.596918655170109,0.0
2018-10-26,1.0,-0.2565105029487774,-0.8510039096150025,-0.0,-0.6162944801537341,-0.5894241600954212,0.0
2018-10-29,1.0,-0.2385193982581156,-0.8591316970176827,-0.0,-0.6078780680918449,-0.5935273159144893,0.0
