Date,IWF,IWM,MTUM,SPY,TSM,VLUE,VXX
2018-09-24,-0.3788275400255677,-0.4929993303707311,-0.15024045778291836,-0.5133317099896512,1.0,-0.5083703658610824,0.0
2018-09-25,-0.3864011240759973,-0.49297452501680006,-0.15853137027307715,-0.512523672796139,1.0,-0.5041541939031096,0.0
2018-09-26,-0.38593965385204465,-0.4940113340480931,-0.1538367284423342,-0.516311839485373,1.0,-0.5131566855567468,0.0
2018-09-27,-0.38848920863309355,-0.4876167151385275,-0.15570182152150622,-0.5164855349762743,1.0,-0.5130567886116638,0.0
2018-09-28,-0.3906489368221092,-0.4869170905079968,-0.1556467920828482,-0.517157914087873,1.0,-0.5135424964764999,0.0
2018-10-01,-0.3938351958737566,-0.48639936141471196,-0.15494903598182488,-0.5201706987596708,1.0,-0.5147672847844775,0.0
2018-10-02,-0.3958038950666585,-0.4714013638876943,-0.16044111322725318,-0.5246052712416293,1.0,-0.5195674878663145,0.0
2018-10-03,-0.3985428950699225,-0.4871422838267527,-0.16210292347112032,-0.5239403574846417,1.0,-0.5153582564134227,0.0
2018-10-04,-0.3986663785385732,-0.4868953168894514,-0.16238076127558423,-0.5240020992189671,1.0,-0.515142160343284,0.0
2018-10-05,-0.4054087582185833,-0.4948827688872348,-0.16275896290782782,-0.5245937228631683,1.0,-0.513738990199727,0.0
2018-10-08,-0.4057215551211641,-0.49564057215551205,-0.16274163020881813,-0.5245896552794067,1.0,-0.514102206087685,0.0
2018-10-09,-0.40931128791645954,-0.49689209348582797,-0.16922550969666833,-0.5224390850323223,1.0,-0.5100385380407758,0.0
2018-10-10,-0.4099297831355248,-0.49599204623128074,-0.16994966755732308,-0.522680668613683,1.0,-0.5084198098552166,0.0
2018-10-11,-0.38631931748933585,-0.48948811700182815,-0.13705057891529554,-0.5163924436319317,1.0,-0.517702620353443,0.0
2018-10-12,-0.39554309149025996,-0.4821482419636934,-0.1356974850732766,-0.5014172848440986,1.0,-0.5006935649237078,0.0
2018-10-15,-0.39144053248200467,-0.48808842574466166,-0.12914495678101376,-0.5014305936210584,1.0,-0.501671535704605,0.0
2018-10-16,-0.3954162514720536,-0.4795422290666425,-0.13727088806353233,-0.5033668508620949,1.0,-0.5040311622429567,0.0
2018-10-17,-0.389204885642438,-0.46368698359477906,-0.13228954616213626,-0.5014968267273381,1.0,-0.5069752125493953,0.0
2018-10-18,-0.39056179775280897,-0.4662771535580525,-0.13099625468164794,-0.5008239700374532,1.0,-0.507625468164794,0.0
2018-10-19,-0.38776424220709427,-0.46178191806998686,-0.12623910187507464,-0.5020004777260242,1.0,-0.5079720530275887,0.0
2018-10-22,-0.3890978565884531,-0.45805719744462353,-0.12245507194459371,-0.5051047823750672,1.0,-0.5105677950922443,0.0
2018-10-23,-0.3915029557532692,-0.4577536275153759,-0.12763480026273363,-0.5006269779662028,1.0,-0.5080910013733803,0.0
2018-10-24,-0.39126666268157095,-0.46030844641042507,-0.12822045549644331,-0.5011357522864487,1.0,-0.5079203777870763,0.0
2018-10-25,-0.37568866486930025,-0.43406400187551286,-0.12630406751846207,-0.50313562302192,1.0,-0.4912964482475677,0.0
2018-10-26,-0.37024412981413507,-0.4286546641030123,-0.12022956359610791,-0.5063800034958923,1.0,-0.48776437685719276,0.0
2018-10-29,-0.36444173347275477,-0.43171255954455684,-0.11432554897176717,-0.5034274427791333,1.0,-0.4907342860462414,0.0
2018-10-30,-0.36255917288647516,-0.4318822060232916,-0.11311822960532046,-0.503789968925159,1.0,-0.49284116980803294,0.0
2018-10-31,-0.36209562148128704,-0.4402146961873924,-0.11149032992036403,-0.50689886526064,1.0,-0.496397421312097,0.0
2018-11-01,-0.355233625790655,-0.44929606202815753,-0.10382720727548314,-0.5085259568018189,1.0,-0.4979741743667473,0.0
2018-11-02,-0.3561926939310144,-0.44497161985155,-0.1033619560471547,-0.5092999563382331,1.0,-0.4969291223984864,0.0
