Date,FHN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14884640034180732,-0.5905522324289683,-0.05100405896176031,-0.4041871395001068,-0.4757530442213203,0.0
2018-09-25,1.0,-0.14802534827134417,-0.5926629054252788,-0.048851573571485875,-0.4060803764806546,-0.4782480814995053,0.0
2018-09-26,1.0,-0.1482045934600679,-0.5929253228523301,-0.049356969064998264,-0.40587150076201167,-0.47739365257613425,0.0
2018-09-27,1.0,-0.1470295565177635,-0.6058682731355728,-0.04666110857112121,-0.409246160879972,-0.48059597127719655,0.0
2018-09-28,1.0,-0.1444264943457189,-0.6096122778675283,-0.047253634894991924,-0.40988152934841143,-0.48134087237479806,0.0
2018-10-01,1.0,-0.1444920160486846,-0.6096615235479441,-0.04741901607561193,-0.4098338584161349,-0.4813259013921426,0.0
2018-10-02,1.0,-0.1447308179149498,-0.6103256039427971,-0.04750747353962996,-0.40960383507042636,-0.4809997037515823,0.0
2018-10-03,1.0,-0.14451473953425764,-0.6051420110378247,-0.0468434513393458,-0.411441647597254,-0.4842105263157894,0.0
2018-10-04,1.0,-0.14301564106727283,-0.615657303674839,-0.04643610975807762,-0.40967148346593063,-0.4912864642528549,0.0
2018-10-05,1.0,-0.1342394088935631,-0.6125448318636572,-0.03904754200037753,-0.4135048404929483,-0.4972898632796699,0.0
2018-10-08,1.0,-0.13309275018851666,-0.6110632338683615,-0.03740708822578908,-0.41457502962404397,-0.4969568027577292,0.0
2018-10-09,1.0,-0.1317171717171717,-0.6116363636363635,-0.033966329966329964,-0.4165387205387205,-0.49971717171717167,0.0
2018-10-10,1.0,-0.13126060834657974,-0.612360912789288,-0.033273163240563626,-0.41662849907050675,-0.5006600748982946,0.0
2018-10-11,1.0,-0.09408354196863883,-0.6139939385953354,-0.0,-0.41009355646330214,-0.5172486493609171,0.0
2018-10-12,1.0,-0.08780603255581561,-0.6157467062876377,-0.0,-0.40860441265416675,-0.5175533173797565,0.0
2018-10-15,1.0,-0.05778901087328542,-0.6485006450254062,-0.0,-0.40512861016770657,-0.5213384935365821,0.0
2018-10-16,1.0,-0.05861442452010427,-0.647497169339337,-0.0,-0.4054559338547015,-0.5216315138109908,0.0
2018-10-17,1.0,-0.03676219046867187,-0.6179047919791584,-0.0,-0.42101523644114625,-0.5558011631272861,0.0
2018-10-18,1.0,-0.03771416352604709,-0.6237136824098575,-0.0,-0.4429743671985673,-0.5684655066420763,0.0
2018-10-19,1.0,-0.02585015940488842,-0.6180393198724761,-0.0,-0.4433581296493092,-0.569500531349628,0.0
2018-10-22,1.0,-0.0278155223403405,-0.6269416247035942,-0.0,-0.44169131164575176,-0.5678736045613194,0.0
2018-10-23,1.0,-0.022095891880296047,-0.6321463048374987,-0.0,-0.45205405985197905,-0.5752172047624156,0.0
2018-10-24,1.0,-0.021294352016367847,-0.6285198944704679,-0.0,-0.4578958703494319,-0.5843428632961826,0.0
2018-10-25,1.0,-0.0017403686417213828,-0.6061756717559265,-0.0,-0.458850829312027,-0.5701289454948185,0.0
2018-10-26,1.0,-0.001949061026681065,-0.6044986435588801,-0.0,-0.45866146917059547,-0.5687570785155529,0.0
2018-10-29,1.0,-0.0,-0.6076347894529713,-0.0,-0.4460186278368097,-0.5699593335956972,0.0
2018-10-30,1.0,-0.0,-0.6112955046334404,-0.0,-0.445261676535408,-0.598682987706115,0.0
2018-10-31,1.0,-0.0,-0.5976926529211436,-0.0,-0.4457351038834182,-0.596557459278228,0.0
