Date,EDD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18332625318606627,-0.33836023789294817,-0.0,-0.3205819881053526,-0.28177570093457943,0.0
2018-09-25,1.0,-0.19243010017728604,-0.34064549202212874,-0.0,-0.32251105367708316,-0.2804109618301045,0.0
2018-09-26,1.0,-0.1945519468023691,-0.34298360024802754,-0.0,-0.3230131069725673,-0.2776197908871261,0.0
2018-09-27,1.0,-0.19799461239149954,-0.33753794843289003,-0.0,-0.3241116859793903,-0.27831701372557405,0.0
2018-09-28,1.0,-0.2033920165086735,-0.33808387609896606,-0.0,-0.32722856344446594,-0.28086240622514563,0.0
2018-10-01,1.0,-0.20449559044955906,-0.3373628737362874,-0.0,-0.32811357281135733,-0.28104968810496883,0.0
2018-10-02,1.0,-0.20681715478470444,-0.32900088227066343,-0.0,-0.33149706268425466,-0.284564567149405,0.0
2018-10-03,1.0,-0.20626277843538146,-0.32232863445604215,-0.0,-0.3342300656408049,-0.2893145378241687,0.0
2018-10-04,1.0,-0.20933786809023594,-0.31819355949715866,-0.0,-0.33832013087652835,-0.28674444635784396,0.0
2018-10-05,1.0,-0.21466727221609463,-0.3245961201583079,-0.0,-0.3386102640628041,-0.2848028720344298,0.0
2018-10-08,1.0,-0.21509425794861806,-0.3254983442633595,-0.0,-0.3386143756898903,-0.2851762872540744,0.0
2018-10-09,1.0,-0.21454230685998701,-0.32534083531703095,-0.0,-0.33873620428478685,-0.2853927721272452,0.0
2018-10-10,1.0,-0.2136141080636076,-0.32672559469647733,-0.0,-0.3387711772607132,-0.2873608041942892,0.0
2018-10-11,1.0,-0.1671240395170143,-0.3199991556193532,-0.0,-0.32582538208224265,-0.29800303977032844,0.0
2018-10-12,1.0,-0.16625824693685204,-0.3156142004398366,-0.0,-0.3207246832129019,-0.29186302230600064,0.0
2018-10-15,1.0,-0.1696542759502694,-0.3125563452628048,-0.0,-0.32222152336624943,-0.2921357737383902,0.0
2018-10-16,1.0,-0.16076225122142085,-0.33630845371290796,-0.0,-0.3242528711321673,-0.29369091178274576,0.0
2018-10-17,1.0,-0.15483424835505638,-0.3243786932651607,-0.0,-0.3216755374879511,-0.29458111562801226,0.0
2018-10-18,1.0,-0.15424595523514126,-0.3231829994131948,-0.0,-0.3233716153910638,-0.29493251739458465,0.0
2018-10-19,1.0,-0.14805870719267203,-0.3170396585822838,-0.0,-0.32322265015093166,-0.2934735088997606,0.0
2018-10-22,1.0,-0.14926900584795322,-0.32489557226399335,-0.0,-0.32190893901420214,-0.2924812030075188,0.0
2018-10-23,1.0,-0.14740386022876978,-0.32561008761841026,-0.0,-0.3241672068756404,-0.29392944522281,0.0
2018-10-24,1.0,-0.1469579044271487,-0.32714034647250817,-0.0,-0.3245041426060758,-0.2936228973135827,0.0
2018-10-25,1.0,-0.13404425159137892,-0.3073459279120699,-0.0,-0.3252144012116995,-0.28016456188468386,0.0
2018-10-26,1.0,-0.12263173926286933,-0.3008630317798761,-0.0,-0.3312011371712864,-0.27596710325921414,0.0
2018-10-29,1.0,-0.11689730517115804,-0.3016711175851744,-0.0,-0.32827547139273283,-0.2763008820911224,0.0
2018-10-30,1.0,-0.12066416928217069,-0.3020755290067834,-0.0,-0.32852080591272653,-0.2736458438797206,0.0
2018-10-31,1.0,-0.12324574650156046,-0.2917144870633243,-0.0,-0.32743380650357395,-0.2710963455149502,0.0
2018-11-01,1.0,-0.105625,-0.3079233870967742,-0.0,-0.32911290322580644,-0.2734475806451613,0.0
2018-11-02,1.0,-0.10606243705941591,-0.30574018126888214,-0.0,-0.32938569989929506,-0.27289023162134945,0.0
2018-11-05,1.0,-0.10149928365316706,-0.3206408781806809,-0.0,-0.33228403656395666,-0.26345420424965194,0.0
