Date,IWF,IWM,MNR,MTUM,SPY,VLUE,VXX
2018-09-24,-0.27590836849893136,-0.6553406039348935,1.0,-0.0,-0.44623773771030856,-0.36266235545569137,0.0
2018-09-25,-0.27307045824033505,-0.661844534457579,1.0,-0.0,-0.45126890964701993,-0.36932021713372465,0.0
2018-09-26,-0.27652173913043476,-0.6658937198067633,1.0,-0.0,-0.4524499654934437,-0.3656590752242926,0.0
2018-09-27,-0.2756036175567663,-0.6703542882429405,1.0,-0.0,-0.45321791077799595,-0.36654036562767933,0.0
2018-09-28,-0.2774179261473731,-0.6697115650777833,1.0,-0.0,-0.4538559486242595,-0.36710402480208154,0.0
2018-10-01,-0.2771408743927828,-0.6743927827897294,1.0,-0.0,-0.45496183206106866,-0.3693268563497571,0.0
2018-10-02,-0.2756785375912612,-0.6915510226829404,1.0,-0.0,-0.45262776570250235,-0.3668004235635066,0.0
2018-10-03,-0.27540389972144846,-0.6887186629526463,1.0,-0.0,-0.45323119777158777,-0.3681615598885794,0.0
2018-10-04,-0.280738447809476,-0.6827295797428818,1.0,-0.0,-0.4604144008477648,-0.36484564544465825,0.0
2018-10-05,-0.3387564673864282,-0.7668152047133415,1.0,-0.0,-0.4971139755360828,-0.38801327870323293,0.0
2018-10-08,-0.33570425271211257,-0.7637847045814531,1.0,-0.0,-0.5014793341502047,-0.38761543289202355,0.0
2018-10-09,-0.32880288028802884,-0.7666066606660666,1.0,-0.0,-0.5079207920792079,-0.39696969696969703,0.0
2018-10-10,-0.33361390007815783,-0.7668189743281427,1.0,-0.0,-0.5120242890639091,-0.39364516322972404,0.0
2018-10-11,-0.2651255456916,-0.765814069321145,1.0,-0.0,-0.4932173097770355,-0.40576015938589555,0.0
2018-10-12,-0.2652204136013439,-0.7613392805422,1.0,-0.0,-0.48027573422927644,-0.38953252621212997,0.0
2018-10-15,-0.2350588371688598,-0.7946495855312736,1.0,-0.0,-0.476494116283114,-0.3921801634687845,0.0
2018-10-16,-0.22817212424092748,-0.8094546299793707,1.0,-0.0,-0.4761600371909231,-0.3917831304297295,0.0
