Date,IWF,IWM,MTUM,SAGE,SPY,VLUE,VXX
2018-09-24,-0.957727216212856,-1.6353350739773718,-0.3863608106427949,1.0,-1.184135272908119,-1.0529653114509512,0.0
2018-09-25,-0.9572601717058604,-1.637551325121314,-0.3847828791837751,1.0,-1.1860768943635684,-1.0554933432872964,0.0
2018-09-26,-0.9576498471901703,-1.6404291149504149,-0.37959209131166965,1.0,-1.19191667186428,-1.067548181874883,0.0
2018-09-27,-0.9648739705515348,-1.6267781382580486,-0.3843274270027452,1.0,-1.1942226104317444,-1.0689418517594211,0.0
2018-09-28,-0.961031661774808,-1.632486105039655,-0.3856241803534628,1.0,-1.1953412852057703,-1.070505214513208,0.0
2018-10-01,-0.9607708189951824,-1.6384908965776137,-0.38691109303635113,1.0,-1.1968967027466684,-1.0735781768128636,0.0
2018-10-02,-0.9606959569407936,-1.642320690950056,-0.3865940668419076,1.0,-1.1960195268494178,-1.0729127550381774,0.0
2018-10-03,-0.9603805470363648,-1.6274644801902733,-0.384490204669212,1.0,-1.2027289228265632,-1.0838705639356574,0.0
2018-10-04,-0.9637227920940705,-1.6194645984488365,-0.38553915436577435,1.0,-1.2067175381536153,-1.0792469352014011,0.0
2018-10-05,-0.9528231334912128,-1.6161037018571607,-0.3694378661348623,1.0,-1.2108313598404588,-1.0828867007353857,0.0
2018-10-08,-0.9505388400921946,-1.6125334828380986,-0.361054008596524,1.0,-1.220830997321373,-1.0844701924873854,0.0
2018-10-09,-0.9479556220393917,-1.6146222887060584,-0.3530291697830965,1.0,-1.2259411618050362,-1.0913113936674146,0.0
2018-10-10,-0.9511781338360036,-1.635186930568646,-0.34684260131950984,1.0,-1.237448947533773,-1.1126610116242537,0.0
2018-10-11,-0.8725514052804477,-1.6309161698503467,-0.23518676237985156,1.0,-1.2143204769436673,-1.1304903272904245,0.0
2018-10-12,-0.8968158243878905,-1.630683874080328,-0.22632975515619347,1.0,-1.184838982028706,-1.0919671933421784,0.0
2018-10-15,-0.8896248569880172,-1.6428614439694107,-0.212019028120672,1.0,-1.184861805262841,-1.09225025591618,0.0
2018-10-16,-0.8950386286817963,-1.634898599710285,-0.22126991791405118,1.0,-1.188375181071946,-1.0960888459681315,0.0
2018-10-17,-0.8668444444444443,-1.573037037037037,-0.19199999999999998,1.0,-1.1837037037037037,-1.1103407407407406,0.0
2018-10-18,-0.8691782853752595,-1.577988727380599,-0.1899733016908929,1.0,-1.1836843666567782,-1.1121328982497776,0.0
2018-10-19,-0.8536556322934032,-1.5781138366277687,-0.15884734460585853,1.0,-1.2217789949988094,-1.1412836389616576,0.0
2018-10-22,-0.8553492800190409,-1.5708080447459243,-0.15393311912412236,1.0,-1.2255741996905867,-1.1447102225395693,0.0
2018-10-23,-0.854600824028184,-1.5786110945243923,-0.14480205409924166,1.0,-1.2385501880933898,-1.1547142771839731,0.0
2018-10-24,-0.8712052628402438,-1.587965477699318,-0.11841390548614882,1.0,-1.2687549037358923,-1.1889673486631662,0.0
