Date,IWF,IWM,MTUM,MYD,SPY,VLUE,VXX
2018-09-24,-0.12419223182096456,-0.24398000136045164,-0.0,1.0,-0.19133052173321544,-0.14107883817427386,0.0
2018-09-25,-0.12432827698795999,-0.2439289844228284,-0.0,1.0,-0.1912965104414666,-0.1409938099449017,0.0
2018-09-26,-0.12334831766789266,-0.24364868546519547,-0.0,1.0,-0.19196975888843482,-0.14379852881078872,0.0
2018-09-27,-0.12381276595744681,-0.24257021276595744,-0.0,1.0,-0.1919659574468085,-0.14377872340425532,0.0
2018-09-28,-0.12339331619537276,-0.24310934813326754,-0.0,1.0,-0.19203595566829534,-0.14392481996629158,0.0
2018-10-01,-0.12385266420312313,-0.24271580130442924,-0.0,1.0,-0.19236074451237165,-0.14398106363775692,0.0
2018-10-02,-0.12556221889055472,-0.23660896824315114,-0.0,1.0,-0.19490254872563717,-0.14661987188224068,0.0
2018-10-03,-0.12516819103094715,-0.2328956108527924,-0.0,1.0,-0.19615758009299472,-0.14897893141212337,0.0
2018-10-04,-0.12524705240918696,-0.23316635998091734,-0.0,1.0,-0.19619368908880258,-0.14921965514891297,0.0
2018-10-05,-0.12084244056998593,-0.2292820955963334,-0.0,1.0,-0.19554719666548062,-0.14869787695487896,0.0
2018-10-08,-0.12255627584094737,-0.23258979463359025,-0.0,1.0,-0.19597434195974345,-0.15034114304187296,0.0
2018-10-09,-0.12256319531861327,-0.23252134862041982,-0.0,1.0,-0.19586296056884292,-0.1501547987616099,0.0
2018-10-10,-0.12591860048764686,-0.232621187062013,-0.0,1.0,-0.19877576770277416,-0.14774335453289913,0.0
2018-10-11,-0.10804291774099642,-0.22337187058138572,-0.0,1.0,-0.18820593861764953,-0.14385760625467856,0.0
2018-10-12,-0.10653881127552285,-0.22089774324212616,-0.0,1.0,-0.18558320244688767,-0.14026618169794164,0.0
2018-10-15,-0.10625051605978035,-0.22026257121624968,-0.0,1.0,-0.18525307571629096,-0.1396251341755429,0.0
2018-10-16,-0.10487812933483057,-0.22243873439460993,-0.0,1.0,-0.18483717550696876,-0.1392099874496334,0.0
2018-10-17,-0.09351907736978615,-0.2027306983345024,-0.0,1.0,-0.18615728430908765,-0.14885079033652512,0.0
2018-10-18,-0.0927914235753624,-0.20164730107368734,-0.0,1.0,-0.18966841528983022,-0.15010377343073328,0.0
2018-10-19,-0.09070501350164298,-0.19923870254091164,-0.0,1.0,-0.1885675244818948,-0.14819273188665127,0.0
2018-10-22,-0.09056744972994078,-0.19566278388755126,-0.0,1.0,-0.19057070345545649,-0.15007808941237716,0.0
2018-10-23,-0.09017833897422546,-0.19573353293413173,-0.0,1.0,-0.1909658942983598,-0.15030265555844832,0.0
2018-10-24,-0.08998550984191074,-0.19724524185539147,-0.0,1.0,-0.19110727601308997,-0.1497533416909526,0.0
2018-10-25,-0.07689747003994674,-0.17735083380888975,-0.0,1.0,-0.19451841988459834,-0.13642127956375627,0.0
2018-10-26,-0.06781421108943293,-0.17255648561898168,-0.0,1.0,-0.19963496758763924,-0.1334256403801372,0.0
2018-10-29,-0.06261740763932373,-0.17310582341891045,-0.0,1.0,-0.19630557294927992,-0.13340638697557922,0.0
2018-10-30,-0.06652037617554858,-0.17357366771159874,-0.0,1.0,-0.19661442006269592,-0.1306896551724138,0.0
2018-10-31,-0.06846240179573514,-0.16587167976056866,-0.0,1.0,-0.19572265868562166,-0.12872552687367503,0.0
2018-11-01,-0.0649919013207077,-0.168359082980314,-0.0,1.0,-0.19542736107650138,-0.12865998006478943,0.0
2018-11-02,-0.06492029109722461,-0.16912624082529493,-0.0,1.0,-0.19536862445653022,-0.12892116376556387,0.0
2018-11-05,-0.06205164992826399,-0.1778741188946416,-0.0,1.0,-0.19675940365541764,-0.12279333790780363,0.0
2018-11-06,-0.06307795468367458,-0.17866109439081823,-0.0,1.0,-0.1959860901024529,-0.12169600948118577,0.0
2018-11-07,-0.06336466693732239,-0.1790543705693139,-0.0,1.0,-0.19687080353518005,-0.12220105555729052,0.0
2018-11-08,-0.05354679726609116,-0.17906792926553322,-0.0,1.0,-0.19314043054414706,-0.12409528385226974,0.0
2018-11-09,-0.05145062842258869,-0.18589069683513518,-0.0,1.0,-0.20260155968053226,-0.12916790886695642,0.0
2018-11-12,-0.05141633316658329,-0.17808904452226113,-0.0,1.0,-0.20597798899449724,-0.12779827413706854,0.0
2018-11-13,-0.03375007794475276,-0.17984972251668016,-0.0,1.0,-0.21523664026937706,-0.1300742034046268,0.0
2018-11-14,-0.03462852329626105,-0.17953797438737149,-0.0,1.0,-0.21569514420752153,-0.1299661513983996,0.0
2018-11-15,-0.03455915622610894,-0.18168910801491583,-0.0,1.0,-0.21997722060131372,-0.1240073018894419,0.0
2018-11-16,-0.033357211822966956,-0.17857476562743324,-0.0,1.0,-0.2194537016849908,-0.12590712305727722,0.0
2018-11-19,-0.03024237685691947,-0.18164190774042221,-0.0,1.0,-0.22347146207974983,-0.12836591086786553,0.0
2018-11-20,-0.015163520546881066,-0.17754991066573447,-0.0,1.0,-0.22521556746679094,-0.135694865221782,0.0
